symbol,status,entry_step,entry_date,entry_price,capital_at_entry,exit_step,exit_date,exit_price,holding_days,trade_return_pct,realized_pnl,capital_after_exit,unrealized_pct,unrealized_pnl,current_price,current_date
ABBV,CLOSED,42,2026-04-28 00:00:00,198.6699981689453,100000000.0,52.0,2026-05-12 00:00:00,204.58999633789062,10,2.9798148807103932,2979814.880710393,102979814.8807104,0.0,0.0,204.58999633789062,2026-05-12 00:00:00
ABBV,OPEN,53,2026-05-13 00:00:00,206.86000061035156,102979814.8807104,,,,6,,0.0,,3.6933188470976366,3803372.911695534,214.5,2026-05-21 00:00:00
ADM,OPEN,49,2026-05-07 00:00:00,77.88648223876953,100000000.0,,,,10,,0.0,,-0.9840982288014543,-984098.2288014543,77.12000274658203,2026-05-21 00:00:00
AEM,CLOSED,22,2026-03-30 00:00:00,196.91000366210938,100000000.0,32.0,2026-04-14 00:00:00,219.25,10,11.34528257702197,11345282.577021971,111345282.57702197,0.0,0.0,219.25,2026-04-14 00:00:00
AEM,OPEN,42,2026-04-28 00:00:00,193.5,111345282.57702197,,,,17,,0.0,,-8.139534883720888,-9062988.1167343,177.75,2026-05-21 00:00:00
AMAT,CLOSED,25,2026-04-02 00:00:00,337.580322265625,100000000.0,35,2026-04-17 00:00:00,397.25115966796875,10,17.676041364576857,17676041.364576858,117676041.36457686,0.0,0.0,397.25115966796875,2026-04-17 00:00:00
AMAT,CLOSED,36,2026-04-20 00:00:00,397.1063232421875,117676041.36457686,48,2026-05-06 00:00:00,420.4772644042969,12,5.8853107579090045,6925600.721910893,124601642.08648777,0.0,0.0,420.4772644042969,2026-05-06 00:00:00
AMAT,CLOSED,49,2026-05-07 00:00:00,425.8256530761719,124601642.08648777,59,2026-05-21 00:00:00,424.18499755859375,10,-0.3852880881473529,-480075.2845952361,124121566.80189253,0.0,0.0,424.18499755859375,2026-05-21 00:00:00
AMD,CLOSED,23,2026-03-31 00:00:00,198.0500030517578,100000000.0,39,2026-04-23 00:00:00,302.010009765625,16,52.491797582400736,52491797.58240073,152491797.5824007,0.0,0.0,302.010009765625,2026-04-23 00:00:00
AMGN,OPEN,22,2026-03-30 00:00:00,349.19305419921875,100000000.0,,,,37,,0.0,,-3.3714991263164364,-3371499.1263164366,337.4200134277344,2026-05-21 00:00:00
AVGO,CLOSED,22,2026-03-30 00:00:00,300.8699951171875,100000000.0,32,2026-04-14 00:00:00,377.8999938964844,10,25.602419659459247,25602419.65945925,125602419.65945925,0.0,0.0,377.8999938964844,2026-04-14 00:00:00
AVGO,CLOSED,33,2026-04-15 00:00:00,389.8800048828125,125602419.65945925,43,2026-04-29 00:00:00,403.5,10,3.49338128311589,4387771.419524223,129990191.07898347,0.0,0.0,403.5,2026-04-29 00:00:00
AVGO,CLOSED,48,2026-05-06 00:00:00,435.55999755859375,129990191.07898347,58,2026-05-20 00:00:00,412.80999755859375,10,-5.223161017430105,-6789596.986920371,123200594.0920631,0.0,0.0,412.80999755859375,2026-05-20 00:00:00
AXP,OPEN,22,2026-03-30 00:00:00,293.7513427734375,100000000.0,,,,37,,0.0,,5.4293094571126685,5429309.457112669,309.70001220703125,2026-05-21 00:00:00
CAT,OPEN,25,2026-04-02 00:00:00,704.2293090820312,100000000.0,,,,34,,0.0,,22.96421081022658,22964210.81022658,865.9500122070312,2026-05-21 00:00:00
CME,CLOSED,22,2026-03-30 00:00:00,297.25,100000000.0,33.0,2026-04-15 00:00:00,296.8900146484375,11,-0.12110524863331021,-121105.2486333102,99878894.75136669,0.0,0.0,296.8900146484375,2026-04-15 00:00:00
CME,OPEN,54,2026-05-14 00:00:00,297.3299865722656,99878894.75136669,,,,5,,0.0,,-2.7040589212113044,-2700784.1639315803,289.2900085449219,2026-05-21 00:00:00
COST,CLOSED,30,2026-04-10 00:00:00,1025.022705078125,100000000.0,40.0,2026-04-24 00:00:00,1010.53369140625,10,-1.413530997908056,-1413530.9979080558,98586469.00209194,0.0,0.0,1010.53369140625,2026-04-24 00:00:00
COST,CLOSED,43,2026-04-29 00:00:00,986.9379272460938,98586469.00209194,53.0,2026-05-13 00:00:00,1017.9400024414062,10,3.1412386067499973,3096836.2253253306,101683305.22741728,0.0,0.0,1017.9400024414062,2026-05-13 00:00:00
