Date,primary_live,open_positions,symbols_reporting,close_t,open_t_plus_1,hl2_t_plus_1,aggregate_initial_cash,model_symbol_allocation,portfolio_return_pct,drawdown_pct,benchmark_SPY,benchmark_DIA,benchmark_IWF,benchmark_QQQ
2026-03-26,1000000.0,0.0,45,1000000.0,1000000.0,1000000.0,1000000.0,22222.222222222223,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0
2026-03-27,997740.6661541994,20.0,45,995572.8805884671,997740.6661541994,997998.8449746937,1000000.0,22222.222222222223,-0.22593338458005707,-0.22593338458005707,982948.116476672,982756.7825722789,977412.0790646238,980463.3030084645
2026-03-30,994006.0408904409,22.0,45,992347.5983241099,994006.0408904409,994281.7704802675,1000000.0,22222.222222222223,-0.5993959109559022,-0.5993959109559022,979661.6664246101,984215.4817913994,972913.4550110499,972969.2930786434
2026-03-31,1009360.2488246011,24.0,45,1007907.7770627162,1009360.2488246011,1008917.0831052836,1000000.0,22222.222222222223,0.9360248824600959,0.0,1008138.3989543156,1008447.4599925153,1009589.1742262131,1005908.1105949117
2026-04-01,1017391.5357061176,26.0,45,1016361.0497868941,1017391.5357061176,1016719.9216275256,1000000.0,22222.222222222223,1.7391535706117622,0.0,1015734.1812093776,1013433.2278154581,1018373.3376012902,1018334.2685200205
2026-04-02,1020873.3864974849,27.0,45,1018826.197638485,1020873.3864974849,1019683.3373033457,1000000.0,22222.222222222223,2.0873386497484825,0.0,1016648.8238652949,1012518.7558206144,1018207.653202973,1019501.9133653691
2026-04-06,1021350.534584701,28.0,45,1019403.2861955685,1021350.534584701,1020484.6087877605,1000000.0,22222.222222222223,2.135053458470093,0.0,1021454.3168304373,1016241.7542060227,1022232.7074586521,1025636.5962041172
2026-04-07,1024718.4167777572,28.0,45,1022734.7213568276,1024718.4167777572,1023835.2759992091,1000000.0,22222.222222222223,2.4718416777757213,0.0,1021903.8324255818,1014304.071182766,1022777.3055005702,1025793.4948236751
2026-04-08,1047554.0436225169,29.0,45,1046449.7359004555,1047554.0436225169,1046694.4077406606,1000000.0,22222.222222222223,4.755404362251681,0.0,1047931.2679206616,1043217.0153775617,1049248.2242035787,1056292.4590268563
2026-04-09,1054184.4101107328,29.0,45,1053011.2942253875,1054184.4101107328,1053292.3069607802,1000000.0,22222.222222222223,5.418441011073272,0.0,1053976.8789463302,1049182.4321084353,1054125.689644147,1063437.888091395
