symbol,last_bar_date,report_start_date,primary_fill_mode,stance,position,last_signal_action,last_signal_date,current_price,entry_date,entry_price,days_in_trade,unrealized_pct,unrealized_pnl,realized_pnl,current_equity_live,cash_live,shares_live,total_return_pct_live,annualized_return_pct_live,alpha_over_buy_hold_pct_live,max_drawdown_pct_live,time_in_market_pct_live,total_closed_trades_live,win_pct_long_live,total_return_pct_backtest_style,annualized_return_pct_backtest_style,alpha_over_buy_hold_pct_backtest_style,max_drawdown_pct_backtest_style,time_in_market_pct_backtest_style,total_closed_trades_backtest_style,win_pct_long_backtest_style,last_q_hold,last_q_long,last_q_close,last_q_hold_masked,last_q_long_masked,last_q_close_masked,overwatch_enabled,overwatch_override_count,overwatch_override_pct,overwatch_review_count,saved_model_last_trained_date,saved_model_timestamp_utc
ABBV,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,213.75999450683594,2026-05-13,206.86000061035156,4,3.335586327045122,3434980.6247773697,2979814.880710393,106414795.50548775,0.0,497823.7193119158,6.4147955054877555,49.44264898547488,3.2388122717438343,4.623321944841346,38.46153846153847,1.0,100.0,6.4147955054877555,49.44264898547488,3.2388122717438343,4.623321944841346,35.8974358974359,2.0,100.0,0.362060546875,0.354736328125,0.408203125,0.362060546875,-inf,-inf,False,0,0.0,0,2025-08-21,2026-05-13 17:03:00
ADM,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,78.8699951171875,2026-05-07,78.4000015258789,8,0.5994816098995209,599481.6098995284,0.0,100599481.60989952,0.0,1275510.1792567081,0.5994816098995209,3.9375539409549187,-9.461907012231483,4.849806131091575,23.076923076923077,0.0,0.0,0.5994816098995209,3.9375539409549187,-9.461907012231483,4.849806131091575,20.51282051282051,1.0,100.0,0.2710776627063751,0.254137247800827,0.23228831589221954,0.2710776627063751,-1000000000.0,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-13 17:50:27
AEM,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,173.39999389648438,2026-04-28,193.5,15,-10.387600053496392,-12138093.946888085,16851764.453546003,104713670.50665791,0.0,603885.0876152248,4.713670506657913,34.664346912792496,14.434091559289486,12.00203440192865,66.66666666666666,1.0,100.0,4.713670506657913,34.664346912792496,14.434091559289486,12.00203440192865,64.1025641025641,2.0,50.0,0.1845589578151703,0.18406546115875244,0.18429705500602722,0.1845589578151703,-1000000000.0,0.18429705500602722,False,0,0.0,0,2025-08-21,2026-05-13 18:38:02
AMAT,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,406.9100036621094,2026-05-07,426.3550109863281,8,-4.560754963154929,-5420573.514651358,18852548.721486926,113431975.20683557,0.0,278764.28248499735,13.431975206835567,125.77481933665169,3.259774065140693,9.834943724312142,92.3076923076923,2.0,100.0,13.431975206835567,125.77481933665169,3.259774065140693,9.834943724312142,89.74358974358975,3.0,66.66666666666666,3.2052464485168457,4.2881669998168945,3.3439600467681885,3.2052464485168457,-1000000000.0,-1000000000.0,False,0,0.0,0,2014-04-23,2026-05-13 18:41:37
AMD,2026-05-19,2026-03-25,open_t_plus_1,FLAT,0,HOLD,2026-05-19,414.04998779296875,,,0,0.0,0.0,52491797.58240073,152491797.58240074,152491797.58240074,0.0,52.491797582400736,1427.756724380043,-35.4820435043836,1.2356773807963095,41.02564102564102,1.0,100.0,52.491797582400736,1427.756724380043,-35.4820435043836,1.2356773807963095,41.02564102564102,1.0,100.0,0.2873842418193817,0.28556540608406067,0.27345171570777893,0.2873842418193817,0.28556540608406067,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-13 19:22:34
AMGN,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,330.75,2026-03-26,350.3299865722656,37,-5.589012451900584,-5589012.4519005995,0.0,94410987.5480994,0.0,285445.16265487345,-5.589012451900601,-31.038423007285765,0.9603032759177392,8.9285712753215,97.43589743589743,0.0,0.0,-5.589012451900601,-31.038423007285765,0.9603032759177392,8.9285712753215,94.87179487179486,1.0,0.0,0.17514069378376007,0.17612089216709137,0.1278940886259079,0.17514069378376007,-1000000000.0,0.1278940886259079,False,0,0.0,0,2025-08-21,2026-05-13 20:10:21
AMZN,2026-05-19,2026-03-25,open_t_plus_1,FLAT,0,HOLD,2026-05-19,259.3399963378906,,,0,0.0,0.0,0.0,100000000.0,100000000.0,0.0,0.0,0.0,-22.4977507503445,0.0,0.0,0.0,0.0,0.0,0.0,-22.4977507503445,0.0,0.0,0.0,0.0,0.07027941942214966,0.06438278406858444,0.07298335433006287,0.07027941942214966,0.06438278406858444,-1000000000.0,False,0,0.0,0,2025-08-21,2026-05-13 20:58:11
AVGO,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,CLOSE,2026-05-19,411.07000732421875,2026-05-06,435.55999755859375,9,-5.622644497117857,-7011322.058708908,24697943.508661542,117686621.44995263,0.0,286293.37911566714,17.686621449952632,186.421652796404,-11.252248244266616,10.635524338535147,79.48717948717949,2.0,100.0,17.686621449952632,186.421652796404,-11.252248244266616,10.635524338535147,76.92307692307693,3.0,66.66666666666666,0.07603955268859863,0.07480776309967041,0.12296710908412933,0.07603955268859863,-1000000000.0,0.12296710908412933,False,0,0.0,0,2025-08-21,2026-05-13 21:39:27
AXP,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,309.30999755859375,2026-03-26,297.62908935546875,37,3.9246527375467815,3924652.7375467946,0.0,103924652.73754679,0.0,335988.6636637406,3.924652737546787,28.241255322667925,0.5780503226011251,7.0862111055568135,97.43589743589743,0.0,0.0,3.924652737546787,28.241255322667925,0.5780503226011251,7.0862111055568135,94.87179487179486,1.0,100.0,0.2158971130847931,0.21441024541854858,0.19554466009140015,0.2158971130847931,-1000000000.0,0.19554466009140015,False,0,0.0,0,2025-08-21,2026-05-13 22:27:21
CAT,2026-05-19,2026-03-25,open_t_plus_1,LONG,1,HOLD,2026-05-19,860.1500244140625,2026-03-26,710.0700073242188,37,21.13594653228563,21135946.53228566,0.0,121135946.53228566,0.0,140831.1842051088,21.13594653228566,245.20091034741506,1.5111620002978443,7.204424151703634,97.43589743589743,0.0,0.0,21.13594653228566,245.20091034741506,1.5111620002978443,7.204424151703634,94.87179487179486,1.0,100.0,0.1908780336380005,0.19609791040420532,0.16322654485702515,0.1908780336380005,-1000000000.0,0.16322654485702515,False,0,0.0,0,2025-08-21,2026-05-13 23:15:19
