type,step,price,pnl_pct,time
open_short,20,147.52458,,
close_short,24,155.39024,-0.053528297234295925,4.0
open_short,26,159.21678,,
close_short,29,160.34735,-0.007302238598348188,3.0
open_short,31,161.03342,,
close_short,39,132.31506,0.17817351726244768,8.0
open_short,41,130.43079,,
close_short,49,132.07349,-0.012796939603496234,8.0
open_short,51,134.0544,,
close_short,59,131.21349,0.02099647023028797,8.0
open_short,61,133.8225,,
close_short,69,132.58676,0.00903596726684749,8.0
open_short,71,133.54526,,
close_short,79,133.89737,-0.002837175180775316,8.0
open_short,81,137.6727,,
close_short,87,145.58528,-0.05768536182471462,6.0
open_short,90,143.63892,,
close_short,99,144.16707,-0.0038776808887643023,9.0
open_short,101,149.66382,,
close_short,109,146.39706,0.02163164599860042,8.0
open_short,111,149.76161,,
close_short,119,147.72723,0.013386825762826793,8.0
open_short,121,149.42908,,
close_short,129,151.91338,-0.01682859473680332,8.0
open_short,131,151.52766,,
close_short,139,160.04257,-0.056404989790561716,8.0
open_short,141,155.9483,,
close_short,149,157.77786,-0.011934178572141393,8.0
open_short,151,157.08559,,
close_short,159,153.5748,0.022153993123298403,8.0
open_short,161,151.67601,,
close_short,169,150.70683,0.006191063957315246,8.0
open_short,171,150.03435,,
close_short,179,152.42763,-0.01615473786265784,8.0
open_short,181,151.82436,,
close_short,189,154.51431,-0.01792110039426278,8.0
open_short,191,153.8616,,
close_short,199,148.53,0.03445887673236441,8.0
open_short,202,152.54,,
close_short,209,151.41,0.007209306881430071,7.0
open_short,211,149.99,,
close_short,219,150.5,-0.0036008699717031767,8.0
open_short,221,150.99,,
close_short,225,163.85,-0.08538823857553919,4.0
open_long,229,162.11,,
close_long,251,185.82,0.14602950233343426,22.0
