type,step,price,pnl_pct,time
open_long,20,446.49435,,
close_long,31,470.0209,0.0524811700061111,11.0
open_long,33,492.68546,,
close_long,46,460.97073,-0.06455826021007886,13.0
open_long,48,460.55936,,
close_long,69,480.68353,0.04348633683790778,21.0
open_long,71,481.36337,,
close_long,94,496.2899,0.030802625484877576,23.0
open_long,96,515.0392,,
close_long,109,510.1523,-0.009686450953628481,13.0
open_long,113,587.18896,,
close_long,128,596.49963,0.015653170561542317,15.0
open_long,130,595.7714,,
close_long,137,586.7117,-0.015403719266202882,7.0
open_long,143,548.52234,,
close_long,161,619.76227,0.12965010120184847,18.0
open_long,163,626.4852,,
close_long,175,649.4266,0.03641180801404168,12.0
open_short,179,642.54517,,
close_short,228,542.1576,0.1560655141886077,49.0
open_long,230,546.19745,,
close_long,251,601.86,0.10168880274545515,21.0
