,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3605,2025-02-18,184.61627,187.17319,184.11607,185.31259,3693297.2,685077700.0,188.95,0.0,185.31259,186.26859029134116,0,189.16268421519885,0,177.58237266540527,1,0,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,185.0674,188.09792,184.36137,187.91159,1165196.8,217957470.0,191.6,0.0,187.91159,186.39468747093565,1,188.88894015225497,0,177.6931002807617,1,0,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,186.34238,186.81804,182.0317,185.53816,1409299.9,260550660.0,189.18,0.0,185.53816,186.3680666968936,0,188.56618430397728,0,177.8034588623047,1,0,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,185.29297,186.0962,181.83093,182.08594,1455987.6,266455730.0,185.66,0.0,182.08594,186.38721502394904,0,188.1786992853338,0,177.90138748168945,1,0,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,183.04706,186.6317,182.89505,185.11644,2048896.5,379314180.0,188.75,0.0,185.11644,186.57822745186942,0,187.89980968128552,0,178.00528938293456,1,0,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,186.58757,187.73259,185.28317,186.81314,930070.44,173712350.0,190.48,0.0,186.81314,186.78418477376303,1,187.6694227738814,0,178.12680564880372,1,0,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
3611,2025-02-26,186.45026,187.2741,183.93954,184.8026,1294158.4,239728400.0,188.43,0.0,184.8026,186.56188092912947,0,187.37484130859374,0,178.2281721496582,1,0,0,0,1,0,0.66,0.84,-10.0134,-43.3198,0.482,0.509,59.41,66.34,3.37,0.34,0.6024,19.1
3612,2025-02-27,186.80333,191.42265,185.74216,191.30496,1425062.4,271629200.0,195.06,0.0,191.30496,186.75335984002976,1,187.21132340864702,1,178.35634963989258,1,0,0,0,1,0,0.59,0.26,-22.7917,-69.0044,0.455,0.515,56.44,62.38,3.37,0.34,0.6767,21.13
3613,2025-02-28,193.14879,196.09103,191.90323,195.31624,3431951.2,668382100.0,199.15,0.0,195.31624,187.14285786946616,1,187.1312586004084,1,178.4985446166992,1,0,0,0,1,0,6.84,5.67,16.4709,-26.4118,0.459,0.524,62.38,64.36,3.37,0.34,0.6144,19.63
3614,2025-03-03,195.68892,199.38438,195.68892,198.17021,1810241.2,358492640.0,202.06,0.0,198.17021,187.52721804664247,1,187.18511075106534,1,178.66868156433105,1,0,0,0,1,0,0.5,0.36,-4.1592,-48.1304,0.441,0.515,55.45,64.36,3.52,0.33,0.6418,22.78
