,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3605,2025-02-18,228.82,229.3,223.72,226.65,42975132.0,9698310000.0,226.65,0.0,226.65,233.7642836797805,0,226.40163601962004,1,197.41330017089842,1,0,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,225.52,226.83,223.71,226.63,28566708.0,6435608000.0,226.63,0.0,226.63,233.7971409388951,0,226.74290882457387,0,197.6514501953125,1,0,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,224.775,225.13,221.81,222.88,30001664.0,6687452000.0,222.88,0.0,222.88,233.42428370884485,0,227.0545451771129,0,197.84225021362306,1,0,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,223.28,223.31,214.74,216.58,55323850.0,12045706000.0,216.58,0.0,216.58,232.54666500999815,0,227.21254522150213,0,197.99410018920898,1,0,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,217.45,217.715,212.42,212.71,42387584.0,9075665000.0,212.71,0.0,212.71,231.4652368454706,0,227.24890885786576,0,198.1141502380371,1,0,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,211.63,213.34,204.16,212.8,58957976.0,12346107000.0,212.8,0.0,212.8,230.4152367001488,0,227.2372725053267,0,198.23435028076173,1,0,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
3611,2025-02-26,214.94,218.16,213.09,214.35,39120604.0,8431084500.0,214.35,0.0,214.35,229.41190374465216,0,227.1679998224432,0,198.3661003112793,1,0,0,0,1,0,0.66,0.84,-10.0134,-43.3198,0.482,0.509,59.41,66.34,3.37,0.34,0.6024,19.1
3612,2025-02-27,218.35,219.97,208.37,208.74,40548572.0,8616693000.0,208.74,0.0,208.74,228.0114281063988,0,226.9532725941051,0,198.4623003387451,1,-1,0,0,1,0,0.59,0.26,-22.7917,-69.0044,0.455,0.515,56.44,62.38,3.37,0.34,0.6767,21.13
3613,2025-02-28,208.65,212.62,206.99,212.28,51771736.0,10882440000.0,212.28,0.0,212.28,226.8309515090216,0,226.6850907759233,0,198.5863003540039,1,0,0,0,1,0,6.84,5.67,16.4709,-26.4118,0.459,0.524,62.38,64.36,3.37,0.34,0.6144,19.63
3614,2025-03-03,213.352,214.01,202.55,205.02,42948450.0,8907951000.0,205.02,0.0,205.02,225.42047555106026,0,226.3020000110973,0,198.6785503387451,1,-1,0,0,1,0,0.5,0.36,-4.1592,-48.1304,0.441,0.515,55.45,64.36,3.52,0.33,0.6418,22.78
3615,2025-03-04,200.11,206.8,197.432,203.8,60853084.0,12287959000.0,203.8,0.0,203.8,223.80714271182106,0,225.9158183704723,0,198.76220031738282,1,-1,0,0,1,0,0.2,0.66,-37.9786,-53.5878,0.412,0.46,47.52,56.44,3.52,0.33,0.6069,23.51
3616,2025-03-05,204.8,209.98,203.26,208.36,38610084.0,7994420000.0,208.36,0.0,208.36,222.42333330426897,0,225.5176366632635,0,198.87405029296875,1,0,0,0,1,0,2.98,3.04,-8.7362,-22.3425,0.431,0.476,51.49,59.41,3.52,0.33,0.5383,21.93
3617,2025-03-06,204.4,205.77,198.3015,200.7,49863756.0,10044545000.0,200.7,0.0,200.7,220.4538094656808,0,225.0036365855824,0,198.9594002532959,1,-1,0,0,1,0,0.49,0.26,-25.5887,-49.9714,0.409,0.462,44.55,56.44,3.52,0.33,0.6521,24.87
3618,2025-03-07,199.49,202.2653,192.53,199.25,59802820.0,11820739000.0,199.25,0.0,199.25,218.69571431477866,0,224.49072737260298,0,199.0321502685547,1,-1,0,0,1,0,2.21,2.06,-4.0093,-26.8096,0.458,0.506,52.48,59.41,3.52,0.33,0.5657,23.37
3619,2025-03-10,195.6,196.73,190.85,194.54,62350930.0,12070137000.0,194.54,0.0,194.54,216.58666628882997,0,223.79272738370028,0,199.0871502685547,0,-1,0,0,0,-1,0.44,0.26,-23.8012,-53.4069,0.437,0.48,44.55,51.49,3.52,0.33,0.5979,27.86
3620,2025-03-11,193.9,200.18,193.4,196.59,54002880.0,10628925000.0,196.59,0.0,196.59,215.03619021461122,0,223.16436379172586,0,199.15435028076172,0,-1,0,0,0,-1,0.3,0.63,-48.0505,-58.0588,0.44,0.445,37.62,43.56,3.52,0.33,0.5695,26.92
3621,2025-03-12,200.72,201.52,195.29,198.89,43679284.0,8687025000.0,198.89,0.0,198.89,213.40523783365884,0,222.77109097567472,0,199.2331502532959,0,-1,0,0,0,-1,0.56,1.1,-55.8406,-47.8844,0.447,0.441,32.67,43.56,3.52,0.33,0.6245,24.23
3622,2025-03-13,198.165,198.8799,191.82,193.89,41270760.0,8020194300.0,193.89,0.0,193.89,211.55428568522134,0,222.23654563210226,0,199.29735023498534,0,-1,0,0,0,-1,0.35,0.23,-72.0347,-72.6093,0.445,0.43,33.66,39.6,3.52,0.33,0.9386,24.66
3623,2025-03-14,197.41,198.65,195.32,197.95,38096664.0,7521648000.0,197.95,0.0,197.95,210.07904779343377,0,221.74618197354403,0,199.38335021972657,0,-1,0,0,0,0,9.27,11.62,-21.3058,-20.1187,0.452,0.433,36.63,46.53,3.52,0.33,0.5724,21.77
3624,2025-03-17,198.77,199.0,194.3247,195.74,47341750.0,9300819000.0,195.74,0.0,195.74,208.4300006684803,0,221.21309120871803,0,199.45130027770995,0,-1,0,0,0,0,10.41,7.42,23.1506,20.9009,0.514,0.491,41.58,49.5,3.52,0.33,0.5917,20.51
3625,2025-03-18,192.52,194.0,189.38,192.82,40414868.0,7762927600.0,192.82,0.0,192.82,206.7223823184059,0,220.5543640136719,0,199.50530029296874,0,-1,0,0,0,0,0.48,0.22,2.28,-14.4288,0.492,0.506,40.59,47.52,3.52,0.33,0.5773,21.7
3626,2025-03-19,193.38,195.965,191.96,195.54,39442880.0,7662890500.0,195.54,0.0,195.54,205.24095371791296,0,219.98145474520598,0,199.5864002227783,0,-1,0,0,0,0,2.74,3.59,25.2077,15.8325,0.495,0.505,43.56,50.5,3.52,0.33,0.5361,19.9
3627,2025-03-20,193.07,199.32,192.3,194.95,38921110.0,7614129000.0,194.95,0.0,194.95,203.73238191150483,0,219.4578183260831,0,199.6789501953125,0,-1,0,0,0,0,0.56,0.46,7.2463,-4.9079,0.506,0.508,42.57,50.5,3.52,0.33,0.6066,19.8
3628,2025-03-21,192.9,196.99,192.52,196.21,60056916.0,11729152000.0,196.21,0.0,196.21,202.4623819986979,0,219.00163657448508,0,199.76830024719237,0,0,0,0,0,0,0.43,0.85,-13.683,-8.2996,0.485,0.469,41.58,50.5,3.52,0.33,0.5496,19.28
3629,2025-03-24,200.0,203.64,199.95,203.26,41625364.0,8423667000.0,203.26,0.0,203.26,201.82809593563988,1,218.70836375843396,0,199.8879002380371,1,0,1,0,1,0,5.44,7.42,22.6741,30.9608,0.552,0.523,44.55,57.43,3.52,0.33,0.4768,17.48
3630,2025-03-25,203.595,206.21,203.22,205.71,31171160.0,6393321500.0,205.71,0.0,205.71,201.49476260230654,1,218.4445456764915,0,200.01005027770995,1,0,1,0,1,0,0.77,1.4,12.7839,34.6706,0.572,0.543,44.55,58.42,3.52,0.33,0.6475,17.15
3631,2025-03-26,205.835,206.01,199.925,201.13,32990972.0,6671266300.0,201.13,0.0,201.13,200.93904840378534,1,218.02527299360796,0,200.09070030212402,1,0,0,0,0,0,1.13,0.54,13.7577,14.2534,0.554,0.561,44.55,55.45,3.52,0.33,0.7055,18.33
3632,2025-03-27,200.89,203.79,199.2821,201.36,27317660.0,5513832000.0,201.36,0.0,201.36,200.32047671363466,1,217.54800026633524,0,200.176000289917,1,0,0,0,0,0,0.75,0.75,4.3135,4.7254,0.578,0.577,41.58,52.48,3.52,0.33,0.7238,18.69
3633,2025-03-28,198.42,199.26,191.881,192.72,52548224.0,10192464000.0,192.72,0.0,192.72,199.55761936732702,0,217.0136366410689,0,200.20430030822754,0,0,0,0,0,0,0.22,0.12,-28.5772,-35.5536,0.497,0.505,31.68,48.51,3.52,0.33,0.6843,21.65
3634,2025-03-31,188.19,191.33,184.4,190.26,63547560.0,11964184000.0,190.26,0.0,190.26,198.50904773530505,0,216.43418190696022,0,200.21945030212402,0,0,0,0,0,0,3.58,1.22,3.509,-25.7055,0.464,0.492,35.64,50.5,3.52,0.33,0.5812,22.28
3635,2025-04-01,187.86,193.93,187.2,192.17,41267316.0,7901458000.0,192.17,0.0,192.17,197.8971426827567,0,215.94745455655183,0,200.2458502960205,0,0,0,0,0,0,1.46,2.06,12.1314,-4.8301,0.514,0.519,37.62,49.5,4.02,0.62,0.5284,21.77
3636,2025-04-02,187.66,198.34,187.66,196.01,53679200.0,10429172000.0,196.01,0.0,196.01,197.52618989490327,0,215.539272516424,0,200.30675025939942,0,0,1,0,0,0,3.45,3.59,37.6151,23.9337,0.514,0.523,32.67,52.48,4.02,0.62,0.5899,21.51
3637,2025-04-03,182.995,184.13,176.92,178.41,95553620.0,17232386000.0,178.41,0.0,178.41,196.0999995640346,0,214.823818137429,0,200.28050025939942,0,0,0,0,0,0,0.23,0.23,0.6051,-10.8109,0.501,0.506,31.68,40.59,4.02,0.62,1.0151,30.02
3638,2025-04-04,167.145,178.1436,166.0,171.0,123159360.0,21331823000.0,171.0,0.0,171.0,194.68571399507067,0,213.87199984463777,0,200.21520027160645,0,0,0,0,0,-1,0.03,0.02,-47.1825,-57.4832,0.457,0.479,12.87,21.78,4.02,0.62,0.6411,45.31
3639,2025-04-07,162.0,183.4099,161.38,175.26,109327110.0,18876940000.0,175.26,0.0,175.26,193.54333278111048,0,213.0465451327237,0,200.17745025634767,0,0,0,0,0,-1,0.47,0.84,-58.7157,-53.5362,0.414,0.426,6.93,20.79,4.02,0.62,0.6343,46.98
3640,2025-04-08,185.23,185.9,168.57,170.66,87710360.0,15472276000.0,170.66,0.0,170.66,192.40619041806175,0,212.04145424582742,0,200.10025024414062,0,0,0,0,0,-1,0.16,0.15,-86.4379,-82.5671,0.369,0.396,4.95,19.8,4.02,0.62,0.7695,52.33
3641,2025-04-09,172.115,192.65,169.93,191.1,116804330.0,21297457000.0,191.1,0.0,191.1,192.14476231166296,0,211.32127241654828,0,200.11035026550292,0,0,0,0,0,0,54.89,100.0,-25.2151,-20.8371,0.433,0.442,13.86,37.62,4.02,0.62,0.5776,33.62
3642,2025-04-10,185.44,186.8692,175.8518,181.22,68302050.0,12407121000.0,181.22,0.0,181.22,191.30333382742745,0,210.3432725386186,0,200.08860023498536,0,0,0,0,0,0,0.17,0.1,-56.2132,-58.0528,0.399,0.413,15.84,28.71,4.02,0.62,0.757,40.72
3643,2025-04-11,179.93,185.86,178.0,184.87,50594210.0,9215818000.0,184.87,0.0,184.87,190.87380981445312,0,209.4241815740412,0,200.08125022888183,0,0,0,0,0,0,6.83,4.94,-9.951,-15.3245,0.471,0.483,16.83,32.67,4.02,0.62,0.4303,37.56
3644,2025-04-14,186.84,187.44,179.23,182.12,48002540.0,8782068000.0,182.12,0.0,182.12,190.12000020345053,0,208.4654541015625,0,200.023800201416,0,0,0,0,0,0,6.17,2.74,28.4831,11.3838,0.489,0.49,21.78,33.66,4.02,0.62,0.6767,30.89
3645,2025-04-15,181.41,182.35,177.9331,179.59,43641950.0,7858371000.0,179.59,0.0,179.59,189.3509521484375,0,207.4503631591797,0,199.9325001525879,0,0,0,0,0,0,0.65,1.2,14.667,15.3506,0.476,0.471,21.78,32.67,4.02,0.62,0.7174,30.12
3646,2025-04-16,176.29,179.1046,171.41,174.33,51875316.0,9070522000.0,174.33,0.0,174.33,188.47047569638207,0,206.28999966708096,0,199.83790016174316,0,0,0,0,0,0,0.15,0.03,-23.5926,-32.8197,0.401,0.406,18.81,30.69,4.02,0.62,0.7151,32.64
3647,2025-04-17,176.0,176.21,172.0,172.61,44726452.0,7763227600.0,172.61,0.0,172.61,187.37857128324964,0,205.11799954501066,0,199.7149501800537,0,0,0,0,0,0,3.25,2.03,7.1601,-9.8115,0.449,0.464,24.75,30.69,4.02,0.62,0.5406,29.65
3648,2025-04-21,169.6,169.6,165.285,167.32,48126110.0,8032999000.0,167.32,0.0,167.32,186.06285749162947,0,203.89399968927557,0,199.5515502166748,0,0,0,0,0,0,0.08,0.1,-35.3228,-48.1795,0.456,0.469,13.86,26.73,4.02,0.62,0.6688,33.82
3649,2025-04-22,169.845,176.78,169.35,173.18,56607200.0,9807026000.0,173.18,0.0,173.18,184.96619015648253,0,202.7212724165483,0,199.42950019836425,0,0,0,0,0,0,54.89,202.0,18.9882,10.3458,0.511,0.535,18.81,33.66,4.02,0.62,0.5431,30.57
3650,2025-04-23,183.45,187.38,180.19,180.6,63470148.0,11622703000.0,180.6,0.0,180.6,183.88714308965774,0,201.6881816517223,0,199.33250022888183,0,0,0,0,0,0,2.6,3.59,39.3185,38.5511,0.576,0.594,20.79,32.67,4.02,0.62,0.5423,28.45
3651,2025-04-24,180.915,186.74,180.18,186.54,43763196.0,8090944000.0,186.54,0.0,186.54,182.97428530738466,1,200.67872702858665,0,199.26875022888183,0,0,1,0,0,0,4.18,5.73,64.9815,69.4045,0.562,0.576,27.72,37.62,4.02,0.62,0.6419,26.47
3652,2025-04-25,187.62,189.94,185.49,188.99,36414330.0,6845508600.0,188.99,0.0,188.99,182.3961900983538,1,199.8209089799361,0,199.2170002746582,0,0,1,0,0,0,0.69,1.89,46.8394,75.6352,0.618,0.602,28.71,39.6,4.02,0.62,0.4642,24.84
3653,2025-04-28,190.105,190.22,184.885,187.7,33224732.0,6228644400.0,187.7,0.0,187.7,181.74571373349144,1,198.8912725275213,0,199.15655029296875,0,0,1,0,0,0,1.99,1.4,56.7094,73.6536,0.594,0.582,28.71,40.59,4.02,0.62,0.5747,25.15
3654,2025-04-29,183.99,188.0158,183.68,187.39,41667256.0,7762013700.0,187.39,0.0,187.39,181.49190412248885,1,198.1319999001243,0,199.1182502746582,0,0,1,0,0,0,2.83,2.74,72.2352,86.4425,0.594,0.569,33.66,43.56,4.02,0.62,0.5503,24.17
3655,2025-04-30,182.17,185.05,178.85,184.42,55176544.0,10084304000.0,184.42,0.0,184.42,181.21380905877976,1,197.2461816961115,0,199.0679002380371,0,0,1,0,0,0,1.77,1.89,75.1165,89.024,0.605,0.594,37.62,42.57,4.02,0.62,0.6655,24.7
3656,2025-05-01,190.63,191.80711,187.5,190.2,74265960.0,14033615000.0,190.2,0.0,190.2,181.1199994768415,1,196.47236355868253,0,199.0553002166748,0,0,1,0,0,0,0.74,0.87,55.9616,71.9742,0.648,0.623,37.62,43.56,3.99,0.26,0.5213,24.6
3657,2025-05-02,191.435,192.88,186.4,189.98,77903490.0,14795960000.0,189.98,0.0,189.98,180.83285667782738,1,195.7641817959872,0,199.0401001739502,0,0,1,1,0,0,10.43,7.42,87.9274,98.6209,0.669,0.638,58.42,48.51,3.99,0.26,0.4903,22.68
3658,2025-05-05,186.51,188.18,185.53,186.35,35217468.0,6583460000.0,186.35,0.0,186.35,181.21095203218005,1,194.963818359375,0,199.03220024108887,0,0,1,1,0,0,0.59,0.66,60.6402,72.3959,0.7,0.667,52.48,47.52,3.99,0.26,0.6,23.64
3659,2025-05-06,184.57,187.93,183.85,185.01,29314056.0,5441320400.0,185.01,0.0,185.01,181.87809462774368,1,194.1698183926669,0,199.03850021362305,0,0,1,0,0,0,0.4,0.39,28.2756,38.0076,0.628,0.597,51.49,43.56,3.99,0.26,0.6388,24.76
3660,2025-05-07,185.56,190.99,185.01,188.71,44002930.0,8293199000.0,188.71,0.0,188.71,182.51857139950707,1,193.48000044389204,0,199.06640022277833,0,0,1,1,0,0,2.6,2.7,44.3191,53.4155,0.623,0.597,55.45,47.52,3.99,0.26,0.5409,23.55
3661,2025-05-08,191.43,194.33,188.82,192.08,41043620.0,7885450000.0,192.08,0.0,192.08,183.538571312314,1,192.8518185702237,0,199.1140502166748,0,0,1,1,0,0,2.27,2.61,55.0148,65.5995,0.61,0.586,59.41,47.52,3.99,0.26,0.5434,22.48
3662,2025-05-09,193.375,194.69,191.16,193.06,29663144.0,5717761500.0,193.06,0.0,193.06,183.63190423874627,1,192.3096366188743,1,199.14730018615722,0,0,1,1,0,0,0.92,0.63,42.4845,42.0254,0.583,0.593,63.37,48.51,3.99,0.26,0.5327,21.9
