,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3605,2025-02-18,185.68,188.66,184.22,184.97,6929627.0,1290254300.0,184.97,0.0,184.97,179.0933336530413,1,172.19836287064985,1,169.3777000427246,1,0,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,185.31,187.2299,181.83,186.15,7264764.0,1345946500.0,186.15,0.0,186.15,179.8104763939267,1,172.8418174050071,1,169.4511499786377,1,0,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,185.58,185.8,180.11,180.88,7863048.0,1427552100.0,180.88,0.0,180.88,180.06381007603235,1,173.35963578657672,1,169.4612999725342,1,0,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,181.28,182.2,174.71,177.15,8980339.0,1601449500.0,177.15,0.0,177.15,180.17571440197173,0,173.75436290394177,1,169.44809997558593,1,0,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,177.475,183.04,176.55,179.91,8392903.0,1513521500.0,179.91,0.0,179.91,180.24285743350075,0,174.17927218350496,1,169.4558999633789,1,0,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,180.45,181.88,176.34,178.27,5613880.0,1000631400.0,178.27,0.0,178.27,180.3480958484468,0,174.602363170277,1,169.46369995117186,1,0,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
3611,2025-02-26,179.49,179.49,171.83,173.04,7111736.0,1240461700.0,173.04,0.0,173.04,180.2471429734003,0,174.8707267067649,0,169.42714988708497,1,0,0,0,1,0,0.66,0.84,-10.0134,-43.3198,0.482,0.509,59.41,66.34,3.37,0.34,0.6024,19.1
3612,2025-02-27,174.52,177.15,173.59,173.83,4695248.0,821961400.0,173.83,0.0,173.83,180.05904788062685,0,175.18272677334872,0,169.39004989624024,1,0,0,0,1,0,0.59,0.26,-22.7917,-69.0044,0.455,0.515,56.44,62.38,3.37,0.34,0.6767,21.13
3613,2025-02-28,174.36,176.3,173.4811,174.63,5803347.0,1013578940.0,174.63,0.0,174.63,180.10523841494606,0,175.5590906316584,0,169.3706499481201,1,0,0,0,1,0,6.84,5.67,16.4709,-26.4118,0.459,0.524,62.38,64.36,3.37,0.34,0.6144,19.63
3614,2025-03-03,177.02,178.4,169.46,170.06,6045578.0,1044729000.0,170.06,0.0,170.06,179.65428597586495,0,175.79581798206675,0,169.32874992370606,1,0,0,0,1,0,0.5,0.36,-4.1592,-48.1304,0.441,0.515,55.45,64.36,3.52,0.33,0.6418,22.78
3615,2025-03-04,167.37,168.38,156.69,158.9,15870217.0,2546558700.0,158.9,0.0,158.9,178.81523786272322,0,175.7012723055753,0,169.21944992065428,0,0,0,0,1,0,0.2,0.66,-37.9786,-53.5878,0.412,0.46,47.52,56.44,3.52,0.33,0.6069,23.51
3616,2025-03-05,159.96,164.33,158.81,163.16,7355750.0,1191931800.0,163.16,0.0,163.16,178.21000017438615,0,175.65036315917968,0,169.15029991149902,0,0,0,0,1,0,2.98,3.04,-8.7362,-22.3425,0.431,0.476,51.49,59.41,3.52,0.33,0.5383,21.93
3617,2025-03-06,161.42,162.69,157.94,158.43,6892570.0,1100007600.0,158.43,0.0,158.43,177.3623809814453,0,175.48090848055753,0,169.0276498413086,0,0,0,0,1,0,0.49,0.26,-25.5887,-49.9714,0.409,0.462,44.55,56.44,3.52,0.33,0.6521,24.87
3618,2025-03-07,157.19,158.36,149.05,154.18,12526696.0,1916068700.0,154.18,0.0,154.18,176.0452379499163,0,175.1996357310902,0,168.8737998199463,0,-1,0,0,1,0,2.21,2.06,-4.0093,-26.8096,0.458,0.506,52.48,59.41,3.52,0.33,0.5657,23.37
3619,2025-03-10,150.03,150.39,146.3,148.15,10203962.0,1513606100.0,148.15,0.0,148.15,174.2999994187128,0,174.7447265625,0,168.68149978637695,0,-1,0,0,0,-1,0.44,0.26,-23.8012,-53.4069,0.437,0.48,44.55,51.49,3.52,0.33,0.5979,27.86
3620,2025-03-11,148.0,155.01,145.45,154.06,10030549.0,1513520300.0,154.06,0.0,154.06,172.99380856468565,0,174.3998174493963,0,168.52789978027343,0,0,0,0,0,-1,0.3,0.63,-48.0505,-58.0588,0.44,0.445,37.62,43.56,3.52,0.33,0.5695,26.92
3621,2025-03-12,157.0,159.54,153.6113,158.8,8706890.0,1368592500.0,158.8,0.0,158.8,171.95809427897134,0,174.1485448663885,0,168.39049980163574,0,0,0,0,0,-1,0.56,1.1,-55.8406,-47.8844,0.447,0.441,32.67,43.56,3.52,0.33,0.6245,24.23
3622,2025-03-13,159.22,161.74,157.25,159.32,5701556.0,908089540.0,159.32,0.0,159.32,170.95238022577195,0,173.8263633034446,0,168.3260498046875,0,0,0,0,0,-1,0.35,0.23,-72.0347,-72.6093,0.445,0.43,33.66,39.6,3.52,0.33,0.9386,24.66
3623,2025-03-14,160.915,162.32,159.2001,161.81,5215140.0,841517200.0,161.81,0.0,161.81,169.78857058570497,0,173.54381769353694,0,168.26249977111817,0,0,0,0,0,0,9.27,11.62,-21.3058,-20.1187,0.452,0.433,36.63,46.53,3.52,0.33,0.5724,21.77
3624,2025-03-17,160.5,162.77,159.6235,161.85,5602688.0,905068400.0,161.85,0.0,161.85,168.6652374267578,0,173.25581776012075,0,168.19634979248048,0,0,0,0,0,0,10.41,7.42,23.1506,20.9009,0.514,0.491,41.58,49.5,3.52,0.33,0.5917,20.51
3625,2025-03-18,161.44,162.23,158.79,161.57,4195165.0,674659650.0,161.57,0.0,161.57,167.57714262462798,0,172.93272705078124,0,168.14594985961915,0,0,0,0,0,0,0.48,0.22,2.28,-14.4288,0.492,0.506,40.59,47.52,3.52,0.33,0.5773,21.7
3626,2025-03-19,165.32,174.2,165.0,172.62,14114844.0,2418799900.0,172.62,0.0,172.62,166.98904709588913,1,172.79163596413352,0,168.14529983520507,1,0,0,0,0,0,2.74,3.59,25.2077,15.8325,0.495,0.505,43.56,50.5,3.52,0.33,0.5361,19.9
3627,2025-03-20,171.14,173.1,170.31,172.83,4934361.0,850022850.0,172.83,0.0,172.83,166.3547617594401,1,172.6481814297763,1,168.1213998413086,1,0,0,0,0,0,0.56,0.46,7.2463,-4.9079,0.506,0.508,42.57,50.5,3.52,0.33,0.6066,19.8
3628,2025-03-21,172.06,183.46,170.77,178.11,26802364.0,4805444000.0,178.11,0.0,178.11,166.22285679408483,1,172.6765450217507,1,168.08909980773925,1,0,0,0,0,0,0.43,0.85,-13.683,-8.2996,0.485,0.469,41.58,50.5,3.52,0.33,0.5496,19.28
3629,2025-03-24,182.03,184.4,180.4411,180.9,9986066.0,1818980900.0,180.9,0.0,180.9,166.40142822265625,1,172.74745400168678,1,168.05049980163574,1,0,1,0,1,0,5.44,7.42,22.6741,30.9608,0.552,0.523,44.55,57.43,3.52,0.33,0.4768,17.48
3630,2025-03-25,182.16,183.85,180.36,182.59,7174436.0,1308560300.0,182.59,0.0,182.59,166.52904692150298,1,172.94236311479048,1,168.01419975280763,1,0,1,0,1,0,0.77,1.4,12.7839,34.6706,0.572,0.543,44.55,58.42,3.52,0.33,0.6475,17.15
3631,2025-03-26,182.525,183.2278,177.28,178.55,6633607.0,1191986800.0,178.55,0.0,178.55,166.5423801967076,1,173.09963600852274,1,167.9498497772217,1,0,0,0,0,0,1.13,0.54,13.7577,14.2534,0.554,0.561,44.55,55.45,3.52,0.33,0.7055,18.33
3632,2025-03-27,178.53,182.22,178.0334,179.11,4788639.0,861460900.0,179.11,0.0,179.11,166.83142816452752,1,173.25109058726918,1,167.89419975280762,1,0,0,0,0,0,0.75,0.75,4.3135,4.7254,0.578,0.577,41.58,52.48,3.52,0.33,0.7238,18.69
3633,2025-03-28,177.75,178.5,172.45,173.31,8211108.0,1430812800.0,173.31,0.0,173.31,166.8066660563151,1,173.26563609730113,1,167.81014976501464,1,0,0,0,0,0,0.22,0.12,-28.5772,-35.5536,0.497,0.505,31.68,48.51,3.52,0.33,0.6843,21.65
