,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3605,2025-02-18,148.65045,150.53561,148.11456,149.43513,6250658.0,934094850.0,156.16,0.0,149.43513,146.9879855201358,1,145.18289184570312,1,143.15425201416016,1,0,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,149.77963,151.54039,149.28203,150.45905,5168384.0,778444740.0,157.23,0.0,150.45905,146.875491187686,1,145.12169910777698,1,143.17444435119629,1,0,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,150.71742,152.10498,150.30595,151.95187,6537693.0,991708700.0,158.79,0.0,151.95187,146.97965494791666,1,145.09487609863282,1,143.19705604553224,1,0,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,151.3203,152.10498,150.06673,150.1624,6990869.5,1055616000.0,156.92,0.0,150.1624,147.0810808454241,1,145.03861472389914,1,143.21292175292967,1,0,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,150.32031,151.51169,149.99973,151.09064,6191685.5,934789300.0,157.89,0.0,151.09064,147.24473644438245,1,144.99441195401278,1,143.2240267944336,1,0,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,151.18634,152.14326,148.76529,149.68393,7117814.0,1067935800.0,156.42,0.0,149.68393,147.35763113839286,1,144.9296231356534,1,143.22640144348145,1,0,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
3611,2025-02-26,149.87532,149.9423,147.75092,148.45906,6275479.0,934417100.0,155.14,0.0,148.45906,147.3409903390067,1,144.90451244007457,1,143.22324798583983,1,0,0,0,1,0,0.66,0.84,-10.0134,-43.3198,0.482,0.509,59.41,66.34,3.37,0.34,0.6024,19.1
3612,2025-02-27,148.98538,151.4734,148.14326,149.92317,7855527.0,1180936800.0,156.67,0.0,149.92317,147.4400380452474,1,144.88864191228694,1,143.2140690612793,1,0,0,0,1,0,0.59,0.26,-22.7917,-69.0044,0.455,0.515,56.44,62.38,3.37,0.34,0.6767,21.13
3613,2025-02-28,149.9471,151.83704,148.24854,151.7892,9225848.0,1393014000.0,158.62,0.0,151.7892,147.65138026646204,1,144.97707991166547,1,143.21252334594726,1,0,0,0,1,0,6.84,5.67,16.4709,-26.4118,0.459,0.524,62.38,64.36,3.37,0.34,0.6144,19.63
3614,2025-03-03,152.59303,153.19589,145.22461,146.49734,9467523.0,1402960100.0,153.09,0.0,146.49734,147.58233642578125,0,144.93763954856178,1,143.19043464660643,1,0,0,0,1,0,0.5,0.36,-4.1592,-48.1304,0.441,0.515,55.45,64.36,3.52,0.33,0.6418,22.78
3615,2025-03-04,144.69351,147.51408,143.58826,145.45428,9223546.0,1341617400.0,152.0,0.0,145.45428,147.7849615187872,0,144.8806113503196,1,143.16734992980957,1,0,0,0,1,0,0.2,0.66,-37.9786,-53.5878,0.412,0.46,47.52,56.44,3.52,0.33,0.6069,23.51
3616,2025-03-05,143.68394,144.84663,141.37775,144.31552,9706540.0,1392190000.0,150.81,0.0,144.31552,147.92659941173736,0,144.81647227894177,0,143.14113975524901,1,0,0,0,1,0,2.98,3.04,-8.7362,-22.3425,0.431,0.476,51.49,59.41,3.52,0.33,0.5383,21.93
