,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3605,2025-02-18,155.2,156.605,153.92,155.84,2855425.0,442894100.0,155.84,0.0,155.84,186.5366675967262,0,197.6556357643821,0,169.581630859375,0,-1,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,154.52,155.82,151.5,152.55,2577331.0,394496860.0,152.55,0.0,152.55,183.80523899623327,0,196.8945448441939,0,169.6614794921875,0,-1,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,151.12,151.5813,146.4718,150.02,3945472.0,586791100.0,150.02,0.0,150.02,180.75333440871466,0,196.135453935103,0,169.71771980285644,0,-1,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,150.5,151.33,144.88,146.57,2410100.0,355329730.0,146.57,0.0,146.57,177.49857293991815,0,195.23745394620028,0,169.74861839294434,0,-1,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,147.0,147.8,139.6,140.11,4239071.0,599280830.0,140.11,0.0,140.11,173.7623821440197,0,194.11399952281604,0,169.73095863342286,0,-1,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,139.5,144.59,138.81,142.79,4298218.0,609760260.0,142.79,0.0,142.79,170.22095307849702,0,193.02163585316052,0,169.72625717163086,0,-1,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
3611,2025-02-26,144.77,149.55,144.57,144.97,3632853.0,533859000.0,144.97,0.0,144.97,167.0338105701265,0,191.9456359863281,0,169.73987243652343,0,-1,0,0,1,0,0.66,0.84,-10.0134,-43.3198,0.482,0.509,59.41,66.34,3.37,0.34,0.6024,19.1
3612,2025-02-27,145.76,146.09,138.12,138.49,2836173.0,397598850.0,138.49,0.0,138.49,163.34666806175596,0,190.81054521040483,0,169.70352935791016,0,-1,0,0,1,0,0.59,0.26,-22.7917,-69.0044,0.455,0.515,56.44,62.38,3.37,0.34,0.6767,21.13
3613,2025-02-28,138.5,140.125,136.5434,139.36,3004055.0,416786200.0,139.36,0.0,139.36,159.55904933384485,0,189.71618152965198,0,169.68200294494628,0,-1,0,0,1,0,6.84,5.67,16.4709,-26.4118,0.459,0.524,62.38,64.36,3.37,0.34,0.6144,19.63
3614,2025-03-03,140.17,141.9,135.8,137.24,2785740.0,385900030.0,137.24,0.0,137.24,155.47000194731214,0,188.54690884676847,0,169.65930992126465,0,-1,0,0,1,0,0.5,0.36,-4.1592,-48.1304,0.441,0.515,55.45,64.36,3.52,0.33,0.6418,22.78
