,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3601,2025-02-11,130.14685,133.89888,130.14685,132.71457,3216004.0,425926530.0,133.35,0.0,132.71457,129.08716583251953,1,145.47353640469638,0,142.60080764770507,0,0,1,1,1,0,1.08,0.72,-1.7043,18.6317,0.552,0.49,59.41,66.34,3.37,0.34,0.5254,16.02
3602,2025-02-12,131.1819,133.07285,130.27623,130.54495,3085666.8,405665600.0,131.17,0.0,130.54495,128.575804574149,1,144.83390711004083,0,142.62246028900145,0,0,1,1,1,0,0.46,0.91,-21.2947,10.8355,0.542,0.481,56.44,66.34,3.37,0.34,0.5566,15.89
3603,2025-02-13,129.81844,130.93309,127.81799,129.20139,3102479.0,400926700.0,129.82,0.0,129.20139,128.01041702997117,1,144.1470757224343,0,142.63447044372558,0,0,1,1,1,0,3.66,4.32,9.1167,37.779,0.547,0.477,62.38,66.34,3.37,0.34,0.767,15.1
3604,2025-02-14,129.12177,130.1369,128.4251,128.78337,2330756.5,300895000.0,129.4,0.0,128.78337,127.40711430140904,1,143.47614066384057,0,142.64439052581787,0,0,1,1,1,0,0.74,0.8,-1.0256,23.9931,0.555,0.496,60.4,63.37,3.37,0.34,0.4616,14.77
3605,2025-02-18,128.16634,129.42032,127.46967,127.73839,3781879.5,484563970.0,128.35,0.0,127.73839,126.7886472429548,1,142.8319340098988,0,142.65443923950195,0,0,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,128.45496,130.01747,127.7981,128.72366,3576469.8,461415650.0,129.34,0.0,128.72366,126.18866293770927,1,142.18973596746272,0,142.66267288208007,0,0,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,128.96252,130.50514,128.67412,129.37057,3834255.0,496449600.0,129.99,0.0,129.37057,125.55882154192243,1,141.59060460870916,0,142.6725548171997,0,0,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,129.49,131.18687,129.16655,130.32599,4889863.0,637714750.0,130.95,0.0,130.32599,125.01855069115048,1,140.99853030118075,0,142.6819594192505,0,0,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,130.50514,134.00836,130.14685,133.41122,8279468.5,1101580400.0,134.05,0.0,133.41122,125.751706804548,1,140.42111303156074,0,142.70183322906493,0,0,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,132.78423,133.48088,130.72409,131.10228,5286519.5,697907260.0,131.73,0.0,131.10228,126.47064572288876,1,139.77022968639028,0,142.71174854278564,0,0,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
3611,2025-02-26,131.01257,133.00592,130.64381,130.75345,3127464.2,411550000.0,131.19,0.0,130.75345,127.10899389357795,1,139.11807042902166,0,142.74470458984376,0,0,0,0,1,0,0.66,0.84,-10.0134,-43.3198,0.482,0.509,59.41,66.34,3.37,0.34,0.6024,19.1
3612,2025-02-27,130.45444,131.6006,129.64714,130.02588,4860398.0,634455300.0,130.46,0.0,130.02588,127.77809724353608,1,138.48525404496627,0,142.76470363616943,0,0,0,0,1,0,0.59,0.26,-22.7917,-69.0044,0.455,0.515,56.44,62.38,3.37,0.34,0.6767,21.13
3613,2025-02-28,131.25179,131.27171,127.593994,128.69032,6224882.5,801827260.0,129.12,0.0,128.69032,128.3565891810826,1,137.8030025135387,0,142.77792579650878,0,0,0,0,1,0,6.84,5.67,16.4709,-26.4118,0.459,0.524,62.38,64.36,3.37,0.34,0.6144,19.63
3614,2025-03-03,129.94614,131.16208,128.44116,128.79996,5226929.5,675461700.0,129.23,0.0,128.79996,128.86542220342727,0,137.14807753129438,0,142.79447200775147,0,0,0,0,1,0,0.5,0.36,-4.1592,-48.1304,0.441,0.515,55.45,64.36,3.52,0.33,0.6418,22.78
3615,2025-03-04,129.089,132.90627,128.80554,131.38135,4305445.0,566480400.0,131.82,0.0,131.38135,129.2967096964518,1,136.54569632790304,0,142.82387565612794,0,0,0,0,1,0,0.2,0.66,-37.9786,-53.5878,0.412,0.46,47.52,56.44,3.52,0.33,0.6069,23.51
3616,2025-03-05,131.15709,134.0624,130.87305,133.60393,5235475.0,698163600.0,134.05,0.0,133.60393,129.83383433024088,1,136.00869709361683,0,142.85928646087646,0,0,0,0,1,0,2.98,3.04,-8.7362,-22.3425,0.431,0.476,51.49,59.41,3.52,0.33,0.5383,21.93
3617,2025-03-06,133.20525,137.07234,132.92618,136.33481,3689343.0,502307680.0,136.79,0.0,136.33481,130.57967195056733,1,135.54541695334694,1,142.90071796417237,0,0,0,0,1,0,0.49,0.26,-25.5887,-49.9714,0.409,0.462,44.55,56.44,3.52,0.33,0.6521,24.87
3618,2025-03-07,135.7368,139.95273,135.54744,139.57399,3368092.0,468058980.0,140.04,0.0,139.57399,131.0428009033203,1,135.23096410577946,1,142.9653347015381,0,0,0,0,1,0,2.21,2.06,-4.0093,-26.8096,0.458,0.506,52.48,59.41,3.52,0.33,0.5657,23.37
3619,2025-03-10,139.28496,142.48926,138.75673,139.96269,5459042.0,766890560.0,140.43,0.0,139.96269,131.4519297281901,1,134.9456547130238,1,143.02916858673095,0,0,0,0,0,-1,0.44,0.26,-23.8012,-53.4069,0.437,0.48,44.55,51.49,3.52,0.33,0.5979,27.86
3620,2025-03-11,140.43112,140.43112,136.44444,137.42119,3849999.5,531144830.0,137.88,0.0,137.42119,131.90116737002418,1,134.64326934814454,1,143.0775686264038,0,0,0,0,0,-1,0.3,0.63,-48.0505,-58.0588,0.44,0.445,37.62,43.56,3.52,0.33,0.5695,26.92
3621,2025-03-12,136.54411,137.69028,135.27834,135.66704,3188237.5,433708320.0,136.12,0.0,135.66704,132.10147603352866,1,134.3971137306907,1,143.0860185623169,0,0,0,0,0,-1,0.56,1.1,-55.8406,-47.8844,0.447,0.441,32.67,43.56,3.52,0.33,0.6245,24.23
3622,2025-03-13,135.33813,137.79991,134.78,137.26172,3175651.5,434823000.0,137.72,0.0,137.26172,132.31800696963356,1,134.21668548583983,1,143.10611011505128,0,0,0,0,0,-1,0.35,0.23,-72.0347,-72.6093,0.445,0.43,33.66,39.6,3.52,0.33,0.9386,24.66
3623,2025-03-14,137.69028,138.76668,137.41121,138.24843,3075761.0,425461500.0,138.71,0.0,138.24843,132.6848391578311,1,134.05582594438033,1,143.1278635787964,0,0,0,0,0,0,9.27,11.62,-21.3058,-20.1187,0.452,0.433,36.63,46.53,3.52,0.33,0.5724,21.77
3624,2025-03-17,138.51752,142.89291,138.1388,142.42447,4525675.0,642183300.0,142.9,0.0,142.42447,133.31450980050224,1,133.97994204434482,1,143.18541774749755,0,0,0,0,0,0,10.41,7.42,23.1506,20.9009,0.514,0.491,41.58,49.5,3.52,0.33,0.5917,20.51
3625,2025-03-18,141.64706,142.9527,141.069,141.3979,2737453.2,388011300.0,141.87,0.0,141.3979,133.91520182291666,1,133.851374539462,1,143.2372929763794,0,0,0,0,0,0,0.48,0.22,2.28,-14.4288,0.492,0.506,40.59,47.52,3.52,0.33,0.5773,21.7
3626,2025-03-19,141.54741,142.25504,141.10887,141.49757,2536110.2,359154020.0,141.97,0.0,141.49757,134.57040114629837,1,133.72660952481357,1,143.29334003448486,0,1,0,0,0,0,2.74,3.59,25.2077,15.8325,0.495,0.505,43.56,50.5,3.52,0.33,0.5361,19.9
3627,2025-03-20,140.93944,143.22182,140.71518,142.77332,2893300.0,411506800.0,143.25,0.0,142.77332,135.23943219866072,1,133.64223036332564,1,143.34757495880126,0,1,0,0,0,0,0.56,0.46,7.2463,-4.9079,0.506,0.508,42.57,50.5,3.52,0.33,0.6066,19.8
3628,2025-03-21,141.79657,144.73676,141.52747,143.81982,9285720.0,1334156900.0,144.3,0.0,143.81982,135.927491687593,1,133.60546888871627,1,143.4064963912964,1,1,0,0,0,0,0.43,0.85,-13.683,-8.2996,0.485,0.469,41.58,50.5,3.52,0.33,0.5496,19.28
3629,2025-03-24,145.29489,145.38458,143.09225,144.06898,2857612.2,411877660.0,144.55,0.0,144.06898,136.58192007882255,1,133.57758026123048,1,143.44923961639404,1,1,1,0,1,0,5.44,7.42,22.6741,30.9608,0.552,0.523,44.55,57.43,3.52,0.33,0.4768,17.48
3630,2025-03-25,144.79655,145.96266,143.29158,144.01915,2390067.2,344696640.0,144.5,0.0,144.01915,137.0870593843006,1,133.55602403120562,1,143.4844860458374,1,0,1,0,1,0,0.77,1.4,12.7839,34.6706,0.572,0.543,44.55,58.42,3.52,0.33,0.6475,17.15
3631,2025-03-26,144.39789,145.87297,144.0939,144.70686,2226585.2,322700500.0,145.19,0.0,144.70686,137.73489670526413,1,133.5399143565785,1,143.52595096588135,1,1,0,0,0,0,1.13,0.54,13.7577,14.2534,0.554,0.561,44.55,55.45,3.52,0.33,0.7055,18.33
3632,2025-03-27,144.51749,145.9228,143.91948,144.8165,2340809.5,339651620.0,145.3,0.0,144.8165,138.4045657203311,1,133.54461711536754,1,143.57084323883058,1,1,0,0,0,0,0.75,0.75,4.3135,4.7254,0.578,0.577,41.58,52.48,3.52,0.33,0.7238,18.69
3633,2025-03-28,144.62712,145.25504,143.62546,143.76999,2431655.8,350884380.0,144.25,0.0,143.76999,139.05904715401786,1,133.54078743674538,1,143.61353107452393,1,1,0,0,0,0,0.22,0.12,-28.5772,-35.5536,0.497,0.505,31.68,48.51,3.52,0.33,0.6843,21.65
3634,2025-03-31,143.64041,144.19855,142.55405,144.0391,4227695.5,607598300.0,144.52,0.0,144.0391,139.7899409702846,1,133.55035552978515,1,143.65518161773682,1,1,0,0,0,0,3.58,1.22,3.509,-25.7055,0.464,0.492,35.64,50.5,3.52,0.33,0.5812,22.28
3635,2025-04-01,144.51749,145.34473,143.77994,145.18526,2286372.2,330901860.0,145.67,0.0,145.18526,140.5701933361235,1,133.6413814197887,1,143.70782497406006,1,1,0,0,0,0,1.46,2.06,12.1314,-4.8301,0.514,0.519,37.62,49.5,4.02,0.62,0.5284,21.77
3636,2025-04-02,144.51749,145.1155,142.82315,144.38791,2028986.8,292283900.0,144.87,0.0,144.38791,141.1895533970424,1,133.69782451282848,1,143.75529026031495,1,1,1,0,0,0,3.45,3.59,37.6151,23.9337,0.514,0.523,32.67,52.48,4.02,0.62,0.5899,21.51
3637,2025-04-03,143.25171,146.6105,142.863,144.368,4345116.0,627864300.0,144.85,0.0,144.368,141.7021280924479,1,133.75770582719284,1,143.80210987091064,1,1,0,0,0,0,0.23,0.23,0.6051,-10.8109,0.501,0.506,31.68,40.59,4.02,0.62,1.0151,30.02
3638,2025-04-04,142.62381,144.20354,134.58066,134.88963,4727611.0,649945340.0,135.34,0.0,134.88963,141.63331022716704,0,133.63837682550604,1,143.79384326934814,0,0,0,0,0,-1,0.03,0.02,-47.1825,-57.4832,0.457,0.479,12.87,21.78,4.02,0.62,0.6411,45.31
3639,2025-04-07,132.51756,136.29494,130.71358,134.17203,5844597.0,781395000.0,134.62,0.0,134.17203,141.3760739281064,0,133.51921012184837,1,143.7790102005005,0,0,0,0,0,-1,0.47,0.84,-58.7157,-53.5362,0.414,0.426,6.93,20.79,4.02,0.62,0.6343,46.98
3640,2025-04-08,134.80989,136.37468,130.72354,132.08899,3436728.2,457398500.0,132.53,0.0,132.08899,141.00113568987166,0,133.35131294944068,0,143.75515186309815,0,0,0,0,0,-1,0.16,0.15,-86.4379,-82.5671,0.369,0.396,4.95,19.8,4.02,0.62,0.7695,52.33
3641,2025-04-09,131.40128,140.11858,131.37138,136.1255,5428201.5,738314000.0,136.58,0.0,136.1255,140.93943641299293,0,133.2336449363015,1,143.74546955108642,0,0,0,0,0,0,54.89,100.0,-25.2151,-20.8371,0.433,0.442,13.86,37.62,4.02,0.62,0.5776,33.62
3642,2025-04-10,135.71687,140.82481,134.97932,138.92616,3853753.0,533360480.0,139.39,0.0,138.92616,141.0946328299386,0,133.18372650146483,1,143.73901844024658,0,0,0,0,0,0,0.17,0.1,-56.2132,-58.0528,0.399,0.413,15.84,28.71,4.02,0.62,0.757,40.72
3643,2025-04-11,138.92616,142.96268,137.476,142.45438,3127314.8,442107170.0,142.93,0.0,142.45438,141.34190223330543,1,133.62807977849786,1,143.75318683624266,0,0,0,0,0,0,6.83,4.94,-9.951,-15.3245,0.471,0.483,16.83,32.67,4.02,0.62,0.4303,37.56
3644,2025-04-14,142.68361,145.72346,142.03178,145.01582,2609268.8,377497020.0,145.5,0.0,145.01582,141.6641591389974,1,134.15555725097656,1,143.7804602432251,1,0,0,0,0,0,6.17,2.74,28.4831,11.3838,0.489,0.49,21.78,33.66,4.02,0.62,0.6767,30.89
3645,2025-04-15,145.1753,145.80319,144.00919,145.12546,2285084.0,331277630.0,145.61,0.0,145.12546,141.7927776518322,1,134.66059944846413,1,143.8134941482544,1,0,0,0,0,0,0.65,1.2,14.667,15.3506,0.476,0.471,21.78,32.67,4.02,0.62,0.7174,30.12
3646,2025-04-16,145.00586,145.29489,142.21518,142.49425,2223253.2,319006900.0,142.97,0.0,142.49425,141.84498450869606,1,135.14277288263494,1,143.83431522369384,0,0,0,0,0,0,0.15,0.03,-23.5926,-32.8197,0.401,0.406,18.81,30.69,4.02,0.62,0.7151,32.64
3647,2025-04-17,142.79324,145.60385,142.49425,145.12546,1767166.5,255762740.0,145.61,0.0,145.12546,142.01774088541666,1,135.66247225674715,1,143.87827022552491,1,0,0,0,0,0,3.25,2.03,7.1601,-9.8115,0.449,0.464,24.75,30.69,4.02,0.62,0.5406,29.65
3648,2025-04-21,144.53743,144.53743,140.57066,141.4577,2721399.0,385706140.0,141.93,0.0,141.4577,141.95509265718005,0,136.08689478093928,1,143.89614238739014,0,0,0,0,0,0,0.08,0.1,-35.3228,-48.1795,0.456,0.469,13.86,26.73,4.02,0.62,0.6688,33.82
3649,2025-04-22,143.62048,146.26665,142.90288,145.38458,2368983.2,343784160.0,145.87,0.0,145.38458,142.02960495721726,1,136.5061724576083,1,143.93469150543214,1,0,0,0,0,0,54.89,202.0,18.9882,10.3458,0.511,0.535,18.81,33.66,4.02,0.62,0.5431,30.57
3650,2025-04-23,145.60385,145.9826,142.3547,143.25171,2420075.2,346952830.0,143.73,0.0,143.25171,141.99068705240884,1,136.88667061545632,1,143.96461154937745,0,0,0,0,0,0,2.6,3.59,39.3185,38.5511,0.576,0.594,20.79,32.67,4.02,0.62,0.5423,28.45
3651,2025-04-24,144.31816,146.1321,142.89291,145.70354,2282337.8,332093500.0,146.19,0.0,145.70354,142.0708959670294,1,137.34178550026633,1,143.9998906326294,1,0,1,0,0,0,4.18,5.73,64.9815,69.4045,0.562,0.576,27.72,37.62,4.02,0.62,0.6419,26.47
3652,2025-04-25,146.08228,146.76,144.9361,146.11217,1842792.2,268989950.0,146.6,0.0,146.11217,142.13781520298548,1,137.63749250932173,1,144.03259616851807,1,0,1,0,0,0,0.69,1.89,46.8394,75.6352,0.618,0.602,28.71,39.6,4.02,0.62,0.4642,24.84
3653,2025-04-28,146.18193,146.94937,145.00586,146.23177,2771041.0,405013220.0,146.72,0.0,146.23177,142.20520891462053,1,137.9076884876598,1,144.04847568511963,1,0,1,0,0,0,1.99,1.4,56.7094,73.6536,0.594,0.582,28.71,40.59,4.02,0.62,0.5747,25.15
3654,2025-04-29,145.63376,146.64539,145.13542,145.48427,2240985.2,326353300.0,145.97,0.0,145.48427,142.2868412562779,1,138.22581703879615,1,144.05461109161376,1,0,1,0,0,0,2.83,2.74,72.2352,86.4425,0.594,0.569,33.66,43.56,4.02,0.62,0.5503,24.17
3655,2025-04-30,145.00586,145.564,142.97264,144.60718,2811399.5,405775740.0,145.09,0.0,144.60718,142.3138929094587,1,138.46484652432528,1,144.05447475433348,1,0,1,0,0,0,1.77,1.89,75.1165,89.024,0.605,0.594,37.62,42.57,4.02,0.62,0.6655,24.7
3656,2025-05-01,144.69688,146.44106,143.50089,144.61716,3339884.0,483723330.0,145.1,0.0,144.61716,142.2868405296689,1,138.68125721324574,1,144.05776386260987,1,0,1,0,0,0,0.74,0.87,55.9616,71.9742,0.648,0.623,37.62,43.56,3.99,0.26,0.5213,24.6
3657,2025-05-02,148.50418,154.39949,147.35802,150.5972,5126253.5,772376500.0,151.1,0.0,150.5972,142.582520984468,1,139.04584350585938,1,144.08266307830812,1,0,1,1,0,0,10.43,7.42,87.9274,98.6209,0.669,0.638,58.42,48.51,3.99,0.26,0.4903,22.68
3658,2025-05-05,150.82643,154.82307,150.21846,154.22508,4323169.0,664535700.0,154.74,0.0,154.22508,143.0519060407366,1,139.50081981312144,1,144.1240636062622,1,0,1,1,0,0,0.59,0.66,60.6402,72.3959,0.7,0.667,52.48,47.52,3.99,0.26,0.6,23.64
3659,2025-05-06,152.33638,155.25165,151.75333,154.02574,3021808.5,466860350.0,154.54,0.0,154.02574,143.96314929780505,1,139.95977200594817,1,144.1668501663208,1,1,1,0,0,0,0.4,0.39,28.2756,38.0076,0.628,0.597,51.49,43.56,3.99,0.26,0.6388,24.76
3660,2025-05-07,157.47922,160.16893,153.16023,154.98254,5462886.5,849657600.0,155.5,0.0,154.98254,144.9541262672061,1,140.45512029474432,1,144.24579395294188,1,1,1,1,0,0,2.6,2.7,44.3191,53.4155,0.623,0.597,55.45,47.52,3.99,0.26,0.5409,23.55
3661,2025-05-08,155.35132,156.17856,152.6902,155.14201,3996101.8,619121300.0,155.66,0.0,155.14201,146.05188932872954,1,140.93545393510297,1,144.31039455413818,1,1,1,1,0,0,2.27,2.61,55.0148,65.5995,0.61,0.586,59.41,47.52,3.99,0.26,0.5434,22.48
3662,2025-05-09,155.15198,155.68022,152.56064,152.78987,2931633.5,449321760.0,153.3,0.0,152.78987,146.8454306466239,1,141.36125932173294,1,144.36948917388915,1,0,1,1,0,0,0.92,0.63,42.4845,42.0254,0.583,0.593,63.37,48.51,3.99,0.26,0.5327,21.9
3663,2025-05-12,152.82973,153.28821,147.89621,148.77328,3748700.5,558614460.0,149.27,0.0,148.77328,147.31434122721353,1,141.69666470614348,1,144.41252185821534,1,0,1,1,1,1,4.4,6.77,65.0327,70.1742,0.612,0.608,65.35,55.45,3.99,0.26,0.4976,18.39
3664,2025-05-13,147.73674,149.86464,147.73674,148.56398,3594846.5,534204260.0,149.06,0.0,148.56398,147.6052747453962,1,141.97216935591265,1,144.4514302444458,1,0,1,1,1,1,0.95,1.59,51.2149,68.1481,0.6,0.583,62.38,53.47,3.99,0.26,0.5543,18.22
3665,2025-05-14,147.57729,148.46431,146.04239,146.74007,2768693.2,406590750.0,147.23,0.0,146.74007,147.68738156273253,0,142.25649275346237,1,144.46444042205812,1,0,1,1,1,1,0.42,0.84,19.8419,50.2334,0.58,0.548,61.39,51.49,3.99,0.26,0.4124,18.62
3666,2025-05-15,147.24838,150.11877,147.13875,149.07228,3723551.8,555432200.0,149.57,0.0,149.07228,147.87532552083334,1,142.5895624334162,1,144.47585735321044,1,0,1,1,1,1,2.93,1.46,38.0715,48.5265,0.593,0.58,69.31,53.47,3.99,0.26,0.5175,17.83
3667,2025-05-16,149.29153,151.22508,148.7035,151.03572,3947906.2,593974850.0,151.54,0.0,151.03572,148.28206234886534,1,142.9715595592152,1,144.49078716278075,1,0,1,1,1,1,7.82,3.55,67.5827,65.4186,0.583,0.578,72.28,57.43,3.99,0.26,0.4288,17.24
3668,2025-05-19,149.20184,151.69852,148.54404,149.97925,4023120.5,603998700.0,150.48,0.0,149.97925,148.51319521949404,1,143.3586309259588,1,144.49139987945557,1,0,1,1,1,1,1.03,1.59,54.6089,62.9204,0.605,0.592,73.27,56.44,3.99,0.26,0.4821,18.14
3669,2025-05-20,150.11877,151.4344,149.47095,151.41446,2179360.2,328838800.0,151.92,0.0,151.41446,148.9873264857701,1,143.7698036887429,1,144.51179752349853,1,0,1,1,1,1,0.53,0.8,27.0433,43.6381,0.621,0.598,75.25,56.44,3.99,0.26,0.5624,18.09
3670,2025-05-21,150.21846,151.0158,149.80981,149.99919,2890006.0,434125120.0,150.5,0.0,149.99919,149.20706976027716,1,144.10830993652343,1,144.52298419952393,1,0,1,1,1,1,0.04,0.06,-27.6749,-11.6803,0.554,0.529,67.33,54.46,3.99,0.26,0.5499,20.87
3671,2025-05-22,150.657,150.90616,145.9826,146.14207,4589739.0,673847230.0,146.63,0.0,146.14207,149.3447062174479,0,144.33627624511718,1,144.53141582489013,1,0,1,1,1,1,0.59,0.8,-40.6078,-20.4153,0.526,0.497,63.37,54.46,3.99,0.26,0.7471,20.28
3672,2025-05-23,146.38126,147.43275,145.97264,146.4012,2115745.5,310099100.0,146.89,0.0,146.4012,149.377928234282,0,144.51930153586648,1,144.54000133514404,1,0,1,1,1,0,0.52,0.35,-54.3608,-46.4835,0.514,0.483,62.38,54.46,3.99,0.26,0.5999,22.29
3673,2025-05-27,147.04903,147.44771,145.74838,146.42114,4504648.0,659449340.0,146.91,0.0,146.42114,149.39264133998327,0,144.64379522150213,1,144.55523914337158,1,0,1,1,1,1,13.76,15.83,-7.0208,-0.2225,0.52,0.495,72.28,58.42,3.99,0.26,0.5224,18.96
3674,2025-05-28,146.66064,147.54884,146.09181,146.58081,2285221.0,334923420.0,146.88,0.0,146.58081,149.40926252092635,0,144.76412464488635,1,144.55831897735595,1,0,1,1,1,0,0.2,0.31,-43.4023,-30.9653,0.483,0.463,67.33,56.44,3.99,0.26,0.5792,19.31
3675,2025-05-29,146.58081,146.80534,140.9024,142.54903,3524271.0,503716320.0,142.84,0.0,142.54903,149.26948910667784,0,144.85735806551847,0,144.54332485198975,0,0,1,1,1,0,2.48,1.02,-19.3411,-30.3629,0.488,0.505,67.33,58.42,3.99,0.26,0.5271,19.18
3676,2025-05-30,142.89833,143.77654,141.32155,143.48712,5566663.0,797033700.0,143.78,0.0,143.48712,149.21615309942337,0,144.99954140403054,0,144.5364464187622,0,0,1,1,1,0,1.09,1.1,-17.8613,-27.7159,0.481,0.482,72.28,60.4,3.99,0.26,0.5673,18.57
3677,2025-06-02,143.31747,145.90219,143.21767,145.58286,3425034.8,497199330.0,145.88,0.0,145.58286,149.26213873000373,0,145.150834794478,1,144.5351322555542,1,0,1,1,1,0,0.88,1.73,-21.8961,-14.423,0.466,0.44,74.26,55.45,4.22,0.53,0.5838,18.36
3678,2025-06-03,144.93416,145.97206,144.37242,145.94212,2869662.5,417840220.0,146.24,0.0,145.94212,149.04046848842077,0,145.29072015935725,1,144.537798576355,1,0,1,1,1,0,2.54,3.39,-0.2297,10.876,0.482,0.461,71.29,55.45,4.22,0.53,0.515,17.69
3679,2025-06-04,145.76248,148.64659,145.43326,148.1576,2933991.5,432896580.0,148.46,0.0,148.1576,148.7515404110863,0,145.39495877352627,1,144.5486630630493,1,0,1,1,1,0,0.64,1.1,-14.417,7.6997,0.49,0.466,71.29,56.44,4.22,0.53,0.521,17.61
