,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3601,2025-02-11,184.30817,186.21072,183.5611,184.59705,21322702.0,3935204900.0,185.32,0.0,184.59705,194.23074486142113,0,187.5867109818892,0,174.06159950256347,1,0,1,1,1,0,1.08,0.72,-1.7043,18.6317,0.552,0.49,59.41,66.34,3.37,0.34,0.5254,16.02
3602,2025-02-12,182.50523,184.38786,181.12067,182.89372,22159006.0,4051051800.0,183.61,0.0,182.89372,193.8797389439174,0,187.7285458651456,0,174.20191734313966,1,0,1,1,1,0,0.46,0.91,-21.2947,10.8355,0.542,0.481,56.44,66.34,3.37,0.34,0.5566,15.89
3603,2025-02-13,183.60095,185.5533,182.42555,185.41385,21486344.0,3953202200.0,186.14,0.0,185.41385,193.71277364095053,0,188.06725380637428,0,174.2756838989258,1,0,1,1,1,0,3.66,4.32,9.1167,37.779,0.547,0.477,62.38,66.34,3.37,0.34,0.767,15.1
3604,2025-02-14,184.33307,185.67282,183.60095,184.50739,20528520.0,3787529000.0,185.23,0.0,184.50739,193.22326151529947,0,188.44139959161933,0,174.37370071411132,1,0,1,1,1,0,0.74,0.8,-1.0256,23.9931,0.555,0.496,60.4,63.37,3.37,0.34,0.4616,14.77
3605,2025-02-18,184.87596,185.23456,181.03111,183.0531,30033842.0,5494939000.0,183.77,0.0,183.0531,192.7897215343657,0,188.73682334206322,0,174.4811696624756,1,0,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,183.35193,184.73651,182.8738,184.54724,19625960.0,3611189800.0,185.27,0.0,184.54724,192.28076244535902,0,189.03282054554333,0,174.59074981689454,1,0,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,184.07907,184.58708,182.00719,183.84001,20521518.0,3764573200.0,184.56,0.0,183.84001,191.64088730585007,0,189.31396928267046,0,174.6830973815918,1,0,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,184.4277,184.61696,178.3814,178.95912,35337096.0,6372456000.0,179.66,0.0,178.95912,190.75341070265998,0,189.51143965287642,0,174.74796363830566,1,0,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,181.28004,182.40562,178.18715,178.55072,29971128.0,5386600400.0,179.25,0.0,178.55072,189.86498514811197,0,189.65553533380682,0,174.80652015686036,1,0,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,177.34544,178.04272,174.01239,174.73566,42077560.0,7384053000.0,175.42,0.0,174.73566,188.6891137985956,0,189.73298006924716,0,174.83036949157716,0,0,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
3611,2025-02-26,174.38704,175.3931,170.91135,172.05615,35570030.0,6152101400.0,172.73,0.0,172.05615,187.78408668154762,0,189.70689336603337,0,174.8501011657715,0,0,0,0,1,0,0.66,0.84,-10.0134,-43.3198,0.482,0.509,59.41,66.34,3.37,0.34,0.6024,19.1
3612,2025-02-27,173.31125,173.87901,167.28485,167.84267,40147636.0,6799528400.0,168.5,0.0,167.84267,186.51287478492372,0,189.63549360795454,0,174.8458871459961,0,-1,0,0,1,0,0.59,0.26,-22.7917,-69.0044,0.455,0.515,56.44,62.38,3.37,0.34,0.6767,21.13
3613,2025-02-28,168.02196,169.94443,166.11942,169.61572,48319064.0,8137377000.0,170.28,0.0,169.61572,185.3208763485863,0,189.55888449928977,0,174.8570393371582,0,0,0,0,1,0,6.84,5.67,16.4709,-26.4118,0.459,0.524,62.38,64.36,3.37,0.34,0.6144,19.63
3614,2025-03-03,171.2543,172.69366,165.28268,166.35847,40930124.0,6866913300.0,167.01,0.0,166.35847,183.71478562127976,0,189.40747763893822,0,174.8494736480713,0,-1,0,0,1,0,0.5,0.36,-4.1592,-48.1304,0.441,0.515,55.45,64.36,3.52,0.33,0.6418,22.78
3615,2025-03-04,165.59148,172.61856,165.1532,170.25322,45565750.0,7704057300.0,170.92,0.0,170.25322,182.14474414643786,0,189.14939741654828,0,174.85542671203612,0,-1,0,0,1,0,0.2,0.66,-37.9786,-53.5878,0.412,0.46,47.52,56.44,3.52,0.33,0.6069,23.51
3616,2025-03-05,169.85478,173.10207,168.40047,172.34503,31076154.0,5320829000.0,173.02,0.0,172.34503,180.80665152413505,0,188.74407598322088,0,174.8610701751709,0,-1,0,0,1,0,2.98,3.04,-8.7362,-22.3425,0.431,0.476,51.49,59.41,3.52,0.33,0.5383,21.93
3617,2025-03-06,169.86475,174.12804,169.83485,171.67764,28412794.0,4883213300.0,172.35,0.0,171.67764,179.19249689011346,0,188.38892128684304,0,174.85508934020996,0,-1,0,0,1,0,0.49,0.26,-25.5887,-49.9714,0.409,0.462,44.55,56.44,3.52,0.33,0.6521,24.87
