,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3605,2025-02-18,649.3382,658.74615,647.7996,658.74615,2398386.8,1569536000.0,672.19,0.0,658.74615,630.8843122209821,1,594.7313409978693,1,511.02072402954104,1,1,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,655.69836,657.61914,650.0144,654.787,1993770.5,1303792900.0,668.15,0.0,654.787,632.8541114443824,1,595.9008345170455,1,512.2376086425782,1,0,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,654.6694,656.8744,619.0219,629.4148,4009208.2,2523499800.0,642.26,0.0,629.4148,633.2050461542038,0,596.6102572354404,1,513.3005551147461,1,0,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,631.855,634.55,610.96625,613.08795,3062019.5,1894509000.0,625.6,0.0,613.08795,632.8723115466889,0,596.9671542080966,1,514.2548384094239,1,0,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,620.8398,624.55396,602.50397,613.6172,3340943.0,2055973100.0,626.14,0.0,613.6172,632.2488461449033,0,597.4024525035511,1,515.185316772461,1,0,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,615.9594,618.6936,593.88,602.61176,2944844.0,1774611800.0,614.91,0.0,602.61176,631.222644624256,0,597.6310591264205,1,516.0601417541504,1,0,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
3611,2025-02-26,604.33655,610.6703,602.896,605.4146,2042041.9,1239232300.0,617.77,0.0,605.4146,630.4988461449033,0,597.970674272017,1,516.9338041687012,1,0,0,0,1,0,0.66,0.84,-10.0134,-43.3198,0.482,0.509,59.41,66.34,3.37,0.34,0.6024,19.1
3612,2025-02-27,605.18915,612.72534,595.16376,595.83997,2445193.0,1475816800.0,608.0,0.0,595.83997,629.1081804547991,0,598.1702381480824,0,517.7181103515625,1,0,0,0,1,0,0.59,0.26,-22.7917,-69.0044,0.455,0.515,56.44,62.38,3.37,0.34,0.6767,21.13
3613,2025-02-28,598.5877,614.20764,594.865,612.86816,3388498.8,2055799900.0,622.29,0.0,612.86816,628.5479794456845,0,598.6280894886364,1,518.5915563964844,1,0,0,0,1,0,6.84,5.67,16.4709,-26.4118,0.459,0.524,62.38,64.36,3.37,0.34,0.6144,19.63
3614,2025-03-03,612.97656,619.26324,589.2621,596.09607,3200795.8,1929594200.0,605.26,0.0,596.09607,626.8008393787202,0,598.8800625887784,0,519.3867791748047,1,0,0,0,1,0,0.5,0.36,-4.1592,-48.1304,0.441,0.515,55.45,64.36,3.52,0.33,0.6418,22.78
3615,2025-03-04,586.95654,590.91565,558.9768,572.34125,4123437.0,2352822300.0,581.14,0.0,572.34125,624.1698521205357,0,598.8620960582386,0,520.0395713806153,1,0,0,0,1,0,0.2,0.66,-37.9786,-53.5878,0.412,0.46,47.52,56.44,3.52,0.33,0.6069,23.51
3616,2025-03-05,573.27686,588.0793,568.0473,584.09064,2640596.0,1529646300.0,593.07,0.0,584.09064,622.4730922154018,0,598.923583984375,0,520.7143972778321,1,0,0,0,1,0,2.98,3.04,-8.7362,-22.3425,0.431,0.476,51.49,59.41,3.52,0.33,0.5383,21.93
3617,2025-03-06,571.79956,577.8269,556.07135,559.07513,4398940.5,2482388700.0,567.67,0.0,559.07513,619.5006539481027,0,598.5471724076705,0,521.2717100524902,1,0,0,0,1,0,0.49,0.26,-25.5887,-49.9714,0.409,0.462,44.55,56.44,3.52,0.33,0.6521,24.87
3618,2025-03-07,559.56757,559.56757,536.6597,551.1963,4132517.5,2267067000.0,559.67,0.0,551.1963,615.6270955403646,0,598.1367342862216,0,521.7742108154297,1,0,0,0,1,0,2.21,2.06,-4.0093,-26.8096,0.458,0.506,52.48,59.41,3.52,0.33,0.5657,23.37
3619,2025-03-10,534.0893,538.1913,515.2113,523.61035,5353165.0,2812540400.0,531.66,0.0,523.61035,609.8439912341889,0,597.2095880681818,0,522.1618119812011,1,-1,0,0,0,-1,0.44,0.26,-23.8012,-53.4069,0.437,0.48,44.55,51.49,3.52,0.33,0.5979,27.86
3620,2025-03-11,524.4081,531.8143,516.26337,523.38385,4254924.0,2228444000.0,531.43,0.0,523.38385,604.1583658854166,0,596.4859064275569,0,522.5122901916504,1,-1,0,0,0,-1,0.3,0.63,-48.0505,-58.0588,0.44,0.445,37.62,43.56,3.52,0.33,0.5695,26.92
3621,2025-03-12,535.76355,536.7484,520.5869,527.59906,3125374.8,1654422700.0,535.71,0.0,527.59906,598.9240635463169,0,596.2741621537642,0,522.9225329589843,1,-1,0,0,0,-1,0.56,1.1,-55.8406,-47.8844,0.447,0.441,32.67,43.56,3.52,0.33,0.6245,24.23
3622,2025-03-13,527.55963,529.9923,512.18604,516.8641,2567986.8,1332927400.0,524.81,0.0,516.8641,593.3321068173364,0,595.8005970348012,0,523.299481048584,0,-1,0,0,0,-1,0.35,0.23,-72.0347,-72.6093,0.445,0.43,33.66,39.6,3.52,0.33,0.9386,24.66
3623,2025-03-14,525.9051,535.3401,518.72546,533.2127,2851277.8,1510105200.0,541.41,0.0,533.2127,588.4365234375,0,595.4085016424006,0,523.7435737609864,1,-1,0,0,0,0,9.27,11.62,-21.3058,-20.1187,0.452,0.433,36.63,46.53,3.52,0.33,0.5724,21.77
3624,2025-03-17,533.03546,548.7243,531.8241,542.99243,2737010.8,1484380800.0,551.34,0.0,542.99243,584.0089721679688,0,595.110829856179,0,524.2431657409668,1,0,0,0,0,0,10.41,7.42,23.1506,20.9009,0.514,0.491,41.58,49.5,3.52,0.33,0.5917,20.51
3625,2025-03-18,541.9583,545.3659,538.3735,543.4258,2681619.2,1453943600.0,551.78,0.0,543.4258,579.0607241675967,0,594.607041237571,0,524.7576440429688,1,-1,0,0,0,0,0.48,0.22,2.28,-14.4288,0.492,0.506,40.59,47.52,3.52,0.33,0.5773,21.7
3626,2025-03-19,540.68787,554.4759,536.35443,548.9016,2812730.2,1538274400.0,557.34,0.0,548.9016,573.8300316220239,0,594.2306096857244,0,525.3198110961914,1,-1,0,0,0,0,2.74,3.59,25.2077,15.8325,0.495,0.505,43.56,50.5,3.52,0.33,0.5361,19.9
3627,2025-03-20,544.72577,559.82904,543.64246,554.1607,2570212.5,1425285400.0,562.68,0.0,554.1607,569.0383039202009,0,594.0397793856534,0,525.8777850341797,1,-1,0,0,0,0,0.56,0.46,7.2463,-4.9079,0.506,0.508,42.57,50.5,3.52,0.33,0.6066,19.8
3628,2025-03-21,546.922,558.41534,542.8623,556.5835,3620403.8,2000692500.0,565.14,0.0,556.5835,565.5701468331473,0,593.9398615056818,0,526.4553373718262,1,0,0,0,0,0,0.43,0.85,-13.683,-8.2996,0.485,0.469,41.58,50.5,3.52,0.33,0.5496,19.28
3629,2025-03-24,566.2942,573.8973,564.3737,571.31696,1906569.5,1087718400.0,580.1,0.0,571.31696,563.5810517810639,1,594.1243963068182,0,527.1050061035156,1,0,1,0,1,0,5.44,7.42,22.6741,30.9608,0.552,0.523,44.55,57.43,3.52,0.33,0.4768,17.48
