,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3605,2025-02-18,188.47765,192.14275,186.97014,191.82002,5312039.5,1012422300.0,208.04,0.0,191.82002,199.92032441638764,0,205.49464000355113,0,194.92922409057618,0,0,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,191.7186,195.19467,191.70938,194.37407,5492847.0,1066038800.0,210.81,0.0,194.37407,199.40354628789993,0,205.16622813831677,0,195.01470741271973,0,0,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,193.24918,195.01027,192.58531,194.87198,3943442.0,765536000.0,211.35,0.0,194.87198,198.80115109398253,0,204.85960998535157,0,195.1102143096924,0,0,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,194.69678,195.93231,193.07399,195.41597,6748254.0,1316204700.0,211.94,0.0,195.41597,198.3115953717913,0,204.50772843794388,0,195.19859245300293,1,0,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,195.25,198.41258,193.36905,193.54424,7312262.0,1430496300.0,209.91,0.0,193.54424,197.6200692313058,0,204.17177262739702,0,195.28128814697266,0,0,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,194.68756,197.1494,194.5677,195.47128,4119614.2,806504600.0,212.0,0.0,195.47128,197.2025190080915,0,203.92097917036577,0,195.36522270202636,1,0,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
3611,2025-02-26,194.39252,196.12595,193.39911,194.85353,3391337.8,661144960.0,211.33,0.0,194.85353,196.5711451939174,0,203.61151123046875,0,195.44062217712403,0,0,0,0,1,0,0.66,0.84,-10.0134,-43.3198,0.482,0.509,59.41,66.34,3.37,0.34,0.6024,19.1
3612,2025-02-27,195.27765,198.13135,195.12091,195.72025,2988374.5,586311800.0,212.27,0.0,195.72025,196.20101492745536,0,203.3764764959162,0,195.5086456298828,1,0,0,0,1,0,0.59,0.26,-22.7917,-69.0044,0.455,0.515,56.44,62.38,3.37,0.34,0.6767,21.13
3613,2025-02-28,197.43513,198.15817,195.2104,197.34242,4289945.0,844535400.0,212.89,0.0,197.34242,195.89276341029577,1,203.16942693536933,0,195.57438667297365,1,0,0,0,1,0,6.84,5.67,16.4709,-26.4118,0.459,0.524,62.38,64.36,3.37,0.34,0.6144,19.63
3614,2025-03-03,198.11182,200.27628,195.61827,196.53596,5753665.0,1136443800.0,212.02,0.0,196.53596,195.41395132882255,1,202.96934065385298,0,195.6321014404297,1,0,0,0,1,0,0.5,0.36,-4.1592,-48.1304,0.441,0.515,55.45,64.36,3.52,0.33,0.6418,22.78
3615,2025-03-04,196.23933,197.00871,192.65196,192.80956,7510291.0,1458583200.0,208.0,0.0,192.80956,194.77261933826264,0,202.63461192737927,0,195.67386184692384,0,0,0,0,1,0,0.2,0.66,-37.9786,-53.5878,0.412,0.46,47.52,56.44,3.52,0.33,0.6069,23.51
3616,2025-03-05,192.80956,195.06207,191.68791,194.31123,5713031.5,1106460900.0,209.62,0.0,194.31123,194.26031276157923,1,202.32752186168324,0,195.71473434448242,0,0,0,0,1,0,2.98,3.04,-8.7362,-22.3425,0.431,0.476,51.49,59.41,3.52,0.33,0.5383,21.93
3617,2025-03-06,193.68091,196.27641,192.7213,195.83147,5440018.0,1060276860.0,211.26,0.0,195.83147,193.77034505208334,1,202.07103937322444,0,195.75116264343262,1,0,0,0,1,0,0.49,0.26,-25.5887,-49.9714,0.409,0.462,44.55,56.44,3.52,0.33,0.6521,24.87
3618,2025-03-07,195.8222,199.63205,195.39578,198.8534,6130448.0,1215849700.0,214.52,0.0,198.8534,193.47696649460565,1,201.87067454944957,0,195.8056662750244,1,0,0,0,1,0,2.21,2.06,-4.0093,-26.8096,0.458,0.506,52.48,59.41,3.52,0.33,0.5657,23.37
3619,2025-03-10,198.64018,202.51881,197.98204,198.20451,4506180.0,900406660.0,213.82,0.0,198.20451,193.70283580961683,1,201.51802728826348,0,195.8630850982666,1,0,0,0,0,-1,0.44,0.26,-23.8012,-53.4069,0.437,0.48,44.55,51.49,3.52,0.33,0.5979,27.86
3620,2025-03-11,197.89862,198.13962,191.80843,193.35646,5656590.5,1096400400.0,208.59,0.0,193.35646,193.8866431826637,0,201.12534706809305,0,195.901328125,0,0,0,0,0,-1,0.3,0.63,-48.0505,-58.0588,0.44,0.445,37.62,43.56,3.52,0.33,0.5695,26.92
3621,2025-03-12,191.966,192.61488,189.77835,191.28006,4113061.0,787108700.0,206.35,0.0,191.28006,193.83985464913505,0,200.80002607865768,0,195.9324285888672,0,0,0,0,0,-1,0.56,1.1,-55.8406,-47.8844,0.447,0.441,32.67,43.56,3.52,0.33,0.6245,24.23
3622,2025-03-13,190.64044,192.71684,190.13062,191.59523,3809153.2,728734460.0,206.69,0.0,191.59523,193.87744649251303,0,200.48010004216974,0,195.98066345214843,0,0,0,0,0,-1,0.35,0.23,-72.0347,-72.6093,0.445,0.43,33.66,39.6,3.52,0.33,0.9386,24.66
3623,2025-03-14,193.24522,195.72949,192.70758,194.1722,4190636.5,814942900.0,209.47,0.0,194.1722,194.12249101911272,1,200.18288740678267,0,196.040414352417,0,0,0,0,0,0,9.27,11.62,-21.3058,-20.1187,0.452,0.433,36.63,46.53,3.52,0.33,0.5724,21.77
3624,2025-03-17,193.21742,195.69243,192.55464,195.05281,4763006.0,928335040.0,210.42,0.0,195.05281,194.39805312383743,1,199.9214677290483,0,196.10689529418946,0,0,0,0,0,0,10.41,7.42,23.1506,20.9009,0.514,0.491,41.58,49.5,3.52,0.33,0.5917,20.51
3625,2025-03-18,195.04355,196.0632,193.57893,194.42249,4111671.5,800346000.0,209.74,0.0,194.42249,194.7542441231864,0,199.61908264160155,0,196.1798516845703,0,0,0,0,0,0,0.48,0.22,2.28,-14.4288,0.492,0.506,40.59,47.52,3.52,0.33,0.5773,21.7
3626,2025-03-19,194.9323,196.62866,193.09691,193.41208,6913223.5,1339999700.0,208.65,0.0,193.41208,194.8300563267299,0,199.2487041126598,0,196.23023559570314,0,0,0,0,0,0,2.74,3.59,25.2077,15.8325,0.495,0.505,43.56,50.5,3.52,0.33,0.5361,19.9
3627,2025-03-20,192.42949,196.21152,192.15604,195.4885,3865591.0,754431550.0,210.89,0.0,195.4885,194.88312421526228,1,198.95547485351562,0,196.28516143798828,0,0,0,0,0,0,0.56,0.46,7.2463,-4.9079,0.506,0.508,42.57,50.5,3.52,0.33,0.6066,19.8
3628,2025-03-21,193.85703,196.00758,193.53258,194.77472,7060797.0,1374775000.0,210.12,0.0,194.77472,194.8784928094773,0,198.698051591353,0,196.33528648376466,0,0,0,0,0,0,0.43,0.85,-13.683,-8.2996,0.485,0.469,41.58,50.5,3.52,0.33,0.5496,19.28
3629,2025-03-24,196.18372,197.14775,195.12697,196.37839,4582909.5,899325300.0,211.85,0.0,196.37839,194.92432221912202,1,198.4816886208274,0,196.3716661834717,1,0,1,0,1,0,5.44,7.42,22.6741,30.9608,0.552,0.523,44.55,57.43,3.52,0.33,0.4768,17.48
3630,2025-03-25,195.67387,197.45366,194.91377,196.62866,4110593.8,806328960.0,212.12,0.0,196.62866,195.07119968959265,1,198.276078935103,0,196.39998947143556,1,0,1,0,1,0,0.77,1.4,12.7839,34.6706,0.572,0.543,44.55,58.42,3.52,0.33,0.6475,17.15
3631,2025-03-26,197.1941,201.3042,197.08287,197.55563,5665149.5,1122397800.0,213.12,0.0,197.55563,195.17045447939918,1,198.0705588600852,0,196.43668899536132,1,0,0,0,0,0,1.13,0.54,13.7577,14.2534,0.554,0.561,44.55,55.45,3.52,0.33,0.7055,18.33
3632,2025-03-27,197.5371,199.493,196.76772,198.52895,3866752.8,767291300.0,214.17,0.0,198.52895,195.34547424316406,1,197.96286870783027,1,196.47674942016602,1,0,0,0,0,0,0.75,0.75,4.3135,4.7254,0.578,0.577,41.58,52.48,3.52,0.33,0.7238,18.69
3633,2025-03-28,198.62164,199.20563,194.63104,194.97865,3509737.8,686686300.0,210.34,0.0,194.97865,195.3101603190104,0,197.80923600630328,0,196.4901156616211,0,0,0,0,0,0,0.22,0.12,-28.5772,-35.5536,0.497,0.505,31.68,48.51,3.52,0.33,0.6843,21.65
3634,2025-03-31,195.43288,196.9253,194.44101,196.28569,4280956.5,839149200.0,211.75,0.0,196.28569,195.2598397391183,1,197.68707941228692,0,196.51576599121094,0,0,0,0,0,0,3.58,1.22,3.509,-25.7055,0.464,0.492,35.64,50.5,3.52,0.33,0.5812,22.28
3635,2025-04-01,195.69243,198.0284,194.36723,197.86153,2765801.2,545141950.0,213.45,0.0,197.86153,195.32296171642486,1,197.6267675226385,1,196.5537668609619,1,0,0,0,0,0,1.46,2.06,12.1314,-4.8301,0.514,0.519,37.62,49.5,4.02,0.62,0.5284,21.77
3636,2025-04-02,196.97165,200.60536,196.8187,200.21603,3693684.5,737511550.0,215.99,0.0,200.21603,195.67565118698846,1,197.59400912198154,1,196.60294708251953,1,0,1,0,0,0,3.45,3.59,37.6151,23.9337,0.514,0.523,32.67,52.48,4.02,0.62,0.5899,21.51
3637,2025-04-03,197.9913,200.49411,191.26373,191.58594,7023649.0,1358746000.0,206.68,0.0,191.58594,195.5458751860119,0,197.41439874822444,0,196.60943313598634,0,0,0,0,0,0,0.23,0.23,0.6051,-10.8109,0.501,0.506,31.68,40.59,4.02,0.62,1.0151,30.02
3638,2025-04-04,188.40645,189.68567,176.78226,177.04181,9111090.0,1655707300.0,190.99,0.0,177.04181,194.65112958635603,0,196.952914983576,0,196.52759437561036,0,0,0,0,0,-1,0.03,0.02,-47.1825,-57.4832,0.457,0.479,12.87,21.78,4.02,0.62,0.6411,45.31
3639,2025-04-07,176.87495,181.89903,169.99684,173.7696,10089027.0,1759932300.0,187.46,0.0,173.7696,193.4566635858445,0,196.3791290283203,0,196.4251969909668,0,-1,0,0,0,-1,0.47,0.84,-58.7157,-53.5362,0.414,0.426,6.93,20.79,4.02,0.62,0.6343,46.98
3640,2025-04-08,174.49265,177.20866,167.62381,169.50555,7499718.0,1293057500.0,182.86,0.0,169.50555,192.09004647391183,0,195.72965892444958,0,196.29568481445312,0,-1,0,0,0,-1,0.16,0.15,-86.4379,-82.5671,0.369,0.396,4.95,19.8,4.02,0.62,0.7695,52.33
3641,2025-04-09,167.3179,185.18987,166.26115,184.55952,9861498.0,1781635500.0,199.1,0.0,184.55952,191.67114475795202,0,195.3121543190696,0,196.23710800170898,0,0,0,0,0,0,54.89,100.0,-25.2151,-20.8371,0.433,0.442,13.86,37.62,4.02,0.62,0.5776,33.62
3642,2025-04-10,182.60362,184.97667,175.01175,179.26653,6280351.5,1126355300.0,193.39,0.0,179.26653,191.0990716843378,0,194.83160677823153,0,196.1484161376953,0,0,0,0,0,0,0.17,0.1,-56.2132,-58.0528,0.399,0.413,15.84,28.71,4.02,0.62,0.757,40.72
3643,2025-04-11,178.70108,184.8469,177.60735,184.0497,5504967.5,1002518600.0,198.55,0.0,184.0497,190.73976062593005,0,194.3949415727095,0,196.09021026611327,0,0,0,0,0,0,6.83,4.94,-9.951,-15.3245,0.471,0.483,16.83,32.67,4.02,0.62,0.4303,37.56
