,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3605,2025-02-18,255.57674,257.56238,253.52766,256.6891,4368779.0,1118523100.0,263.07,0.0,256.6891,238.32510739281065,1,226.17853865189986,1,197.710087890625,1,1,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,255.64503,257.94778,253.78136,257.90878,3811118.8,976570560.0,264.32,0.0,257.90878,240.23095485142298,1,226.8350272438743,1,198.22352363586427,1,1,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,257.255,258.6601,255.7914,258.31857,5006234.0,1290039900.0,264.74,0.0,258.31857,242.18077886672248,1,227.532627175071,1,198.73778114318847,1,1,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,257.44528,258.40637,254.76688,255.13766,5808769.0,1487762600.0,261.48,0.0,255.13766,244.0252874465216,1,228.16375704678623,1,199.23131965637208,1,1,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,255.15717,257.44528,253.28372,255.51819,4507437.5,1153334500.0,261.87,0.0,255.51819,245.75960141136534,1,228.80215787020597,1,199.7130728149414,1,1,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,254.74734,257.08914,250.54189,251.49812,6448909.0,1637722900.0,257.75,0.0,251.49812,247.3597172328404,1,229.33909301757814,1,200.1758112335205,1,1,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
3611,2025-02-26,251.83965,252.05919,248.23953,249.63445,3546137.5,886818370.0,255.84,0.0,249.63445,248.90201168968565,1,229.76301408247514,1,200.62205696105957,1,0,0,0,1,0,0.66,0.84,-10.0134,-43.3198,0.482,0.509,59.41,66.34,3.37,0.34,0.6024,19.1
3612,2025-02-27,249.0295,251.38104,246.91212,247.08775,3486808.5,866860300.0,253.23,0.0,247.08775,250.2524152483259,0,230.11842623623934,1,201.06491218566896,1,0,0,0,1,0,0.59,0.26,-22.7917,-69.0044,0.455,0.515,56.44,62.38,3.37,0.34,0.6767,21.13
3613,2025-02-28,244.77037,246.67786,240.56003,246.31693,8187399.0,2002188000.0,252.44,0.0,246.31693,251.4290277390253,0,230.40184242942115,1,201.4997184753418,1,0,0,0,1,0,6.84,5.67,16.4709,-26.4118,0.459,0.524,62.38,64.36,3.37,0.34,0.6144,19.63
3614,2025-03-03,248.55626,249.78082,242.22366,244.1215,3051720.2,748738600.0,250.19,0.0,244.1215,251.13301813034784,0,230.78703391335227,1,201.92159324645996,1,0,0,0,1,0,0.5,0.36,-4.1592,-48.1304,0.441,0.515,55.45,64.36,3.52,0.33,0.6418,22.78
