,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3605,2025-02-18,271.19916,274.34467,270.474,274.32507,8082191.0,2207121000.0,279.95,0.0,274.32507,264.254876999628,1,247.48481611772016,1,216.6940170288086,1,1,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,272.78662,274.61902,271.6499,273.63913,7150929.0,1956287700.0,279.25,0.0,273.63913,265.19232177734375,1,248.0293662331321,1,217.13783561706543,1,1,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,273.07565,273.13937,260.39566,261.43927,14130592.0,3722674700.0,266.8,0.0,261.43927,265.3682381766183,0,248.35529147061433,1,217.52161849975585,1,0,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,262.92874,263.78665,257.55884,258.9307,13098755.0,3413790700.0,264.24,0.0,258.9307,265.4335646856399,0,248.63684664639558,1,217.89839920043946,1,0,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,260.15558,261.63525,253.41382,256.089,10585441.0,2717000000.0,261.34,0.0,256.089,265.2184520903088,0,248.92824013449928,1,218.2537925720215,1,0,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,256.96112,257.71564,248.25952,252.22813,9805457.0,2471524900.0,257.4,0.0,252.22813,264.87128484816776,0,249.17478277033027,1,218.59108619689943,1,0,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
3611,2025-02-26,251.99298,255.6691,251.76758,253.59023,6065456.0,1540649700.0,258.79,0.0,253.59023,264.54184977213544,0,249.47126048694957,1,218.91640014648436,1,0,0,0,1,0,0.66,0.84,-10.0134,-43.3198,0.482,0.509,59.41,66.34,3.37,0.34,0.6024,19.1
3612,2025-02-27,254.95229,258.34277,252.6789,253.84499,8372676.5,2138099500.0,259.05,0.0,253.84499,264.16435096377415,0,249.73550220836293,1,219.2340746307373,1,0,0,0,1,0,0.59,0.26,-22.7917,-69.0044,0.455,0.515,56.44,62.38,3.37,0.34,0.6767,21.13
3613,2025-02-28,255.49126,259.48926,252.70831,259.33246,10681751.0,2745632800.0,264.65,0.0,259.33246,264.0742921375093,0,250.0661931818182,1,219.57306762695313,1,0,0,0,1,0,6.84,5.67,16.4709,-26.4118,0.459,0.524,62.38,64.36,3.37,0.34,0.6144,19.63
3614,2025-03-03,258.69553,260.96893,252.63971,255.38344,9244045.0,2374976000.0,260.62,0.0,255.38344,263.7191917782738,0,250.38800742409447,1,219.89250831604005,1,0,0,0,1,0,0.5,0.36,-4.1592,-48.1304,0.441,0.515,55.45,64.36,3.52,0.33,0.6418,22.78
