,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3601,2025-02-11,605.0197,608.3556,598.8558,607.83777,724094.3,437693000.0,610.41,0.0,607.83777,594.5520978655134,1,591.4750998757103,1,561.930597076416,1,0,1,1,1,0,1.08,0.72,-1.7043,18.6317,0.552,0.49,59.41,66.34,3.37,0.34,0.5254,16.02
3602,2025-02-12,607.02124,608.92316,591.4571,592.49274,799667.75,477937250.0,595.0,0.0,592.49274,595.0224900018601,0,591.0145341352983,1,562.2141212463379,1,0,1,1,1,0,0.46,0.91,-21.2947,10.8355,0.542,0.481,56.44,66.34,3.37,0.34,0.5566,15.89
3603,2025-02-13,594.0163,600.4291,587.1752,599.9312,649266.94,386540060.0,602.47,0.0,599.9312,595.4369274321057,1,590.5602694424716,1,562.5181672668457,1,0,1,1,1,0,3.66,4.32,9.1167,37.779,0.547,0.477,62.38,66.34,3.37,0.34,0.767,15.1
3604,2025-02-14,598.12885,600.2399,590.77,591.18823,501424.97,298077730.0,593.69,0.0,591.18823,595.9224911644345,0,590.0389115767045,1,562.8142707824707,1,0,1,1,1,0,0.74,0.8,-1.0256,23.9931,0.555,0.496,60.4,63.37,3.37,0.34,0.4616,14.77
3605,2025-02-18,587.85236,597.5463,582.75885,596.89404,775732.9,460658200.0,599.42,0.0,596.89404,596.1230701264881,1,589.7381236683239,1,563.1333464050293,1,0,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,594.2851,608.729,594.2851,600.2001,741339.94,446172580.0,602.74,0.0,600.2001,596.6053147088913,1,589.3478848544034,1,563.4992674255371,1,0,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,596.97375,602.6696,594.3349,600.96686,613715.1,368289730.0,603.51,0.0,600.96686,597.4318179175967,1,588.946630859375,1,563.873140411377,1,0,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,595.4701,602.27136,591.84045,595.1913,673869.6,401214080.0,597.71,0.0,595.1913,598.0639038085938,0,588.4020263671875,1,564.2251313781738,1,0,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,596.3464,606.00555,596.0576,603.2074,876763.6,528451550.0,605.76,0.0,603.2074,598.4712291899182,1,588.1208529385653,1,564.5946278381348,1,0,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,602.45056,625.27893,598.9155,624.43756,1289147.4,796681500.0,627.08,0.0,624.43756,600.1545817057291,1,588.2861538973722,1,565.0090495300293,1,0,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
