,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3002,2025-02-11,711.07776,721.38525,707.80804,717.5374,13038945.0,9336564000.0,719.8,0.0,717.5374,661.0004534040179,1,622.4724032315341,1,545.8802458190918,1,1,1,1,1,0,1.08,0.72,-1.7043,18.6317,0.552,0.49,59.41,66.34,3.37,0.34,0.5254,16.02
3003,2025-02-12,713.0515,724.81445,710.36,723.09985,12054408.0,8674927000.0,725.38,0.0,723.09985,666.5567423502604,1,625.3780728426847,1,547.3018286132813,1,1,1,1,1,0,0.46,0.91,-21.2947,10.8355,0.542,0.481,56.44,66.34,3.37,0.34,0.5566,15.89
3004,2025-02-13,719.2517,726.7085,715.7829,726.26984,12608698.0,9101454000.0,728.56,0.0,726.26984,672.9323497953869,1,628.3853859641335,1,548.7297674560547,1,1,1,1,1,0,3.66,4.32,9.1167,37.779,0.547,0.477,62.38,66.34,3.37,0.34,0.767,15.1
3005,2025-02-14,723.8575,738.581,723.3391,734.3544,16954542.0,12424754000.0,736.67,0.0,734.3544,678.6073114304315,1,631.6112260298296,1,550.2511651611328,1,1,1,1,1,0,0.74,0.8,-1.0256,23.9931,0.555,0.496,60.4,63.37,3.37,0.34,0.4616,14.77
3006,2025-02-18,733.68646,734.68335,704.2194,714.11816,22007882.0,15725493000.0,716.37,0.0,714.11816,683.5949183872768,1,634.3610185102983,1,551.6835597229004,1,1,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3007,2025-02-19,701.8817,704.77765,693.20416,701.5578,17590774.0,12309226000.0,703.77,0.0,701.5578,687.9146292550223,1,636.7297729492187,1,553.0083178710937,1,1,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3008,2025-02-20,695.08325,703.4119,691.45966,692.6559,12627100.0,8778653000.0,694.84,0.0,692.6559,691.6352771577381,1,639.0152709960937,1,554.2761897277832,1,1,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3009,2025-02-21,694.3904,701.6575,680.2151,681.40137,15709737.0,10810489000.0,683.55,0.0,681.40137,694.4858136858259,0,641.00341796875,1,555.4366914367675,1,0,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3010,2025-02-24,684.1228,685.1097,660.3677,666.02985,15726428.0,10514850000.0,668.13,0.0,666.02985,695.9896443684896,0,642.3768654563211,1,556.4521389770508,1,0,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3011,2025-02-25,663.8786,665.9002,639.8424,655.4332,20644556.0,13484624000.0,657.5,0.0,655.4332,696.4648117792038,0,643.180596368963,1,557.4018788146973,1,0,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
