,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3605,2025-02-18,135.76662,137.10081,135.26021,137.03265,3899162.0,531869660.0,140.71,0.0,137.03265,134.18428984142486,1,127.5051816073331,1,108.07529006958008,1,0,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,136.35094,137.24689,135.61568,137.01317,3720394.0,508137500.0,140.69,0.0,137.01317,134.35732886904762,1,127.6871663873846,1,108.32495372772217,1,0,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,136.58466,137.38324,128.96902,130.82912,9098569.0,1190834400.0,134.34,0.0,130.82912,134.26214744931175,0,127.75794497403231,1,108.53841751098633,1,0,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,131.6423,132.0562,127.48876,128.24837,6883973.0,888568800.0,131.69,0.0,128.24837,134.10396176292784,0,127.7747651533647,1,108.73426872253418,1,0,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,129.2904,129.49492,125.53128,126.573326,7993639.5,1016699100.0,129.97,0.0,126.573326,133.78308941069105,0,127.77133206454191,0,108.9162748336792,1,0,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,127.60562,127.86369,123.07714,126.213,7658739.0,961750700.0,129.6,0.0,126.213,133.44413720993768,0,127.77172532515092,0,109.09172290802002,1,0,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
3611,2025-02-26,127.00183,128.784,126.74861,127.6251,5641199.0,721260600.0,131.05,0.0,127.6251,133.22632780529204,0,127.80570845170455,0,109.27494495391846,1,0,0,0,1,0,0.66,0.84,-10.0134,-43.3198,0.482,0.509,59.41,66.34,3.37,0.34,0.6024,19.1
3612,2025-02-27,128.3555,129.39267,125.443634,125.862404,5687371.5,723204900.0,129.24,0.0,125.862404,132.83751242501395,0,127.80183799050072,0,109.43760517120361,1,0,0,0,1,0,0.59,0.26,-22.7917,-69.0044,0.455,0.515,56.44,62.38,3.37,0.34,0.6767,21.13
3613,2025-02-28,126.50515,129.92343,125.61894,129.63126,7623450.5,977849540.0,133.11,0.0,129.63126,132.6203340802874,0,127.87282437411221,1,109.61830104827881,1,0,0,0,1,0,6.84,5.67,16.4709,-26.4118,0.459,0.524,62.38,64.36,3.37,0.34,0.6144,19.63
3614,2025-03-03,129.84552,130.48827,124.39187,125.75528,6129574.0,780717000.0,129.13,0.0,125.75528,132.16192154657273,0,127.89761213822798,0,109.77828525543212,1,0,0,0,1,0,0.5,0.36,-4.1592,-48.1304,0.441,0.515,55.45,64.36,3.52,0.33,0.6418,22.78
