,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3605,2025-02-18,174.97694,180.41187,174.32356,177.99635,11546324.0,2049647000.0,179.8,0.0,177.99635,170.82803054082962,1,170.2828230424361,1,153.13887317657472,1,0,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,176.78859,179.85748,173.93747,179.6991,8776542.0,1555647200.0,181.52,0.0,179.6991,171.79395766485305,1,170.1319297096946,1,153.4742193222046,1,0,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,178.00624,178.46164,172.6802,174.23447,8825568.0,1543022500.0,176.0,0.0,174.23447,171.95565214611236,1,170.01939669522372,1,153.78062107086183,1,0,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,174.35326,175.1007,165.86923,166.12662,9812303.0,1661948200.0,167.81,0.0,166.12662,171.18206205822173,0,169.72102383700283,0,154.04235683441163,1,0,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,171.82884,172.42282,163.00822,168.25507,10746860.0,1802864100.0,169.96,0.0,168.25507,170.4037584577288,0,169.52293673428622,0,154.30225646972656,1,0,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,167.59177,168.88864,162.79141,166.84929,8400353.0,1391810800.0,168.54,0.0,166.84929,169.69380914597284,0,169.27271617542613,0,154.557141456604,1,0,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
3611,2025-02-26,169.26482,172.12582,167.42844,170.73987,6985186.5,1191999200.0,172.47,0.0,170.73987,170.3627450125558,1,168.9980701793324,1,154.834132232666,1,0,0,0,1,0,0.66,0.84,-10.0134,-43.3198,0.482,0.509,59.41,66.34,3.37,0.34,0.6024,19.1
3612,2025-02-27,171.26456,173.1059,162.92903,163.10721,7512168.0,1250080100.0,164.76,0.0,163.10721,170.39857192266555,0,168.61966136585582,0,155.0766442871094,1,0,0,0,1,0,0.59,0.26,-22.7917,-69.0044,0.455,0.515,56.44,62.38,3.37,0.34,0.6767,21.13
3613,2025-02-28,161.47377,164.48326,159.19684,164.39418,12973428.0,2105641300.0,166.06,0.0,164.39418,170.58902268182663,0,168.16679576526988,0,155.32544380187989,1,0,0,0,1,0,6.84,5.67,16.4709,-26.4118,0.459,0.524,62.38,64.36,3.37,0.34,0.6144,19.63
3614,2025-03-03,165.27524,165.44354,159.51364,160.39471,8163734.0,1323278700.0,162.02,0.0,160.39471,170.1949215843564,0,167.66347739479758,0,155.55571979522705,1,0,0,0,1,0,0.5,0.36,-4.1592,-48.1304,0.441,0.515,55.45,64.36,3.52,0.33,0.6418,22.78
