,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3601,2025-02-11,163.2119,165.0417,162.05368,164.90543,5587287.5,915145300.0,169.43,0.0,164.90543,160.54509626116072,1,163.38394192782314,1,162.07552711486815,1,1,1,1,1,0,1.08,0.72,-1.7043,18.6317,0.552,0.49,59.41,66.34,3.37,0.34,0.5254,16.02
3602,2025-02-12,163.85428,165.53809,163.48442,165.05144,6203328.5,1023475200.0,169.58,0.0,165.05144,161.08746410551527,1,163.37907936789773,1,162.12379470825195,1,1,1,1,1,0,0.46,0.91,-21.2947,10.8355,0.542,0.481,56.44,66.34,3.37,0.34,0.5566,15.89
3603,2025-02-13,165.1001,166.80338,164.62318,166.45299,6501998.5,1079486800.0,171.02,0.0,166.45299,161.65511213030135,1,163.36698386452414,1,162.18509284973143,1,1,1,1,1,0,3.66,4.32,9.1167,37.779,0.547,0.477,62.38,66.34,3.37,0.34,0.767,15.1
3604,2025-02-14,165.25581,165.46022,157.96585,158.54008,13541087.0,2167089700.0,162.89,0.0,158.54008,161.850102015904,0,163.1489280007102,0,162.20505783081055,0,0,1,1,1,0,0.74,0.8,-1.0256,23.9931,0.555,0.496,60.4,63.37,3.37,0.34,0.4616,14.77
3605,2025-02-18,158.98781,161.33344,157.86852,161.01225,7269818.5,1166250500.0,165.43,0.0,161.01225,162.1236572265625,0,162.9562968860973,0,162.23002250671388,0,0,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,161.66437,162.4138,160.82733,162.04396,8127874.5,1315439400.0,166.49,0.0,162.04396,162.41731916155135,0,162.74865306507456,0,162.25918975830078,0,0,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,158.79314,163.2995,158.4525,162.74474,6331686.0,1024854100.0,167.21,0.0,162.74474,162.71717180524553,1,162.55287087180398,1,162.28975761413574,1,0,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,162.96858,165.99466,161.48917,165.68407,10082982.0,1659498100.0,170.23,0.0,165.68407,163.0178716750372,1,162.41229026100854,1,162.33205848693848,1,0,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,165.67435,168.36063,165.25581,165.9858,8799032.0,1465008600.0,170.54,0.0,165.9858,163.26798575265067,1,162.26945634321734,1,162.37596366882323,1,0,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,166.70604,169.30473,166.23886,168.03944,7515556.0,1262782600.0,172.65,0.0,168.03944,163.66332935151598,1,162.23924283114346,1,162.42382751464845,1,0,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
