,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3601,2025-02-11,165.93555,168.91878,165.40738,168.22432,6735540.0,1131524900.0,171.99,0.0,168.22432,165.3514876592727,1,158.3343594637784,1,170.65135612487794,0,0,1,1,1,0,1.08,0.72,-1.7043,18.6317,0.552,0.49,59.41,66.34,3.37,0.34,0.5254,16.02
3602,2025-02-12,165.83775,167.18752,164.55643,166.56154,5628940.5,934912300.0,170.29,0.0,166.56154,165.96443321591332,1,158.63353160511363,1,170.69700721740722,0,0,1,1,1,0,0.46,0.91,-21.2947,10.8355,0.542,0.481,56.44,66.34,3.37,0.34,0.5566,15.89
3603,2025-02-13,166.46373,168.58623,165.75949,168.38081,6504599.5,1091452800.0,172.15,0.0,168.38081,166.55222792852493,1,158.94472878196024,1,170.74037879943847,0,0,1,1,1,0,3.66,4.32,9.1167,37.779,0.547,0.477,62.38,66.34,3.37,0.34,0.767,15.1
3604,2025-02-14,168.82097,169.03616,167.29512,168.45906,4796359.0,807244740.0,172.23,0.0,168.45906,166.9164552234468,1,159.23381958007812,1,170.7670777130127,0,0,1,1,1,0,0.74,0.8,-1.0256,23.9931,0.555,0.496,60.4,63.37,3.37,0.34,0.4616,14.77
3605,2025-02-18,169.4665,169.91644,167.48674,169.8382,7455894.0,1263126900.0,173.64,0.0,169.8382,167.4851539248512,1,159.5120721990412,1,170.8168202972412,0,0,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,170.17564,172.63557,169.55455,171.3836,7002941.5,1200678400.0,175.22,0.0,171.3836,167.98165893554688,1,159.85185990767044,1,170.88267730712892,1,0,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,172.14653,172.52798,169.1144,169.89688,6457804.0,1097757700.0,173.7,0.0,169.89688,168.28114536830358,1,160.17399264248934,1,170.86402389526367,0,0,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,171.14885,171.58899,161.59277,161.80794,12812395.0,2102154900.0,165.43,0.0,161.80794,168.05711146763392,0,160.3113711270419,1,170.80714317321778,0,0,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,162.27745,162.94255,157.46516,157.57275,10047834.0,1600298500.0,161.1,0.0,157.57275,167.43950762067522,0,160.2921358975497,0,170.7184336090088,0,0,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,158.1205,159.75394,155.9491,157.69012,8429507.0,1328954900.0,161.22,0.0,157.69012,166.93229021344865,0,160.28299588290128,0,170.63850547790528,0,0,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
3611,2025-02-26,158.28677,160.54619,157.40646,158.55087,9366954.0,1487630700.0,162.1,0.0,158.55087,166.50937688918341,0,160.2760606245561,0,170.56095291137694,0,0,0,0,1,0,0.66,0.84,-10.0134,-43.3198,0.482,0.509,59.41,66.34,3.37,0.34,0.6024,19.1
3612,2025-02-27,158.7856,159.67567,150.72603,151.05858,11049111.0,1694965500.0,154.44,0.0,151.05858,165.7124539329892,0,160.17024758078836,0,170.4459871673584,0,0,0,0,1,0,0.59,0.26,-22.7917,-69.0044,0.455,0.515,56.44,62.38,3.37,0.34,0.6767,21.13
3613,2025-02-28,151.70413,153.86574,150.04134,153.7288,10376665.0,1586555000.0,157.17,0.0,153.7288,165.0352325439453,0,160.1286338112571,0,170.33694923400878,0,0,0,0,1,0,6.84,5.67,16.4709,-26.4118,0.459,0.524,62.38,64.36,3.37,0.34,0.6144,19.63
3614,2025-03-03,155.50896,156.57509,149.18062,150.25653,9816789.0,1489617800.0,153.62,0.0,150.25653,164.18241809663317,0,160.00201360529118,0,170.20028259277345,0,0,0,0,1,0,0.5,0.36,-4.1592,-48.1304,0.441,0.515,55.45,64.36,3.52,0.33,0.6418,22.78
