,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3601,2025-02-11,251.19589,255.47414,249.45801,254.72583,2638761.0,668325060.0,258.7,0.0,254.72583,225.98001461937315,1,225.89652571244673,1,198.9175277709961,1,1,1,1,1,0,1.08,0.72,-1.7043,18.6317,0.552,0.49,59.41,66.34,3.37,0.34,0.5254,16.02
3602,2025-02-12,252.45131,255.60214,251.2402,251.35835,3270271.5,826949250.0,255.28,0.0,251.35835,227.94085039411272,1,226.26632052334872,1,199.37524093627928,1,1,1,1,1,0,0.46,0.91,-21.2947,10.8355,0.542,0.481,56.44,66.34,3.37,0.34,0.5566,15.89
3603,2025-02-13,251.13188,261.91367,251.08266,261.00778,3920162.0,1012566850.0,265.08,0.0,261.00778,230.32742454892113,1,226.79175914417613,1,199.8816396331787,1,1,1,1,1,0,3.66,4.32,9.1167,37.779,0.547,0.477,62.38,66.34,3.37,0.34,0.767,15.1
3604,2025-02-14,262.59308,267.24057,260.33826,266.6547,4910995.5,1301980500.0,270.815,0.0,266.6547,232.98196120489212,1,227.38954412286932,1,200.41486038208006,1,1,1,1,1,0,0.74,0.8,-1.0256,23.9931,0.555,0.496,60.4,63.37,3.37,0.34,0.4616,14.77
3605,2025-02-18,265.85223,266.58954,258.51666,259.16653,3939834.2,1028480700.0,263.21,0.0,259.16653,235.20724269321985,1,227.8215692693537,1,200.91102996826172,1,1,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,258.66437,260.19055,255.83844,259.30438,3847119.0,993451900.0,263.35,0.0,259.30438,237.2881106422061,1,228.1672665682706,1,201.40155654907227,1,1,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,258.95975,261.66257,258.13266,261.32288,2838674.0,739669250.0,265.4,0.0,261.32288,239.44071597144716,1,228.51099465110084,1,201.90490333557128,1,1,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,261.35736,263.5482,259.4521,261.09644,3609852.0,943673540.0,265.17,0.0,261.09644,241.64396158854166,1,228.83735767711292,1,202.4086279296875,1,1,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,263.8534,269.19998,263.45462,264.01096,4205939.0,1117682400.0,268.13,0.0,264.01096,244.08633277529762,1,229.2546650279652,1,202.93778732299805,1,1,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,265.09406,268.51074,264.1553,266.38394,3571328.2,949599200.0,270.54,0.0,266.38394,246.52307710193452,1,229.71458046653055,1,203.47968841552733,1,1,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
