,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3601,2025-02-11,202.4357,207.08383,198.35994,205.99829,9347281.0,1919965000.0,208.74,0.0,205.99829,206.04527791341147,0,199.58140841397372,1,176.77652183532715,1,0,1,1,1,0,1.08,0.72,-1.7043,18.6317,0.552,0.49,59.41,66.34,3.37,0.34,0.5254,16.02
3602,2025-02-12,202.20871,204.34933,200.34354,203.66928,7471814.5,1515853600.0,206.38,0.0,203.66928,206.28118533179872,0,199.915302623402,1,177.12759902954102,1,0,1,1,1,0,0.46,0.91,-21.2947,10.8355,0.542,0.481,56.44,66.34,3.37,0.34,0.5566,15.89
3603,2025-02-13,199.2284,199.64287,196.61319,199.17905,15788301.0,3135253500.0,201.83,0.0,199.17905,206.29904320126488,0,200.11604170365766,0,177.44782188415527,1,0,1,1,1,0,3.66,4.32,9.1167,37.779,0.547,0.477,62.38,66.34,3.37,0.34,0.767,15.1
3604,2025-02-14,197.35333,203.54099,194.86693,201.22185,23529380.0,4674320400.0,203.9,0.0,201.22185,206.16276114327567,0,200.37467151988636,1,177.7772816467285,1,0,1,1,1,0,0.74,0.8,-1.0256,23.9931,0.555,0.496,60.4,63.37,3.37,0.34,0.4616,14.77
3605,2025-02-18,202.06563,203.14626,197.88626,200.0771,15187619.0,3040274400.0,202.74,0.0,200.0771,205.59648931594123,0,200.70192260742186,0,178.10668495178223,1,0,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,199.35667,199.93893,197.39282,198.3106,13338264.0,2645974800.0,200.95,0.0,198.3106,205.1007065545945,0,201.01923522949218,0,178.4389810180664,1,0,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,197.6494,197.70862,195.01447,197.47177,10780936.0,2119975400.0,200.1,0.0,197.47177,204.22662644159226,0,201.36869673295453,0,178.76078063964843,1,0,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,198.68561,200.02776,193.43549,195.6362,13940439.0,2739594800.0,198.24,0.0,195.6362,203.05366661435082,0,201.62271645285867,0,179.04736236572265,1,0,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,194.29407,196.17897,188.94525,189.13275,15315439.0,2929565400.0,191.65,0.0,189.13275,201.50428771972656,0,201.58427318226208,0,179.29522216796875,1,0,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,188.14589,190.98805,185.00569,186.88269,20854872.0,3895696100.0,189.37,0.0,186.88269,199.97652544294084,0,201.42460715553977,0,179.54023483276367,1,0,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
3611,2025-02-26,188.58011,193.50456,188.58011,192.06374,14300076.0,2741385000.0,194.62,0.0,192.06374,200.0850801013765,0,201.32694563432173,0,179.79898765563965,1,0,0,0,1,0,0.66,0.84,-10.0134,-43.3198,0.482,0.509,59.41,66.34,3.37,0.34,0.6024,19.1
3612,2025-02-27,192.13283,192.21178,178.70158,178.71146,24541556.0,4499244000.0,181.09,0.0,178.71146,199.08364722842262,0,200.9219435258345,0,179.99493644714354,0,0,0,0,1,0,0.59,0.26,-22.7917,-69.0044,0.455,0.515,56.44,62.38,3.37,0.34,0.6767,21.13
3613,2025-02-28,176.95483,179.76741,173.21461,178.15881,28301152.0,5009813000.0,180.53,0.0,178.15881,198.05918666294642,0,200.52978848544035,0,180.15651245117186,0,0,0,0,1,0,6.84,5.67,16.4709,-26.4118,0.459,0.524,62.38,64.36,3.37,0.34,0.6144,19.63
3614,2025-03-03,178.77066,179.18517,168.82307,170.6981,37900812.0,6560269000.0,172.97,0.0,170.6981,196.40595209030877,0,200.07084905450995,0,180.2947087097168,0,-1,0,0,1,0,0.5,0.36,-4.1592,-48.1304,0.441,0.515,55.45,64.36,3.52,0.33,0.6418,22.78
3615,2025-03-04,172.76065,181.18849,171.89221,177.63577,29786468.0,5256764400.0,180.0,0.0,177.63577,195.0280994233631,0,199.86737143776634,0,180.44052742004394,0,0,0,0,1,0,0.2,0.66,-37.9786,-53.5878,0.412,0.46,47.52,56.44,3.52,0.33,0.6069,23.51
3616,2025-03-05,180.59637,182.31352,178.34631,181.85956,17564702.0,3176621000.0,184.28,0.0,181.85956,194.2987590971447,0,199.69311079545454,0,180.5897304534912,1,0,0,0,1,0,2.98,3.04,-8.7362,-22.3425,0.431,0.476,51.49,59.41,3.52,0.33,0.5383,21.93
3617,2025-03-06,176.22949,179.16542,173.48106,173.54028,18102054.0,3182819800.0,175.85,0.0,173.54028,192.97353980654762,0,199.4130204634233,0,180.71370376586913,0,0,0,0,1,0,0.49,0.26,-25.5887,-49.9714,0.409,0.462,44.55,56.44,3.52,0.33,0.6521,24.87
3618,2025-03-07,173.48106,176.12587,168.77373,174.77386,21292354.0,3672236000.0,177.1,0.0,174.77386,191.49465143112909,0,198.98436196067115,0,180.8465320587158,0,0,0,0,1,0,2.21,2.06,-4.0093,-26.8096,0.458,0.506,52.48,59.41,3.52,0.33,0.5657,23.37
3619,2025-03-10,170.20468,172.5929,165.70457,168.40857,18508198.0,3114365700.0,170.65,0.0,168.40857,189.62195623488654,0,198.41790105646308,0,180.93839782714844,0,-1,0,0,0,-1,0.44,0.26,-23.8012,-53.4069,0.437,0.48,44.55,51.49,3.52,0.33,0.5979,27.86
3620,2025-03-11,168.40857,171.0579,165.89207,168.72438,16781556.0,2831704300.0,170.97,0.0,168.72438,187.97013201032365,0,197.88517317338423,0,181.0312564086914,0,-1,0,0,0,-1,0.3,0.63,-48.0505,-58.0588,0.44,0.445,37.62,43.56,3.52,0.33,0.5695,26.92
3621,2025-03-12,173.29356,175.79034,172.4646,174.84294,14933759.0,2604669200.0,177.17,0.0,174.84294,186.52366928827195,0,197.5552013050426,0,181.14259162902832,0,0,0,0,0,-1,0.56,1.1,-55.8406,-47.8844,0.447,0.441,32.67,43.56,3.52,0.33,0.6245,24.23
3622,2025-03-13,171.60602,171.60602,168.26054,169.33623,14572980.0,2470384000.0,171.59,0.0,169.33623,184.7778567359561,0,197.14161487926137,0,181.22180084228515,0,-1,0,0,0,-1,0.35,0.23,-72.0347,-72.6093,0.445,0.43,33.66,39.6,3.52,0.33,0.9386,24.66
