,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
3605,2025-02-18,38.29901,38.5798,38.00887,38.561077,17477150.0,671698370.0,41.2,0.0,38.561077,37.41966647193546,1,37.568011821400034,1,37.53890268325806,1,1,1,1,1,0,2.53,2.16,19.5342,35.8486,0.581,0.532,59.41,66.34,3.37,0.34,0.5041,15.35
3606,2025-02-19,38.70147,39.356632,38.63773,39.319195,22479434.0,879398140.0,42.01,0.0,39.319195,37.563624245779856,1,37.54098802046342,1,37.56087085723877,1,1,1,1,1,0,1.43,1.3,24.1234,33.9246,0.573,0.54,61.39,66.34,3.37,0.34,0.5972,15.27
3607,2025-02-20,39.309837,39.80589,39.202106,39.76845,21124824.0,836337000.0,42.49,0.0,39.76845,37.71827861240932,1,37.521965234929866,1,37.586288108825684,1,1,1,1,1,0,0.88,0.74,16.0801,18.2485,0.538,0.517,62.38,67.33,3.37,0.34,0.5921,15.66
3608,2025-02-21,39.712296,40.461052,39.468945,40.021156,27207844.0,1091066600.0,42.76,0.0,40.021156,37.888086409795854,1,37.50820596868341,1,37.61314706802368,1,1,0,1,1,0,0.32,0.23,-13.2938,-19.0081,0.5,0.49,58.42,68.32,3.37,0.34,0.6261,18.21
3609,2025-02-24,40.0118,40.830753,39.843327,40.545288,29446652.0,1193788000.0,43.32,0.0,40.545288,38.07260186331613,1,37.51216978593306,1,37.6406665802002,1,1,0,0,1,0,1.3,0.69,-6.2703,-28.5793,0.519,0.52,60.4,68.32,3.37,0.34,0.583,18.98
3610,2025-02-25,40.788635,41.153656,40.70908,40.91031,26023786.0,1065578900.0,43.71,0.0,40.91031,38.25845445905413,1,37.52310471968217,1,37.67010028839111,1,1,0,0,1,0,1.44,0.55,2.1566,-41.9763,0.478,0.522,59.41,67.33,3.37,0.34,0.6396,19.43
3611,2025-02-26,40.751198,40.854153,40.025837,40.414257,19927822.0,804912960.0,43.18,0.0,40.414257,38.37165977841332,1,37.54692528464577,1,37.69629642486572,1,0,0,0,1,0,0.66,0.84,-10.0134,-43.3198,0.482,0.509,59.41,66.34,3.37,0.34,0.6024,19.1
3612,2025-02-27,40.320663,40.63888,40.14283,40.498493,20527040.0,829402560.0,43.27,0.0,40.498493,38.49957275390625,1,37.57177574851296,1,37.72153274536133,1,1,0,0,1,0,0.59,0.26,-22.7917,-69.0044,0.455,0.515,56.44,62.38,3.37,0.34,0.6767,21.13
3613,2025-02-28,40.648243,40.957104,39.880764,40.33938,26921924.0,1083781200.0,43.1,0.0,40.33938,38.625257219587056,1,37.596743080832745,1,37.743256072998044,1,1,0,0,1,0,6.84,5.67,16.4709,-26.4118,0.459,0.524,62.38,64.36,3.37,0.34,0.6144,19.63
3614,2025-03-03,40.208347,41.06006,40.180267,41.06006,23862402.0,975606400.0,43.87,0.0,41.06006,38.82136063348679,1,37.63498084328391,1,37.767959136962894,1,1,0,0,1,0,0.5,0.36,-4.1592,-48.1304,0.441,0.515,55.45,64.36,3.52,0.33,0.6418,22.78
3615,2025-03-04,41.181732,41.63099,40.077312,40.12411,34860364.0,1417754400.0,42.87,0.0,40.12411,38.97646059308733,1,37.65720464533025,1,37.78820520401001,1,1,0,0,1,0,0.2,0.66,-37.9786,-53.5878,0.412,0.46,47.52,56.44,3.52,0.33,0.6069,23.51
3616,2025-03-05,40.039875,40.568687,39.665497,40.096035,19272826.0,771563900.0,42.84,0.0,40.096035,39.10392797560919,1,37.68410152088512,1,37.80831089019775,1,0,0,0,1,0,2.98,3.04,-8.7362,-22.3425,0.431,0.476,51.49,59.41,3.52,0.33,0.5383,21.93
3617,2025-03-06,40.245785,41.481236,40.110073,41.397003,24409354.0,999144000.0,44.23,0.0,41.397003,39.30092293875558,1,37.73314743041992,1,37.835990562438965,1,1,0,0,1,0,0.49,0.26,-25.5887,-49.9714,0.409,0.462,44.55,56.44,3.52,0.33,0.6521,24.87
3618,2025-03-07,41.462517,43.24082,41.462517,43.109787,48071124.0,2059178200.0,46.06,0.0,43.109787,39.56521697271438,1,37.80999069213867,1,37.873080558776856,1,1,0,0,1,0,2.21,2.06,-4.0093,-26.8096,0.458,0.506,52.48,59.41,3.52,0.33,0.5657,23.37
3619,2025-03-10,43.109787,44.321842,43.109787,43.512245,42563224.0,1861862400.0,46.49,0.0,43.512245,39.85714376540411,1,37.91756099354137,1,37.91191556930542,1,1,0,0,0,-1,0.44,0.26,-23.8012,-53.4069,0.437,0.48,44.55,51.49,3.52,0.33,0.5979,27.86
3620,2025-03-11,40.470413,41.0975,39.908844,40.648243,68531880.0,2778869200.0,43.43,0.0,40.648243,40.01536360241118,1,37.97473068237305,1,37.938657970428466,1,0,0,0,0,-1,0.3,0.63,-48.0505,-58.0588,0.44,0.445,37.62,43.56,3.52,0.33,0.5695,26.92
3621,2025-03-12,39.40343,40.14283,38.537117,39.862045,53048640.0,2090169100.0,42.59,0.0,39.862045,40.13302557809012,0,38.02663525668058,1,37.9607120513916,1,0,0,0,0,-1,0.56,1.1,-55.8406,-47.8844,0.447,0.441,32.67,43.56,3.52,0.33,0.6245,24.23
3622,2025-03-13,40.025837,41.008583,40.025837,40.91031,32810122.0,1338472000.0,43.71,0.0,40.91031,40.276537577311196,1,38.10211389715021,1,37.9896111869812,1,0,0,0,0,-1,0.35,0.23,-72.0347,-72.6093,0.445,0.43,33.66,39.6,3.52,0.33,0.9386,24.66
3623,2025-03-14,40.39554,40.961784,40.255142,40.779274,18625050.0,756718140.0,43.57,0.0,40.779274,40.41202726818266,1,38.17587890625,1,38.01647415161133,1,0,0,0,0,0,9.27,11.62,-21.3058,-20.1187,0.452,0.433,36.63,46.53,3.52,0.33,0.5724,21.77
3624,2025-03-17,40.797997,41.013264,40.32534,40.854153,16625834.0,678121600.0,43.65,0.0,40.854153,40.52835228329613,1,38.25083819302645,1,38.04540433883667,1,0,0,0,0,0,10.41,7.42,23.1506,20.9009,0.514,0.491,41.58,49.5,3.52,0.33,0.5917,20.51
