,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
0,2010-10-18,23.059036,23.208492,23.051916,23.172907,7822131.5,181261520.0,32.56,0.0,23.172907,22.72182473682222,1,21.28687147660689,1,21.574452362060548,1,0,1,1,1,1,2.15,0.55,30.9599,5.7143,0.59,0.6,90.0,74.0,3.3,0.57,0.5643,19.09
1,2010-10-19,22.873993,23.172907,22.738771,22.916695,8701717.0,199414600.0,32.2,0.0,22.916695,22.745209103538876,1,21.333201252330433,1,21.58299651145935,1,0,1,1,1,0,0.07,0.09,-20.1291,-41.1341,0.5,0.51,86.0,72.0,3.3,0.57,0.6982,20.63
2,2010-10-20,23.002098,23.336597,22.95228,23.201372,7596333.5,176245380.0,32.6,0.0,23.201372,22.78824978783017,1,21.388303756713867,1,21.591220560073854,1,0,1,1,1,0,6.44,5.27,15.9123,-5.3623,0.56,0.56,90.0,74.0,3.3,0.57,0.6912,19.79
3,2010-10-21,23.279661,23.49317,23.002098,23.172907,6171706.5,143016380.0,32.56,0.0,23.172907,22.8424745287214,1,21.442117968472566,1,21.599267406463625,1,0,1,1,1,0,1.17,1.21,13.907,-4.0562,0.56,0.57,91.0,75.0,3.3,0.57,0.7232,19.27
4,2010-10-22,23.244076,23.436235,23.187141,23.336597,3668406.8,85608130.0,32.79,0.0,23.336597,22.921778088524228,1,21.48863192471591,1,21.607574787139892,1,0,1,1,1,1,1.48,3.43,18.0109,19.7632,0.56,0.56,91.0,72.0,3.3,0.57,0.6912,18.78
5,2010-10-25,23.457584,23.692448,23.279661,23.56434,7435732.0,175218110.0,33.11,0.0,23.56434,22.97295261564709,1,21.544810277765446,1,21.616567583084105,1,0,1,1,1,0,1.66,2.39,24.202,33.1369,0.58,0.57,90.0,72.0,3.3,0.57,0.6327,19.85
6,2010-10-26,23.393532,23.542992,23.215607,23.251192,7317985.5,170151890.0,32.67,0.0,23.251192,23.01599339076451,1,21.58694541237571,1,21.623994636535645,1,0,1,1,1,0,0.81,1.24,11.7427,29.3143,0.58,0.55,86.0,72.0,3.3,0.57,0.6007,20.22
7,2010-10-27,23.073267,23.30457,22.959394,23.11597,7139642.0,165039740.0,32.48,0.0,23.11597,23.026838302612305,1,21.62931952043013,1,21.63085018157959,1,0,1,1,1,0,0.58,1.02,-7.2562,20.9909,0.55,0.51,83.0,70.0,3.3,0.57,0.6512,20.71
8,2010-10-28,22.062656,22.176529,21.443478,21.656988,18218948.0,394567550.0,30.43,0.0,21.656988,22.988881065731956,0,21.660581345991655,0,21.62943446159363,1,0,1,1,1,0,1.01,1.19,-9.7041,17.4984,0.57,0.53,80.0,72.0,3.3,0.57,0.6156,20.88
9,2010-10-29,21.550234,21.713924,21.350958,21.69969,12233409.0,265461180.0,30.49,0.0,21.69969,22.95295724414644,0,21.69261956648393,1,21.627604598999024,1,0,1,1,1,0,1.53,1.36,-1.642,17.7782,0.55,0.53,79.0,71.0,3.3,0.57,0.5565,21.2
10,2010-11-01,21.749508,21.89185,21.283346,21.479063,8894357.0,191042450.0,30.18,0.0,21.479063,22.905849547613236,0,21.722187839854847,0,21.627217102050782,0,0,1,1,1,0,0.89,0.84,-7.9919,6.0646,0.56,0.51,78.0,70.0,3.19,0.23,0.631,21.83
11,2010-11-02,21.635637,21.649872,21.379427,21.571585,5312903.5,114607740.0,30.31,0.0,21.571585,22.858741851080033,0,21.75549361489036,0,21.62561845779419,0,0,1,1,1,1,4.99,4.88,22.7476,33.2531,0.63,0.59,83.0,74.0,3.19,0.23,0.5596,21.57
