,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
0,2010-10-18,8.25,8.2595005,8.091001,8.178,126770880.0,1036732300.0,163.56,0.0,8.178,7.8289639836265925,1,7.060690871152011,1,6.525000817775727,1,0,1,1,1,1,2.15,0.55,30.9599,5.7143,0.59,0.6,90.0,74.0,3.3,0.57,0.5643,19.09
1,2010-10-19,8.033999,8.14,7.85,7.9335,150637070.0,1195079300.0,158.67,0.0,7.9335,7.846500169663202,1,7.095781777121804,1,6.531193318367005,1,0,1,1,1,0,0.07,0.09,-20.1291,-41.1341,0.5,0.51,86.0,72.0,3.3,0.57,0.6982,20.63
2,2010-10-20,7.939,7.9934998,7.8285003,7.9335,115808000.0,918762750.0,158.67,0.0,7.9335,7.865404923756917,1,7.12873632257635,1,6.537188315391541,1,0,1,1,1,0,6.44,5.27,15.9123,-5.3623,0.56,0.56,90.0,74.0,3.3,0.57,0.6912,19.79
3,2010-10-21,8.1335,8.3065,8.0645,8.2485,271706850.0,2241173800.0,164.97,0.0,8.2485,7.896690618424189,1,7.162727225910533,1,6.545368313789368,1,0,1,1,1,0,1.17,1.21,13.907,-4.0562,0.56,0.57,91.0,75.0,3.3,0.57,0.7232,19.27
4,2010-10-22,8.1225,8.5085,8.113501,8.4565,326445020.0,2760582400.0,169.13,0.0,8.4565,7.935452506655738,1,7.20027268149636,1,6.555150814056397,1,0,1,1,1,1,1.48,3.43,18.0109,19.7632,0.56,0.56,91.0,72.0,3.3,0.57,0.6912,18.78
5,2010-10-25,8.578501,8.599501,8.416,8.45,130684480.0,1104283900.0,169.0,0.0,8.45,7.955142974853516,1,7.237254489551891,1,6.564020812511444,1,0,1,1,1,0,1.66,2.39,24.202,33.1369,0.58,0.57,90.0,72.0,3.3,0.57,0.6327,19.85
6,2010-10-26,8.378505,8.55,8.375,8.4975,93872856.0,797684600.0,169.95,0.0,8.4975,7.98033348719279,1,7.274636311964556,1,6.573931314945221,1,0,1,1,1,0,0.81,1.24,11.7427,29.3143,0.58,0.55,86.0,72.0,3.3,0.57,0.6007,20.22
7,2010-10-27,8.4455,8.4875,8.327,8.3755,114582680.0,959687230.0,167.51,0.0,8.3755,7.998928705851237,1,7.308736306970769,1,6.5839713144302365,1,0,1,1,1,0,0.58,1.02,-7.2562,20.9909,0.55,0.51,83.0,70.0,3.3,0.57,0.6512,20.71
8,2010-10-28,8.4155,8.4245,8.252501,8.342,93764200.0,782180900.0,166.84,0.0,8.342,8.017619155702137,1,7.345963582125577,1,6.593403813838958,1,0,1,1,1,0,1.01,1.19,-9.7041,17.4984,0.57,0.53,80.0,72.0,3.3,0.57,0.6156,20.88
9,2010-10-29,8.29,8.425,8.2405,8.2615,99970000.0,825902140.0,165.23,0.0,8.2615,8.037071545918783,1,7.38111813285134,1,6.602873816490173,1,0,1,1,1,0,1.53,1.36,-1.642,17.7782,0.55,0.53,79.0,71.0,3.3,0.57,0.5565,21.2
10,2010-11-01,8.2225,8.229,8.076,8.129001,104904980.0,852772600.0,162.58,0.0,8.129001,8.058190595536004,1,7.41556359204379,1,6.611733820438385,1,0,1,1,1,0,0.89,0.84,-7.9919,6.0646,0.56,0.51,78.0,70.0,3.19,0.23,0.631,21.83
11,2010-11-02,8.1875,8.297,8.168,8.2305,85294200.0,702013900.0,164.61,0.0,8.2305,8.080142974853516,1,7.450599956512451,1,6.620983819961548,1,0,1,1,1,1,4.99,4.88,22.7476,33.2531,0.63,0.59,83.0,74.0,3.19,0.23,0.5596,21.57
12,2010-11-03,8.2699995,8.4305,8.1145,8.4235,122393600.0,1030982460.0,168.47,0.0,8.4235,8.098238218398322,1,7.486609042774547,1,6.631656320095062,1,0,1,1,1,1,1.44,1.31,24.6512,30.021,0.61,0.56,83.0,75.0,3.19,0.23,0.5536,19.56
13,2010-11-04,8.493,8.6265,8.42,8.4465,148040960.0,1250428000.0,168.93,0.0,8.4465,8.130452496664864,1,7.522318137775768,1,6.642233817577362,1,0,1,1,1,1,11.66,4.59,59.2217,52.5461,0.63,0.6,91.0,81.0,3.19,0.23,0.4691,18.52
14,2010-11-05,8.467501,8.5824995,8.4295,8.538501,104373360.0,891191940.0,170.77,0.0,8.538501,8.1649763243539,1,7.561590879613703,1,6.654568819999695,1,0,1,1,1,1,1.6,0.98,57.9382,38.8993,0.61,0.6,87.0,82.0,3.19,0.23,0.4272,18.26
15,2010-11-08,8.542,8.66,8.439,8.599501,114219096.0,982227140.0,171.99,0.0,8.599501,8.204119205474854,1,7.6017999822443185,1,6.6674888229370115,1,0,1,1,1,1,0.7,0.96,36.0982,26.4876,0.58,0.58,85.0,81.0,3.19,0.23,0.5391,18.29
16,2010-11-09,8.6335,8.657001,8.453,8.5135,79617336.0,677822200.0,170.27,0.0,8.5135,8.245166823977517,1,7.6414999875155365,1,6.680186321735382,1,0,1,1,1,1,0.21,0.32,-6.2101,-8.7019,0.55,0.55,80.0,79.0,3.19,0.23,0.5659,19.08
17,2010-11-10,8.5295,8.6685,8.4705,8.6665,109000900.0,944656300.0,173.33,0.0,8.6665,8.285285881587438,1,7.685863624919545,1,6.692831320762634,1,0,1,1,1,1,2.15,2.48,8.2775,8.0631,0.57,0.58,82.0,80.0,3.19,0.23,0.4876,18.47
18,2010-11-11,8.55,8.6025,8.471005,8.5185,113957336.0,970745600.0,170.37,0.0,8.5185,8.321476368677049,1,7.725427263433283,1,6.703916323184967,1,0,1,1,1,0,0.82,0.82,-2.7389,-3.8647,0.56,0.58,77.0,73.0,3.19,0.23,0.5752,18.64
19,2010-11-12,8.506,8.563,8.252501,8.283999,143346350.0,1187481200.0,165.68,0.0,8.283999,8.345642998105003,0,7.762536343661222,1,6.713983819484711,1,0,1,1,1,0,0.08,0.06,-49.3673,-53.7223,0.51,0.52,70.0,68.0,3.19,0.23,0.6652,20.61
20,2010-11-15,8.258,8.267501,7.928,7.9449997,192972000.0,1533162500.0,158.9,0.0,7.9449997,8.33197630019415,0,7.791863606192849,1,6.723991317749023,1,0,1,1,1,0,0.9,0.82,-49.3005,-56.297,0.51,0.52,69.0,67.0,3.19,0.23,0.5644,20.2
21,2010-11-16,7.9370003,8.045501,7.8385005,7.889,131475656.0,1037211460.0,157.78,0.0,7.889,8.318214371090843,0,7.822763599048962,1,6.733906316757202,1,0,0,1,1,0,0.05,0.04,-91.5947,-99.1677,0.43,0.44,58.0,66.0,3.19,0.23,0.6768,22.58
22,2010-11-17,7.8919997,8.0425005,7.8775,7.9175005,90544120.0,716883100.0,158.35,0.0,7.9175005,8.317452498844691,0,7.853236328471791,1,6.743718819618225,1,0,0,1,1,0,1.29,1.97,-75.7774,-73.221,0.44,0.44,54.0,62.0,3.19,0.23,0.586,21.76
23,2010-11-18,8.037005,8.25,8.037005,8.2085,124616880.0,1022917600.0,164.17,0.0,8.2085,8.330547741481237,0,7.88203632181341,1,6.755776317119598,1,0,1,1,1,0,9.21,6.31,-27.969,-30.6704,0.45,0.44,68.0,66.0,3.19,0.23,0.5423,18.75
24,2010-11-19,8.1975,8.2495,8.142,8.241,89324000.0,736119100.0,164.82,0.0,8.241,8.330190613156272,0,7.908954498984597,1,6.767633817195892,1,0,1,1,1,0,1.72,2.03,-13.9259,-13.4309,0.46,0.44,71.0,68.0,3.19,0.23,0.5761,18.04
25,2010-11-22,8.255,8.530001,8.25,8.5195,122992200.0,1047832060.0,170.39,0.0,8.5195,8.33319060007731,1,7.937681770324707,1,6.781023814678192,1,0,1,1,1,0,1.07,2.25,-13.397,3.5856,0.48,0.45,68.0,66.0,3.19,0.23,0.5713,18.37
26,2010-11-23,8.4305,8.4405,8.231,8.41,129451860.0,1088690200.0,168.2,0.0,8.41,8.331285839989071,1,7.965845402804288,1,6.793566312789917,1,0,0,1,1,0,0.07,0.08,-58.2763,-43.6672,0.47,0.44,53.0,60.0,3.19,0.23,0.7257,20.63
27,2010-11-24,8.5765,8.8945,8.5765,8.8625,201114780.0,1782379800.0,177.25,0.0,8.8625,8.34866678147089,1,8.000490856170654,1,6.808538813591003,1,0,1,1,1,0,16.07,94.0,-8.5037,7.6505,0.5,0.47,63.0,66.0,3.19,0.23,0.5175,19.56
28,2010-11-26,8.868,8.919001,8.808001,8.875,85442760.0,758304500.0,177.5,0.0,8.875,8.372452508835565,1,8.034236301075328,1,6.822891314029693,1,0,0,1,1,0,0.14,0.21,-47.4693,-30.2541,0.47,0.43,55.0,64.0,3.19,0.23,0.6598,22.22
29,2010-11-29,8.9995,9.092125,8.878501,8.974501,193990800.0,1740970500.0,179.49,0.0,8.974501,8.402571587335496,1,8.067918127233332,1,6.837848815917969,1,0,0,1,1,0,0.58,0.27,-56.4736,-58.439,0.48,0.46,54.0,61.0,3.19,0.23,0.7077,21.53
30,2010-11-30,8.8475,8.885,8.745,8.7699995,135344500.0,1186971300.0,175.4,0.0,8.7699995,8.426785832359677,1,8.095490837097168,1,6.852316312789917,1,0,0,1,1,0,0.41,0.2,-71.367,-87.038,0.45,0.45,49.0,57.0,3.19,0.23,0.5842,23.54
31,2010-12-01,8.958,8.966001,8.8,8.8275,115575140.0,1020239550.0,176.55,0.0,8.8275,8.460047721862793,1,8.123490845073354,1,6.867376315593719,1,0,1,1,1,0,29.12,18.0,-16.2389,-32.8016,0.54,0.54,60.0,68.0,3.65,0.38,0.4536,21.36
32,2010-12-02,8.843,8.8725,8.696,8.8265,110833656.0,978273300.0,176.53,0.0,8.8265,8.488428660801478,1,8.151745388724587,1,6.881988813877106,1,0,1,1,1,0,7.55,4.94,22.6052,2.1555,0.56,0.57,68.0,73.0,3.65,0.38,0.4577,19.39
33,2010-12-03,8.775001,8.82,8.7025,8.783999,98193176.0,862528900.0,175.68,0.0,8.783999,8.50559529804048,1,8.176790826970882,1,6.896528811454773,1,0,1,1,1,0,1.66,2.17,29.7628,17.2963,0.54,0.54,69.0,74.0,3.65,0.38,0.5242,18.01
34,2010-12-06,8.776,8.9215,8.7300005,8.9025,113269640.0,1008383000.0,178.05,0.0,8.9025,8.52730959937686,1,8.203813561526212,1,6.91153881072998,1,0,1,1,1,0,0.61,0.52,11.2094,-4.2233,0.51,0.52,68.0,73.0,3.65,0.38,0.4944,18.02
35,2010-12-07,9.025001,9.073501,8.828501,8.8385,101598560.0,897978900.0,176.77,0.0,8.8385,8.541595277332124,1,8.226963745463978,1,6.926421310901642,1,0,1,1,1,0,1.07,1.0,9.0323,-6.6441,0.49,0.52,68.0,75.0,3.65,0.38,0.4703,17.99
36,2010-12-08,8.8745,8.908,8.76,8.8145,74719960.0,658619100.0,176.29,0.0,8.8145,8.551833334423247,1,8.250200106880882,1,6.940563809871674,1,0,1,1,1,0,1.17,1.58,9.5317,2.6098,0.55,0.56,71.0,77.0,3.65,0.38,0.4944,17.74
37,2010-12-09,8.8885,8.9055,8.690001,8.7425,91119480.0,796612030.0,174.85,0.0,8.7425,8.562738100687662,1,8.271127380024303,1,6.954726312160492,1,0,1,1,1,0,1.66,0.82,18.3927,-5.6203,0.49,0.53,73.0,79.0,3.65,0.38,0.4319,17.25
38,2010-12-10,8.744,8.7975,8.668,8.781,71330456.0,626352800.0,175.62,0.0,8.781,8.56819048381987,1,8.291827375238592,1,6.969031312465668,1,0,1,1,1,0,3.24,4.41,39.8247,23.7315,0.56,0.6,76.0,82.0,3.65,0.38,0.4246,17.61
39,2010-12-13,8.816501,8.897,8.6865,8.712501,84130216.0,732984500.0,174.25,0.0,8.712501,8.57742859068371,1,8.304118295149369,1,6.981458814144134,1,0,1,1,1,0,0.77,0.4,25.0532,-4.0896,0.56,0.6,76.0,83.0,3.65,0.38,0.4454,17.55
40,2010-12-14,8.714,8.788,8.6545,8.6970005,73790560.0,641756500.0,173.94,0.0,8.6970005,8.597095307849703,1,8.317363765022971,1,6.993561315536499,1,0,1,1,1,0,1.21,1.88,23.6059,8.6835,0.61,0.63,77.0,83.0,3.65,0.38,0.5145,17.61
41,2010-12-15,8.686,8.95,8.679545,8.778501,116352400.0,1021399550.0,175.57,0.0,8.778501,8.636785825093588,1,8.331791045448997,1,7.005981318950653,1,0,1,1,1,0,0.36,0.51,-5.8447,-12.0179,0.55,0.56,75.0,83.0,3.65,0.38,0.5546,17.94
42,2010-12-16,8.779,8.915,8.752,8.901999,82464440.0,734098400.0,178.04,0.0,8.901999,8.685023898170108,1,8.349109207500112,1,7.018358817100525,1,1,1,1,1,1,4.2,6.92,23.0206,24.0268,0.56,0.55,78.0,81.0,3.65,0.38,0.4913,17.39
43,2010-12-17,8.920501,8.9375,8.851001,8.879001,90161480.0,800543800.0,177.58,0.0,8.879001,8.730809620448522,1,8.367763762040571,1,7.03052631855011,1,1,1,1,1,1,1.4,1.16,25.0785,21.0406,0.54,0.55,78.0,80.0,3.65,0.38,0.5127,16.11
44,2010-12-20,8.9635,9.199,8.901999,9.1645,174706000.0,1601093100.0,183.29,0.0,9.1645,8.776333445594425,1,8.394654664126309,1,7.043821318149567,1,1,1,1,1,0,1.46,0.75,27.8347,7.5551,0.55,0.57,81.0,81.0,3.65,0.38,0.5713,16.41
45,2010-12-21,9.194,9.2825,9.130005,9.2375,102255060.0,944581100.0,184.75,0.0,9.2375,8.823785827273415,1,8.421345572038131,1,7.057803816795349,1,1,1,1,1,0,2.72,1.94,43.7929,19.0642,0.57,0.59,79.0,84.0,3.65,0.38,0.5319,16.49
46,2010-12-22,9.25,9.2725,9.205501,9.238,51616800.0,476836000.0,184.76,0.0,9.238,8.858000119527182,1,8.443063753301447,1,7.071366317272187,1,0,1,1,1,1,1.78,1.07,48.1089,14.488,0.56,0.6,81.0,85.0,3.65,0.38,0.4953,15.45
47,2010-12-23,9.217,9.249,9.094525,9.1295,67197600.0,613480500.0,182.59,0.0,9.1295,8.892262050083705,1,8.467781942540949,1,7.083618817329406,1,0,1,1,1,1,0.48,0.44,19.9053,-10.3408,0.54,0.57,78.0,84.0,3.65,0.38,0.5316,16.47
48,2010-12-27,9.095096,9.157001,9.0225,9.107,44994680.0,409766560.0,182.14,0.0,9.107,8.903904914855957,1,8.491300123388116,1,7.096198816299438,1,0,1,1,1,1,1.04,0.9,14.4088,-15.0341,0.51,0.54,79.0,84.0,3.65,0.38,0.5678,17.67
49,2010-12-28,9.1050005,9.1385,9.052501,9.0545,39514360.0,357782800.0,181.09,0.0,9.0545,8.912452516101656,1,8.514518295634877,1,7.10868881225586,1,0,1,1,1,1,0.91,0.48,6.3535,-33.9665,0.51,0.55,76.0,84.0,3.65,0.38,0.557,17.52
50,2010-12-29,9.09,9.217501,9.0205,9.1685,62447580.0,572550660.0,183.37,0.0,9.1685,8.921690577552432,1,8.542100108753552,1,7.121583812236786,1,0,1,1,1,1,1.27,2.1,7.5431,-14.4641,0.51,0.55,77.0,84.0,3.65,0.38,0.5351,17.28
51,2010-12-30,9.196,9.2275,9.1375,9.1375,39230980.0,358473100.0,182.75,0.0,9.1375,8.939190592084612,1,8.565981925617566,1,7.134436311721802,1,0,1,1,1,1,0.67,0.58,-7.281,-28.9359,0.52,0.56,76.0,82.0,3.65,0.38,0.521,17.52
52,2010-12-31,9.098001,9.115001,8.9755,9.0,69077896.0,621701100.0,180.0,0.0,9.0,8.947404861450195,1,8.58855465108698,1,7.146246311664581,1,0,1,1,1,1,0.66,0.39,-20.0912,-49.4629,0.46,0.52,74.0,83.0,3.65,0.38,0.731,17.75
53,2011-01-03,9.0685,9.3,9.0605,9.211,106676260.0,982595000.0,184.22,0.0,9.211,8.965714409237815,1,8.614636473222212,1,7.15971381187439,1,0,1,1,1,1,4.75,7.45,11.7429,-6.8549,0.49,0.55,83.0,85.0,4.33,0.25,0.4035,17.61
54,2011-01-04,9.3075,9.3849745,9.189,9.2505,100695496.0,931483700.0,185.01,0.0,9.2505,8.987928708394369,1,8.63315464366566,1,7.17334881067276,1,0,1,1,1,1,0.45,0.38,-12.7499,-31.0904,0.48,0.52,87.0,86.0,4.33,0.25,0.441,17.38
55,2011-01-05,9.205001,9.3725,9.203501,9.371,68376000.0,640751500.0,187.42,0.0,9.371,9.010238238743373,1,8.654845549843529,1,7.187888813018799,1,0,1,1,1,1,1.84,1.91,0.2672,-13.5374,0.48,0.51,86.0,90.0,4.33,0.25,0.4948,17.02
56,2011-01-06,9.325,9.370501,9.2625,9.293,63594000.0,590979100.0,185.86,0.0,9.293,9.031881105332147,1,8.67956373908303,1,7.202343814373016,1,0,1,1,1,1,0.66,1.19,-13.5731,-9.7979,0.48,0.49,80.0,90.0,4.33,0.25,0.4839,17.4
57,2011-01-07,9.394,9.4225,9.187,9.274501,104456296.0,968779970.0,185.49,0.0,9.274501,9.053785914466495,1,8.703945576060901,1,7.215033819675446,1,0,1,1,1,1,0.72,0.43,-23.1954,-30.6995,0.48,0.5,81.0,88.0,4.33,0.25,0.5033,17.14
58,2011-01-10,9.252,9.2645,9.1255,9.234,67533560.0,623604860.0,184.68,0.0,9.234,9.077190671648298,1,8.721863763982599,1,7.227438821792602,1,0,1,1,1,1,0.96,1.19,-24.2666,-24.2691,0.48,0.49,78.0,88.0,4.33,0.25,0.5478,17.54
59,2011-01-11,9.271,9.3,9.160501,9.217,56316280.0,519067170.0,184.34,0.0,9.217,9.097952570234026,1,8.735691035877574,1,7.239743821620941,1,0,1,1,1,1,1.54,1.58,-13.4928,-11.6147,0.51,0.51,77.0,90.0,4.33,0.25,0.5382,16.89
60,2011-01-12,9.268001,9.269,9.165,9.204,53582000.0,493168740.0,184.08,0.0,9.204,9.12135732741583,1,8.74940013885498,1,7.251619074344635,1,0,1,1,1,1,4.09,3.23,15.496,14.3166,0.52,0.53,83.0,92.0,4.33,0.25,0.4573,16.24
61,2011-01-13,9.18,9.3225,9.1755,9.2765,67375360.0,625007550.0,185.53,0.0,9.2765,9.148952529543923,1,8.763563763011586,1,7.264059071540832,1,0,1,1,1,1,0.82,1.0,5.0373,10.0722,0.54,0.54,82.0,91.0,4.33,0.25,0.5113,16.39
62,2011-01-14,9.275001,9.4470005,9.246,9.4375,73299300.0,691762200.0,188.75,0.0,9.4375,9.180333455403646,1,8.782872858914462,1,7.278294072151184,1,0,1,1,1,1,2.42,2.76,21.6743,29.7971,0.58,0.57,79.0,92.0,4.33,0.25,0.3702,15.46
63,2011-01-18,9.433001,9.580001,9.4125,9.5625,78034520.0,746205100.0,191.25,0.0,9.5625,9.211785861424037,1,8.805063767866654,1,7.293234069347381,1,0,1,1,1,1,1.56,3.23,25.9424,49.4528,0.57,0.54,84.0,91.0,4.33,0.25,0.4556,15.87
64,2011-01-19,9.545,9.55,9.3105,9.3435,77788200.0,726814000.0,186.87,0.0,9.3435,9.233904883975075,1,8.82473649111661,1,7.3060615706443786,1,0,1,1,1,1,0.15,0.11,-18.7009,-0.7585,0.55,0.53,79.0,90.0,4.33,0.25,0.483,17.31
65,2011-01-20,9.2645,9.342501,9.05,9.098001,114351360.0,1040368700.0,181.96,0.0,9.098001,9.230738231113978,0,8.8423546704379,1,7.317834074497223,1,0,1,1,1,0,0.86,0.55,-23.4336,-17.7759,0.52,0.51,84.0,91.0,4.33,0.25,0.688,17.99
66,2011-01-21,9.150005,9.1625,8.842,8.871,136244800.0,1208627600.0,177.42,0.0,8.871,9.213285854884557,0,8.854000126231801,1,7.326949074268341,1,0,1,1,1,0,1.05,0.47,-22.2077,-35.806,0.5,0.52,81.0,91.0,4.33,0.25,0.5562,18.47
67,2011-01-24,8.8975,8.9245,8.707376,8.842501,112046900.0,990774700.0,176.85,0.0,8.842501,9.194452558244977,0,8.861618319424716,0,7.336146578788758,1,0,1,1,1,0,2.56,4.47,-0.434,-1.2371,0.55,0.55,85.0,92.0,4.33,0.25,0.5299,17.65
68,2011-01-25,8.7750845,8.837501,8.714,8.835,93065520.0,822233860.0,176.7,0.0,8.835,9.180428732009162,0,8.868681959672408,0,7.345021579265595,1,0,1,1,1,1,0.9,0.79,-6.2113,-9.3089,0.54,0.55,87.0,90.0,4.33,0.25,0.6519,17.59
69,2011-01-26,8.8755,8.8945,8.731501,8.7695,75244000.0,659852300.0,175.39,0.0,8.7695,9.164357276189895,0,8.872881941361861,0,7.353829076290131,1,0,1,1,1,1,1.7,1.91,4.3718,5.3416,0.54,0.55,82.0,91.0,4.33,0.25,0.5817,16.64
70,2011-01-27,8.874,9.25,8.8655,9.2225,291888000.0,2691937000.0,184.45,0.0,9.2225,9.172357286725726,1,8.884209199385209,1,7.3638715744018555,1,0,1,1,1,1,1.7,1.42,13.4531,10.9454,0.53,0.53,80.0,90.0,4.33,0.25,0.5639,16.15
71,2011-01-28,8.5725,8.6855,8.345,8.557,398297020.0,3408227600.0,171.14,0.0,8.557,9.143238249279204,0,8.885000107505105,0,7.3702015733718875,1,0,0,1,1,0,0.06,0.02,-36.0538,-40.8861,0.48,0.49,66.0,86.0,4.33,0.25,0.6704,20.04
72,2011-01-31,8.508,8.5720005,8.370501,8.482,134430900.0,1140243000.0,169.64,0.0,8.482,9.112023989359537,0,8.881645566766911,0,7.3770688223838805,1,0,1,1,1,0,2.93,2.07,-9.4467,-19.734,0.47,0.5,67.0,88.0,4.33,0.25,0.6112,19.53
73,2011-02-01,8.526,8.655001,8.4755,8.6055,101794960.0,875996540.0,172.11,0.0,8.6055,9.093238285609655,0,8.883227383006703,0,7.384488825798035,1,0,1,1,1,0,8.02,17.8,27.6853,25.7393,0.49,0.52,71.0,89.0,4.47,0.72,0.4996,17.63
74,2011-02-02,8.571,8.76,8.5435,8.6765,91028960.0,789812800.0,173.53,0.0,8.6765,9.0677858988444,0,8.890363762595436,0,7.391821327209473,1,0,1,1,1,0,0.49,0.63,3.2279,8.5191,0.52,0.54,70.0,88.0,4.47,0.72,0.4615,17.3
75,2011-02-03,8.675,8.7335005,8.5975,8.6855,73625176.0,639471500.0,173.71,0.0,8.6855,9.040881156921387,0,8.903827407143332,0,7.398641328811646,1,0,1,1,1,0,1.77,1.19,13.321,9.2988,0.54,0.56,68.0,88.0,4.47,0.72,0.5891,16.69
76,2011-02-04,8.7,8.8595,8.6875,8.7965,87049816.0,765733760.0,175.93,0.0,8.7965,9.013524010067893,0,8.920327411998402,0,7.405101330280304,1,0,1,1,1,0,1.82,2.36,22.5887,25.8765,0.58,0.58,72.0,89.0,4.47,0.72,0.6428,15.93
77,2011-02-07,8.8075,8.877501,8.738501,8.8215,105133960.0,927439200.0,176.43,0.0,8.8215,8.99107161022368,0,8.936763763427734,0,7.413301327228546,1,0,1,1,1,0,2.54,1.76,37.5867,33.538,0.56,0.58,74.0,89.0,4.47,0.72,0.4743,16.28
78,2011-02-08,8.833,9.1555,8.8295,9.153,156046220.0,1428291100.0,183.06,0.0,9.153,8.985285849798293,1,8.953936490145596,1,7.422288825511933,1,0,1,1,1,0,2.0,2.24,45.1315,45.2401,0.58,0.6,74.0,89.0,4.47,0.72,0.5405,15.81
79,2011-02-09,9.1575,9.323501,9.113,9.265,166316820.0,1540925300.0,185.3,0.0,9.265,8.986762046813965,1,8.972554675015536,1,7.433108825683593,1,0,1,1,1,0,0.7,0.61,25.8663,23.9137,0.56,0.57,75.0,88.0,4.47,0.72,0.5405,15.87
