,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
0,2010-10-18,44.815453,45.507973,44.772503,45.35229,14555679.0,660133400.0,84.48,0.0,45.35229,44.022459484281995,1,42.34113589200106,1,40.394961757659914,1,1,1,1,1,1,2.15,0.55,30.9599,5.7143,0.59,0.6,90.0,74.0,3.3,0.57,0.5643,19.09
1,2010-10-19,44.761765,44.922817,44.0934,44.44503,17617364.0,783004300.0,82.79,0.0,44.44503,44.0963389078776,1,42.39687784368341,1,40.410859718322754,1,0,1,1,1,0,0.07,0.09,-20.1291,-41.1341,0.5,0.51,86.0,72.0,3.3,0.57,0.6982,20.63
2,2010-10-20,44.632923,45.373764,44.520187,45.105343,16457400.0,742316700.0,84.02,0.0,45.105343,44.20549647013346,1,42.456309023770416,1,40.42859777450562,1,0,1,1,1,0,6.44,5.27,15.9123,-5.3623,0.56,0.56,90.0,74.0,3.3,0.57,0.6912,19.79
3,2010-10-21,45.368397,45.631447,44.767136,45.228817,17797358.0,804953500.0,84.25,0.0,45.228817,44.33331571306501,1,42.5145038951527,1,40.44692710876465,1,0,1,1,1,0,1.17,1.21,13.907,-4.0562,0.56,0.57,91.0,75.0,3.3,0.57,0.7232,19.27
4,2010-10-22,45.51871,45.51871,45.185867,45.38987,10347579.0,469675260.0,84.55,0.0,45.38987,44.48695428030832,1,42.57514350197532,1,40.466844635009764,1,1,1,1,1,1,1.48,3.43,18.0109,19.7632,0.56,0.56,91.0,72.0,3.3,0.57,0.6912,18.78
5,2010-10-25,45.701237,46.055553,45.491867,45.56166,12587350.0,573500540.0,84.87,0.0,45.56166,44.60838263375418,1,42.64219443581321,1,40.48725574493408,1,0,1,1,1,0,1.66,2.39,24.202,33.1369,0.58,0.57,90.0,72.0,3.3,0.57,0.6327,19.85
6,2010-10-26,45.443554,45.76029,45.35766,45.711975,11135718.0,509035650.0,85.15,0.0,45.711975,44.73799133300781,1,42.706563013250175,1,40.50473867416382,1,1,1,1,1,0,0.81,1.24,11.7427,29.3143,0.58,0.55,86.0,72.0,3.3,0.57,0.6007,20.22
7,2010-10-27,45.438183,45.438183,44.71345,45.261024,17802866.0,805775940.0,84.31,0.0,45.261024,44.82567523774647,1,42.76515003551136,1,40.52119342803955,1,0,1,1,1,0,0.58,1.02,-7.2562,20.9909,0.55,0.51,83.0,70.0,3.3,0.57,0.6512,20.71
8,2010-10-28,45.776394,45.980396,45.14829,45.33082,15878938.0,719805250.0,84.44,0.0,45.33082,44.90645708356585,1,42.84347638216886,1,40.53958909988403,1,0,1,1,1,0,1.01,1.19,-9.7041,17.4984,0.57,0.53,80.0,72.0,3.3,0.57,0.6156,20.88
9,2010-10-29,44.498714,44.68124,44.01019,44.34303,23215460.0,1029443800.0,82.6,0.0,44.34303,44.94608088902065,0,42.90442310680043,1,40.55369827270508,1,0,1,1,1,0,1.53,1.36,-1.642,17.7782,0.55,0.53,79.0,71.0,3.3,0.57,0.5565,21.2
10,2010-11-01,44.638294,45.137554,43.5324,43.725662,23809490.0,1041085760.0,81.45,0.0,43.725662,44.93329892839704,0,42.95095374367454,1,40.56555572509765,1,0,1,1,1,0,0.89,0.84,-7.9919,6.0646,0.56,0.51,78.0,70.0,3.19,0.23,0.631,21.83
11,2010-11-02,44.214188,44.2625,43.87061,44.10145,17749776.0,782790900.0,82.15,0.0,44.10145,44.95477258591425,0,43.001319191672586,1,40.578117752075194,1,0,1,1,1,1,4.99,4.88,22.7476,33.2531,0.63,0.59,83.0,74.0,3.19,0.23,0.5596,21.57
12,2010-11-03,44.375244,44.62219,43.97261,44.396713,18706126.0,830490500.0,82.7,0.0,44.396713,44.937133425758,0,43.049439655650744,1,40.59614900588989,1,0,1,1,1,1,1.44,1.31,24.6512,30.021,0.61,0.56,83.0,75.0,3.19,0.23,0.5536,19.56
13,2010-11-04,45.180504,45.797867,45.030457,45.706604,30354746.0,1387412400.0,85.14,0.0,45.706604,44.96908823649088,1,43.12850161465732,1,40.62571434020996,1,0,1,1,1,1,11.66,4.59,59.2217,52.5461,0.63,0.6,91.0,81.0,3.19,0.23,0.4691,18.52
14,2010-11-05,45.47576,45.803238,45.121452,45.620712,27044388.0,1233784200.0,84.98,0.0,45.620712,45.00641159784226,1,43.217714829878375,1,40.65915632247925,1,0,1,1,1,1,1.6,0.98,57.9382,38.8993,0.61,0.6,87.0,82.0,3.19,0.23,0.4272,18.26
15,2010-11-08,45.42745,45.631447,44.981873,45.524082,21979132.0,1000579800.0,84.8,0.0,45.524082,45.02839660644531,1,43.312882024591616,1,40.692219524383546,1,0,1,1,1,1,0.7,0.96,36.0982,26.4876,0.58,0.58,85.0,81.0,3.19,0.23,0.5391,18.29
16,2010-11-09,45.04629,45.23955,44.61145,44.858395,25328190.0,1136182000.0,83.56,0.0,44.858395,45.0245619274321,0,43.39594580910423,1,40.72299819946289,1,0,1,1,1,1,0.21,0.32,-6.2101,-8.7019,0.55,0.55,80.0,79.0,3.19,0.23,0.5659,19.08
17,2010-11-10,44.9765,45.749554,44.691975,45.72271,21972074.0,1004622700.0,85.17,0.0,45.72271,45.05856196085612,1,43.50712058327415,1,40.75927284240723,1,0,1,1,1,1,2.15,2.48,8.2775,8.0631,0.57,0.58,82.0,80.0,3.19,0.23,0.4876,18.47
18,2010-11-11,45.631447,46.27029,45.631447,46.216602,21044418.0,972601540.0,86.09,0.0,46.216602,45.12042635963077,1,43.624444649436256,1,40.79921743392944,1,0,1,1,1,0,0.82,0.82,-2.7389,-3.8647,0.56,0.58,77.0,73.0,3.19,0.23,0.5752,18.64
19,2010-11-12,45.878395,45.95892,45.395237,45.867657,19707452.0,903934700.0,85.44,0.0,45.867657,45.15979458036877,1,43.74264713634144,1,40.84034021377563,1,0,1,1,1,0,0.08,0.06,-49.3673,-53.7223,0.51,0.52,70.0,68.0,3.19,0.23,0.6652,20.61
20,2010-11-15,46.02871,46.152184,45.540184,45.55629,17242402.0,785499900.0,84.86,0.0,45.55629,45.19174939110165,1,43.83957124189897,1,40.87609592437744,1,0,1,1,1,0,0.9,0.82,-49.3005,-56.297,0.51,0.52,69.0,67.0,3.19,0.23,0.5644,20.2
21,2010-11-16,45.236847,45.25309,44.359722,44.657513,22851082.0,1020472450.0,82.48,0.0,44.657513,45.15866470336914,0,43.93137879805131,1,40.905087280273435,1,0,0,1,1,0,0.05,0.04,-91.5947,-99.1677,0.43,0.44,58.0,66.0,3.19,0.23,0.6768,22.58
22,2010-11-17,44.61961,45.00944,44.451763,44.64668,14494964.0,647152000.0,82.46,0.0,44.64668,45.16826702299572,0,44.02006114612926,1,40.93726055145264,1,0,0,1,1,0,1.29,1.97,-75.7774,-73.221,0.44,0.44,54.0,62.0,3.19,0.23,0.586,21.76
23,2010-11-18,44.960712,45.46966,44.911983,45.383034,14018319.0,636193800.0,83.82,0.0,45.383034,45.181490398588636,1,44.095875410600144,1,40.97791753768921,1,0,1,1,1,0,9.21,6.31,-27.969,-30.6704,0.45,0.44,68.0,66.0,3.19,0.23,0.5423,18.75
24,2010-11-19,45.312645,45.45883,44.8416,45.448006,15018595.0,682565200.0,83.94,0.0,45.448006,45.191927955264134,1,44.16623368696733,1,41.019395236969,1,0,1,1,1,0,1.72,2.03,-13.9259,-13.4309,0.46,0.44,71.0,68.0,3.19,0.23,0.5761,18.04
25,2010-11-22,45.19353,45.25309,44.424694,45.1827,12549153.0,567004600.0,83.45,0.0,45.1827,45.18206278483073,1,44.22639985518022,1,41.06228666305542,1,0,1,1,1,0,1.07,2.25,-13.397,3.5856,0.48,0.45,68.0,66.0,3.19,0.23,0.5713,18.37
26,2010-11-23,44.652096,44.66834,43.937405,44.262264,17560206.0,777254460.0,81.75,0.0,44.262264,45.12018676031204,0,44.27910343516957,0,41.09749639511109,1,0,0,1,1,0,0.07,0.08,-58.2763,-43.6672,0.47,0.44,53.0,60.0,3.19,0.23,0.7257,20.63
27,2010-11-24,44.478836,44.94447,44.39762,44.901157,14870023.0,667681200.0,82.93,0.0,44.901157,45.081576392764134,0,44.34147116921165,1,41.13736204147339,1,0,1,1,1,0,16.07,94.0,-8.5037,7.6505,0.5,0.47,63.0,66.0,3.19,0.23,0.5175,19.56
28,2010-11-26,44.635853,44.706238,44.28392,44.424694,5152424.5,228894880.0,82.05,0.0,44.424694,45.04175113496326,0,44.394102200594816,1,41.1722878074646,1,0,0,1,1,0,0.14,0.21,-47.4693,-30.2541,0.47,0.43,55.0,64.0,3.19,0.23,0.6598,22.22
29,2010-11-29,44.01862,44.424694,43.536743,44.22978,16753459.0,741001700.0,81.69,0.0,44.22978,44.989320664178756,0,44.428938640247694,0,41.20634439468384,1,0,0,1,1,0,0.58,0.27,-56.4736,-58.439,0.48,0.46,54.0,61.0,3.19,0.23,0.7077,21.53
30,2010-11-30,43.66127,44.186462,43.56923,43.839943,19157810.0,839877250.0,80.97,0.0,43.839943,44.965364183698384,0,44.45249009565874,0,41.23323503494262,1,0,0,1,1,0,0.41,0.2,-71.367,-87.038,0.45,0.45,49.0,57.0,3.19,0.23,0.5842,23.54
31,2010-12-01,44.478836,45.05817,44.262264,44.776623,19632294.0,879067900.0,82.7,0.0,44.776623,45.01540992373512,0,44.490534279563214,1,41.26520429611206,1,0,1,1,1,0,29.12,18.0,-16.2389,-32.8016,0.54,0.54,60.0,68.0,3.65,0.38,0.4536,21.36
32,2010-12-02,44.776623,45.84325,44.68458,45.75121,19946092.0,912557760.0,84.5,0.0,45.75121,45.0939697992234,1,44.54922644875266,1,41.29999137878418,1,0,1,1,1,0,7.55,4.94,22.6052,2.1555,0.56,0.57,68.0,73.0,3.65,0.38,0.4577,19.39
33,2010-12-03,45.745792,46.021923,45.675407,45.962368,12425154.0,571089500.0,84.89,0.0,45.962368,45.168524787539525,1,44.61331953568892,1,41.33470132827759,1,0,1,1,1,0,1.66,2.17,29.7628,17.2963,0.54,0.54,69.0,74.0,3.65,0.38,0.5242,18.01
34,2010-12-06,45.908222,46.135624,45.745792,45.99485,9578891.0,440579680.0,84.95,0.0,45.99485,45.182250794910246,1,44.68376208218661,1,41.372445545196534,1,0,1,1,1,0,0.61,0.52,11.2094,-4.2233,0.51,0.52,68.0,73.0,3.65,0.38,0.4944,18.02
35,2010-12-07,46.520042,46.90446,46.40634,46.725792,23198748.0,1083979800.0,86.3,0.0,46.725792,45.23487363542829,1,44.75343898426403,1,41.41626842498779,1,0,1,1,1,0,1.07,1.0,9.0323,-6.6441,0.49,0.52,68.0,75.0,3.65,0.38,0.4703,17.99
36,2010-12-08,46.839493,46.99651,46.363026,46.63916,12779406.0,596020740.0,86.14,0.0,46.63916,45.287972586495535,1,44.82300491333008,1,41.458867740631106,1,0,1,1,1,0,1.17,1.58,9.5317,2.6098,0.55,0.56,71.0,77.0,3.65,0.38,0.4944,17.74
37,2010-12-09,46.991093,47.093967,46.476727,46.91529,14929677.0,700430140.0,86.65,0.0,46.91529,45.38592002505348,1,44.902471785111864,1,41.503453674316404,1,0,1,1,1,0,1.66,0.82,18.3927,-5.6203,0.49,0.53,73.0,79.0,3.65,0.38,0.4319,17.25
38,2010-12-10,47.083134,47.14811,46.693302,47.121037,13679773.0,644605100.0,87.03,0.0,47.121037,45.45250701904297,1,44.992609544233844,1,41.54856773376465,1,0,1,1,1,0,3.24,4.41,39.8247,23.7315,0.56,0.6,76.0,82.0,3.65,0.38,0.4246,17.61
39,2010-12-13,47.494625,48.160587,47.380928,47.84656,18304156.0,875790900.0,88.37,0.0,47.84656,45.530124119349885,1,45.08051674582742,1,41.595965728759765,1,0,1,1,1,0,0.77,0.4,25.0532,-4.0896,0.56,0.6,76.0,83.0,3.65,0.38,0.4454,17.55
40,2010-12-14,47.960262,48.160587,47.716614,47.85197,13545443.0,648176200.0,88.38,0.0,47.85197,45.62461526053293,1,45.168912714177914,1,41.64204704284668,1,0,1,1,1,0,1.21,1.88,23.6059,8.6835,0.61,0.63,77.0,83.0,3.65,0.38,0.5145,17.61
41,2010-12-15,47.657055,47.98733,47.608326,47.65164,14056116.0,669797060.0,88.01,0.0,47.65164,45.72439393543062,1,45.245857793634585,1,41.68762731552124,1,0,1,1,1,0,0.36,0.51,-5.8447,-12.0179,0.55,0.56,75.0,83.0,3.65,0.38,0.5546,17.94
42,2010-12-16,47.689545,48.305695,47.56501,48.220146,14400548.0,694396540.0,89.06,0.0,48.220146,45.894043150402254,1,45.32923500754617,1,41.736181831359865,1,1,1,1,1,1,4.2,6.92,23.0206,24.0268,0.56,0.55,78.0,81.0,3.65,0.38,0.4913,17.39
43,2010-12-17,48.106445,48.166004,47.689545,47.91153,20007594.0,958594500.0,88.49,0.0,47.91153,46.049512227376304,1,45.409245924516156,1,41.77997890472412,1,0,1,1,1,1,1.4,1.16,25.0785,21.0406,0.54,0.55,78.0,80.0,3.65,0.38,0.5127,16.11
44,2010-12-20,48.166004,48.512524,47.954845,48.079376,14830605.0,713046300.0,88.8,0.0,48.079376,46.17790948776972,1,45.4835239757191,1,41.82371940612793,1,0,1,1,1,0,1.46,0.75,27.8347,7.5551,0.55,0.57,81.0,81.0,3.65,0.38,0.5713,16.41
45,2010-12-21,48.371746,48.631584,48.160587,48.312195,11018711.0,532338050.0,89.23,0.0,48.312195,46.31429944719587,1,45.56828197132457,1,41.869519805908205,1,0,1,1,1,0,2.72,1.94,43.7929,19.0642,0.57,0.59,79.0,84.0,3.65,0.38,0.5319,16.49
46,2010-12-22,48.523354,48.70744,48.36092,48.68578,7873875.5,383345760.0,89.92,0.0,48.68578,46.48111270722889,1,45.6395300431685,1,41.91808393478394,1,1,1,1,1,1,1.78,1.07,48.1089,14.488,0.56,0.6,81.0,85.0,3.65,0.38,0.4953,15.45
47,2010-12-23,48.66954,49.21097,48.631638,49.09727,9424191.0,462702050.0,90.68,0.0,49.09727,46.711351122174946,1,45.71337946111505,1,41.968626480102536,1,1,1,1,1,1,0.48,0.44,19.9053,-10.3408,0.54,0.57,78.0,84.0,3.65,0.38,0.5316,16.47
