,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
0,2010-10-18,9.083351,9.118351,8.863351,8.975018,3751192.5,33667020.0,53.85,0.0,8.975018,8.39521514801752,1,8.060879698666659,1,7.508435928821564,1,0,1,1,1,1,2.15,0.55,30.9599,5.7143,0.59,0.6,90.0,74.0,3.3,0.57,0.5643,19.09
1,2010-10-19,8.835017,9.050018,8.600017,8.683351,6006306.0,52154860.0,52.1,0.0,8.683351,8.417358012426467,1,8.061394856192848,1,7.52303317785263,1,0,1,1,1,0,0.07,0.09,-20.1291,-41.1341,0.5,0.51,86.0,72.0,3.3,0.57,0.6982,20.63
2,2010-10-20,8.708351,8.941685,8.683351,8.798351,3620926.8,31858184.0,52.79,0.0,8.798351,8.454977149055118,1,8.070152447440407,1,7.537177653312683,1,0,1,1,1,0,6.44,5.27,15.9123,-5.3623,0.56,0.56,90.0,74.0,3.3,0.57,0.6912,19.79
3,2010-10-21,8.885018,8.909884,8.526684,8.650018,5911068.0,51130840.0,51.9,0.0,8.650018,8.497675668625604,1,8.074910033832897,1,7.549452679157257,1,0,1,1,1,0,1.17,1.21,13.907,-4.0562,0.56,0.57,91.0,75.0,3.3,0.57,0.7232,19.27
4,2010-10-22,8.683351,8.778351,8.545017,8.671683,4221591.5,36608308.0,52.03,0.0,8.671683,8.543548742930094,1,8.081485791639848,1,7.5619749212265015,1,0,1,1,1,1,1.48,3.43,18.0109,19.7632,0.56,0.56,91.0,72.0,3.3,0.57,0.6912,18.78
5,2010-10-25,8.766684,9.071685,8.766684,8.976685,7174185.5,64400400.0,53.86,0.0,8.976685,8.59315200079055,1,8.094940367611972,1,7.575749948024749,1,0,1,1,1,0,1.66,2.39,24.202,33.1369,0.58,0.57,90.0,72.0,3.3,0.57,0.6327,19.85
6,2010-10-26,8.895018,9.333352,8.801701,9.288352,9858478.0,91569016.0,55.73,0.0,9.288352,8.64640608287993,1,8.112758593125777,1,7.591755535602569,1,0,1,1,1,0,0.81,1.24,11.7427,29.3143,0.58,0.55,86.0,72.0,3.3,0.57,0.6007,20.22
7,2010-10-27,9.246685,9.267518,8.936685,9.121685,7682690.5,70079080.0,54.73,0.0,9.121685,8.681247438703265,1,8.131637425856157,1,7.607322232723236,1,0,1,1,1,0,0.58,1.02,-7.2562,20.9909,0.55,0.51,83.0,70.0,3.3,0.57,0.6512,20.71
8,2010-10-28,9.205018,9.205018,8.823351,8.998352,10298457.0,92669140.0,53.99,0.0,8.998352,8.712358656383696,1,8.154425360939719,1,7.621491708755493,1,0,1,1,1,0,1.01,1.19,-9.7041,17.4984,0.57,0.53,80.0,72.0,3.3,0.57,0.6156,20.88
9,2010-10-29,9.508352,9.816687,9.508352,9.683352,25050766.0,242575410.0,58.1,0.0,9.683352,8.776961962381998,1,8.190334519472989,1,7.639605634212494,1,0,1,1,1,0,1.53,1.36,-1.642,17.7782,0.55,0.53,79.0,71.0,3.3,0.57,0.5565,21.2
