,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
0,2010-10-18,114.750984,117.374,114.69017,116.856995,9186028.0,1073451700.0,153.7,0.0,116.856995,113.68694014776321,1,113.01086065118963,1,115.77011981964111,1,0,1,1,1,1,2.15,0.55,30.9599,5.7143,0.59,0.6,90.0,74.0,3.3,0.57,0.5643,19.09
1,2010-10-19,117.95182,121.418755,116.96344,119.15308,19071438.0,2272420600.0,156.72,0.0,119.15308,113.86144583565849,1,113.07116629860617,1,115.71267768859863,1,0,1,1,1,0,0.07,0.09,-20.1291,-41.1341,0.5,0.51,86.0,72.0,3.3,0.57,0.6982,20.63
2,2010-10-20,118.765335,121.836914,117.73894,121.34273,13983034.0,1696739600.0,159.6,0.0,121.34273,114.15832228887649,1,113.1650785966353,1,115.65463523864746,1,0,1,1,1,0,6.44,5.27,15.9123,-5.3623,0.56,0.56,90.0,74.0,3.3,0.57,0.6912,19.79
3,2010-10-21,121.32752,122.787285,120.20229,121.11464,8366295.5,1013280830.0,159.3,0.0,121.11464,114.56489780970982,1,113.21044367009944,1,115.60254753112793,1,0,1,1,1,0,1.17,1.21,13.907,-4.0562,0.56,0.57,91.0,75.0,3.3,0.57,0.7232,19.27
4,2010-10-22,121.56321,121.63164,119.74611,119.94379,5329580.0,639250000.0,157.76,0.0,119.94379,115.03012448265439,1,113.24127710515802,1,115.53173614501954,1,0,1,1,1,1,1.48,3.43,18.0109,19.7632,0.56,0.56,91.0,72.0,3.3,0.57,0.6912,18.78
5,2010-10-25,121.160255,121.228676,118.81095,119.662476,7535739.0,901745200.0,157.39,0.0,119.662476,115.39615086146763,1,113.2771996238015,1,115.4721989440918,1,0,1,1,1,0,1.66,2.39,24.202,33.1369,0.58,0.57,90.0,72.0,3.3,0.57,0.6327,19.85
6,2010-10-26,119.15308,120.68127,119.00863,120.34674,5360424.5,645109600.0,158.29,0.0,120.34674,115.84110296340216,1,113.32252974076705,1,115.4264616394043,1,0,1,1,1,0,0.81,1.24,11.7427,29.3143,0.58,0.55,86.0,72.0,3.3,0.57,0.6007,20.22
7,2010-10-27,119.51042,122.09541,119.36597,121.76088,8655695.0,1053925060.0,160.15,0.0,121.76088,116.38923754010882,1,113.41425489945846,1,115.40190982818604,1,1,1,1,1,0,0.58,1.02,-7.2562,20.9909,0.55,0.51,83.0,70.0,3.3,0.57,0.6512,20.71
8,2010-10-28,122.3007,124.52835,121.98138,124.1102,13046027.0,1619145000.0,163.24,0.0,124.1102,117.0706049601237,1,113.61281308260831,1,115.38438705444337,1,1,1,1,1,0,1.01,1.19,-9.7041,17.4984,0.57,0.53,80.0,72.0,3.3,0.57,0.6156,20.88
9,2010-10-29,123.28147,124.383286,122.36912,122.505974,5973904.0,731838900.0,161.13,0.0,122.505974,117.66978817894345,1,113.77985950816762,1,115.36088115692138,1,1,1,1,1,0,1.53,1.36,-1.642,17.7782,0.55,0.53,79.0,71.0,3.3,0.57,0.5565,21.2
