,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
0,2010-10-18,30.074999,30.404783,29.939205,30.39185,6747855.0,205079800.0,47.0,0.0,30.39185,29.03545633951823,1,27.794090028242632,1,27.3008642578125,1,0,1,1,1,1,2.15,0.55,30.9599,5.7143,0.59,0.6,90.0,74.0,3.3,0.57,0.5643,19.09
1,2010-10-19,29.939205,30.281923,29.564157,29.848677,11482519.0,342738000.0,46.16,0.0,29.848677,29.09242175874256,1,27.82633451981978,1,27.32244688987732,1,0,1,1,1,0,0.07,0.09,-20.1291,-41.1341,0.5,0.51,86.0,72.0,3.3,0.57,0.6982,20.63
2,2010-10-20,29.96507,30.579374,29.91334,30.010336,14317503.0,429673060.0,46.41,0.0,30.010336,29.15708523704892,1,27.868405324762517,1,27.344584703445435,1,0,1,1,1,0,6.44,5.27,15.9123,-5.3623,0.56,0.56,90.0,74.0,3.3,0.57,0.6912,19.79
3,2010-10-21,30.204325,30.559975,29.990938,30.17846,9209075.0,277915700.0,46.67,0.0,30.17846,29.249153682163783,1,27.903727652809838,1,27.367563133239745,1,0,1,1,1,0,1.17,1.21,13.907,-4.0562,0.56,0.57,91.0,75.0,3.3,0.57,0.7232,19.27
4,2010-10-22,30.159061,30.618172,29.324902,30.559975,11010387.0,336477150.0,47.26,0.0,30.559975,29.373246056692942,1,27.944352410056375,1,27.389981355667114,1,1,1,1,1,1,1.48,3.43,18.0109,19.7632,0.56,0.56,91.0,72.0,3.3,0.57,0.6912,18.78
5,2010-10-25,30.876827,31.219543,30.676369,30.734566,7615268.5,234051980.0,47.53,0.0,30.734566,29.467777887980144,1,27.992237056385388,1,27.410393438339234,1,0,1,1,1,0,1.66,2.39,24.202,33.1369,0.58,0.57,90.0,72.0,3.3,0.57,0.6327,19.85
6,2010-10-26,30.663437,30.689302,30.32072,30.572908,6157568.5,188254780.0,47.28,0.0,30.572908,29.573702857607888,1,28.035781756314364,1,27.428320398330687,1,1,1,1,1,0,0.81,1.24,11.7427,29.3143,0.58,0.55,86.0,72.0,3.3,0.57,0.6007,20.22
7,2010-10-27,30.159061,30.488846,29.91334,30.450048,6268605.0,190879310.0,47.09,0.0,30.450048,29.66300019763765,1,28.082578936490144,1,27.447151708602906,1,0,1,1,1,0,0.58,1.02,-7.2562,20.9909,0.55,0.51,83.0,70.0,3.3,0.57,0.6512,20.71
8,2010-10-28,30.69577,30.896225,30.152596,30.456512,5040555.0,153517740.0,47.1,0.0,30.456512,29.757224037533714,1,28.14828706221147,1,27.465540761947633,1,0,1,1,1,0,1.01,1.19,-9.7041,17.4984,0.57,0.53,80.0,72.0,3.3,0.57,0.6156,20.88
9,2010-10-29,30.314255,30.527643,30.139664,30.46298,4789409.0,145899660.0,47.11,0.0,30.46298,29.854835146949405,1,28.220182730934837,1,27.483171186447144,1,0,1,1,1,0,1.53,1.36,-1.642,17.7782,0.55,0.53,79.0,71.0,3.3,0.57,0.5565,21.2
10,2010-11-01,30.346586,30.631105,30.107332,30.262524,6800125.5,205788960.0,46.8,0.0,30.262524,29.93643433707101,1,28.28808357932351,1,27.499609498977662,1,0,1,1,1,0,0.89,0.84,-7.9919,6.0646,0.56,0.51,78.0,70.0,3.19,0.23,0.631,21.83
11,2010-11-02,30.437115,30.650505,30.346586,30.547045,4524499.0,138210060.0,47.24,0.0,30.547045,30.04820987156459,1,28.362791720303623,1,27.516774377822877,1,1,1,1,1,1,4.99,4.88,22.7476,33.2531,0.63,0.59,83.0,74.0,3.19,0.23,0.5596,21.57
12,2010-11-03,30.644037,30.77983,30.223726,30.676369,5032823.0,154388740.0,47.44,0.0,30.676369,30.123034795125324,1,28.425726942582564,1,27.536136150360107,1,0,1,1,1,1,1.44,1.31,24.6512,30.021,0.61,0.56,83.0,75.0,3.19,0.23,0.5536,19.56
13,2010-11-04,31.019087,31.698053,30.94149,31.691586,12490661.0,395848860.0,49.01,0.0,31.691586,30.2243408929734,1,28.50626238042658,1,27.56573106765747,1,1,1,1,1,1,11.66,4.59,59.2217,52.5461,0.63,0.6,91.0,81.0,3.19,0.23,0.4691,18.52
14,2010-11-05,31.685122,31.904976,31.523462,31.866179,11984091.0,381887170.0,49.28,0.0,31.866179,30.341351100376674,1,28.60631446838379,1,27.59888819694519,1,1,1,1,1,1,1.6,0.98,57.9382,38.8993,0.61,0.6,87.0,82.0,3.19,0.23,0.4272,18.26
15,2010-11-08,31.665722,31.930843,31.523462,31.75625,8834096.0,280537800.0,49.11,0.0,31.75625,30.444812683832076,1,28.705896273526278,1,27.6304199886322,1,1,1,1,1,1,0.7,0.96,36.0982,26.4876,0.58,0.58,85.0,81.0,3.19,0.23,0.5391,18.29
16,2010-11-09,31.898512,31.898512,31.523462,31.698053,10003909.0,317104450.0,49.02,0.0,31.698053,30.549813860938663,1,28.810063310102983,1,27.662451753616335,1,1,1,1,1,1,0.21,0.32,-6.2101,-8.7019,0.55,0.55,80.0,79.0,3.19,0.23,0.5659,19.08
17,2010-11-10,31.672188,31.672188,31.34887,31.575193,7043075.5,222386460.0,48.83,0.0,31.575193,30.65081214904785,1,28.92163727500222,1,27.692951707839967,1,1,1,1,1,1,2.15,2.48,8.2775,8.0631,0.57,0.58,82.0,80.0,3.19,0.23,0.4876,18.47
18,2010-11-11,31.355337,31.497597,30.973824,31.238943,6720482.5,209940770.0,48.31,0.0,31.238943,30.70931725274949,1,29.033211239901455,1,27.72316249847412,1,0,1,1,1,0,0.82,0.82,-2.7389,-3.8647,0.56,0.58,77.0,73.0,3.19,0.23,0.5752,18.64
19,2010-11-12,31.064352,31.167812,30.521177,30.728102,7703571.5,236716130.0,47.52,0.0,30.728102,30.750886735462007,0,29.136907993663442,1,27.75455241203308,1,0,1,1,1,0,0.08,0.06,-49.3673,-53.7223,0.51,0.52,70.0,68.0,3.19,0.23,0.6652,20.61
20,2010-11-15,30.812164,31.08375,30.728102,30.773365,4940035.0,152021500.0,47.59,0.0,30.773365,30.78475806826637,0,29.230258560180665,1,27.78385904312134,1,0,1,1,1,0,0.9,0.82,-49.3005,-56.297,0.51,0.52,69.0,67.0,3.19,0.23,0.5644,20.2
21,2010-11-16,31.006155,32.00844,31.006155,31.323004,21472786.0,672592200.0,48.44,0.0,31.323004,30.829098746890114,1,29.342890618064185,1,27.81543928146362,1,0,0,1,1,0,0.05,0.04,-91.5947,-99.1677,0.43,0.44,58.0,66.0,3.19,0.23,0.6768,22.58
22,2010-11-17,31.559208,31.962645,31.344475,31.767435,13698059.0,435152200.0,48.82,0.0,31.767435,30.920468194144114,1,29.46125183105469,1,27.85022247314453,1,0,0,1,1,0,1.29,1.97,-75.7774,-73.221,0.44,0.44,54.0,62.0,3.19,0.23,0.586,21.76
23,2010-11-18,32.17087,32.515747,32.08628,32.366085,7283800.5,235748100.0,49.74,0.0,32.366085,31.03264672415597,1,29.569099842418325,1,27.89268138885498,1,1,1,1,1,0,9.21,6.31,-27.969,-30.6704,0.45,0.44,68.0,66.0,3.19,0.23,0.5423,18.75
24,2010-11-19,32.301014,32.39862,31.969154,32.392113,7203260.5,233328820.0,49.78,0.0,32.392113,31.138058798653738,1,29.664135707508432,1,27.936093034744264,1,1,1,1,1,0,1.72,2.03,-13.9259,-13.4309,0.46,0.44,71.0,68.0,3.19,0.23,0.5761,18.04
25,2010-11-22,32.138336,32.567802,31.904081,32.30752,6740839.0,217779790.0,49.65,0.0,32.30752,31.221275329589844,1,29.74811037236994,1,27.980980033874513,1,0,1,1,1,0,1.07,2.25,-13.397,3.5856,0.48,0.45,68.0,66.0,3.19,0.23,0.5713,18.37
26,2010-11-23,32.0147,32.483208,31.936619,32.274982,7285325.0,235133760.0,49.6,0.0,32.274982,31.294628506615048,1,29.84195712696422,1,28.02269868850708,1,0,0,1,1,0,0.07,0.08,-58.2763,-43.6672,0.47,0.44,53.0,60.0,3.19,0.23,0.7257,20.63
27,2010-11-24,32.42465,32.821575,32.359577,32.802055,7795545.5,255709920.0,50.41,0.0,32.802055,31.400778361729213,1,29.942330239035865,1,28.067369089126586,1,1,1,1,1,0,16.07,94.0,-8.5037,7.6505,0.5,0.47,63.0,66.0,3.19,0.23,0.5175,19.56
28,2010-11-26,32.39862,32.723972,32.24245,32.619858,2432130.0,79335736.0,50.13,0.0,32.619858,31.504102616083053,1,30.0419771714644,1,28.109514951705933,1,0,0,1,1,0,0.14,0.21,-47.4693,-30.2541,0.47,0.43,55.0,64.0,3.19,0.23,0.6598,22.22
29,2010-11-29,32.392113,32.567802,32.008194,32.48972,5873472.5,190827470.0,49.93,0.0,32.48972,31.600921994163876,1,30.129382081465288,1,28.152180738449097,1,0,0,1,1,0,0.58,0.27,-56.4736,-58.439,0.48,0.46,54.0,61.0,3.19,0.23,0.7077,21.53
30,2010-11-30,32.288,32.561295,31.94963,32.34656,6349417.5,205381840.0,49.71,0.0,32.34656,31.690616335187638,1,30.20842319835316,1,28.190777072906496,1,0,0,1,1,0,0.41,0.2,-71.367,-87.038,0.45,0.45,49.0,57.0,3.19,0.23,0.5842,23.54
31,2010-12-01,32.802055,33.335632,32.802055,33.107887,7835190.0,259406600.0,50.88,0.0,33.107887,31.82610984075637,1,30.298484906283292,1,28.23167179107666,1,1,1,1,1,0,29.12,18.0,-16.2389,-32.8016,0.54,0.54,60.0,68.0,3.65,0.38,0.4536,21.36
32,2010-12-02,33.08186,33.504818,32.92569,33.309605,8048343.5,268087150.0,51.19,0.0,33.309605,31.957660311744327,1,30.39186151677912,1,28.271151723861696,1,1,1,1,1,0,7.55,4.94,22.6052,2.1555,0.56,0.57,68.0,73.0,3.65,0.38,0.4577,19.39
33,2010-12-03,33.244537,33.537354,33.036312,33.47879,5712263.0,191239650.0,51.45,0.0,33.47879,32.09110895792643,1,30.486433098532938,1,28.310297775268555,1,1,1,1,1,0,1.66,2.17,29.7628,17.2963,0.54,0.54,69.0,74.0,3.65,0.38,0.5242,18.01
34,2010-12-06,33.368168,33.452763,33.15344,33.296593,4778814.5,159118240.0,51.17,0.0,33.296593,32.16753787086124,1,30.576633869517934,1,28.348756036758424,1,0,1,1,1,0,0.61,0.52,11.2094,-4.2233,0.51,0.52,68.0,73.0,3.65,0.38,0.4944,18.02
35,2010-12-07,33.595917,33.79113,33.381184,33.465775,6812915.0,227999470.0,51.43,0.0,33.465775,32.243709110078356,1,30.664149717851117,1,28.38876172065735,1,0,1,1,1,0,1.07,1.0,9.0323,-6.6441,0.49,0.52,68.0,75.0,3.65,0.38,0.4703,17.99
36,2010-12-08,33.465775,33.71955,33.270565,33.42673,5734065.5,191671070.0,51.37,0.0,33.42673,32.323255811418804,1,30.750955685702237,1,28.426499557495116,1,0,1,1,1,0,1.17,1.58,9.5317,2.6098,0.55,0.56,71.0,77.0,3.65,0.38,0.4944,17.74
37,2010-12-09,33.615437,33.687016,33.348648,33.40721,4537384.0,151581340.0,51.34,0.0,33.40721,32.404644284929546,1,30.84481367631392,1,28.465383377075195,1,0,1,1,1,0,1.66,0.82,18.3927,-5.6203,0.49,0.53,73.0,79.0,3.65,0.38,0.4319,17.25
38,2010-12-10,33.51783,34.025383,33.42673,33.82366,8218210.0,277969950.0,51.98,0.0,33.82366,32.51171420869373,1,30.951534167203036,1,28.50644510269165,1,1,1,1,1,0,3.24,4.41,39.8247,23.7315,0.56,0.6,76.0,82.0,3.65,0.38,0.4246,17.61
39,2010-12-13,33.98634,34.096962,33.7651,33.836678,5285649.0,178848800.0,52.0,0.0,33.836678,32.635415849231535,1,31.044030172174626,1,28.54626456260681,1,1,1,1,1,0,0.77,0.4,25.0532,-4.0896,0.56,0.6,76.0,83.0,3.65,0.38,0.4454,17.55
40,2010-12-14,34.012367,34.36375,33.836678,34.18155,7727198.0,264127620.0,52.53,0.0,34.18155,32.79986572265625,1,31.15008590004661,1,28.58745762825012,1,1,1,1,1,0,1.21,1.88,23.6059,8.6835,0.61,0.63,77.0,83.0,3.65,0.38,0.5145,17.61
41,2010-12-15,33.82366,34.194565,33.41372,33.537354,14210701.0,476589300.0,51.54,0.0,33.537354,32.93148422241211,1,31.240314067493784,1,28.62466444015503,1,1,1,1,1,0,0.36,0.51,-5.8447,-12.0179,0.55,0.56,75.0,83.0,3.65,0.38,0.5546,17.94
42,2010-12-16,33.537354,34.760677,33.537354,34.754173,10223760.0,355318300.0,53.41,0.0,34.754173,33.09487324669247,1,31.35442973050204,1,28.667126293182374,1,1,1,1,1,1,4.2,6.92,23.0206,24.0268,0.56,0.55,78.0,81.0,3.65,0.38,0.4913,17.39
43,2010-12-17,34.480877,34.708622,34.090454,34.480877,11933655.0,411482880.0,52.99,0.0,34.480877,33.22408476329985,1,31.464752093228427,1,28.70589394569397,1,1,1,1,1,1,1.4,1.16,25.0785,21.0406,0.54,0.55,78.0,80.0,3.65,0.38,0.5127,16.11
44,2010-12-20,34.637043,34.676086,34.376762,34.428818,5263519.0,181216750.0,52.91,0.0,34.428818,33.32231012980143,1,31.571658949418502,1,28.74574052810669,1,0,1,1,1,0,1.46,0.75,27.8347,7.5551,0.55,0.57,81.0,81.0,3.65,0.38,0.5713,16.41
45,2010-12-21,34.656567,34.903835,34.47437,34.832256,4607462.0,160488290.0,53.53,0.0,34.832256,33.438507443382626,1,31.692249818281695,1,28.785117158889772,1,1,1,1,1,0,2.72,1.94,43.7929,19.0642,0.57,0.59,79.0,84.0,3.65,0.38,0.5319,16.49
46,2010-12-22,34.7802,34.968906,34.63054,34.95589,4194371.5,146618000.0,53.72,0.0,34.95589,33.564620245070685,1,31.798628824407405,1,28.824888753890992,1,1,1,1,1,1,1.78,1.07,48.1089,14.488,0.56,0.6,81.0,85.0,3.65,0.38,0.4953,15.45
47,2010-12-23,34.832256,34.903835,34.58499,34.767185,2821861.0,98108170.0,53.43,0.0,34.767185,33.68329656691778,1,31.893229328502308,1,28.862824001312255,1,1,1,1,1,1,0.48,0.44,19.9053,-10.3408,0.54,0.57,78.0,84.0,3.65,0.38,0.5316,16.47
48,2010-12-27,34.513412,34.80623,34.428818,34.741158,2425060.8,84249420.0,53.39,0.0,34.741158,33.775634765625,1,31.990178298950195,1,28.899640617370604,1,0,1,1,1,1,1.04,0.9,14.4088,-15.0341,0.51,0.54,79.0,84.0,3.65,0.38,0.5678,17.67
49,2010-12-28,34.89082,34.89082,34.526424,34.81924,2369121.5,82491016.0,53.51,0.0,34.81924,33.880367279052734,1,32.08537254333496,1,28.936720104217528,1,0,1,1,1,1,0.91,0.48,6.3535,-33.9665,0.51,0.55,76.0,84.0,3.65,0.38,0.557,17.52
50,2010-12-29,34.916847,34.949383,34.637043,34.682594,2200996.2,76336260.0,53.3,0.0,34.682594,33.9847898937407,1,32.17972828258168,1,28.97292504310608,1,0,1,1,1,1,1.27,2.1,7.5431,-14.4641,0.51,0.55,77.0,84.0,3.65,0.38,0.5351,17.28
51,2010-12-30,34.617523,34.682594,34.370255,34.461353,3307792.2,113991000.0,52.96,0.0,34.461353,34.085494268508185,1,32.27076689980247,1,29.008406419754028,1,0,1,1,1,1,0.67,0.58,-7.281,-28.9359,0.52,0.56,76.0,82.0,3.65,0.38,0.521,17.52
52,2010-12-31,34.44834,34.72814,34.305836,34.591496,2500108.5,86482500.0,53.16,0.0,34.591496,34.156142280215306,1,32.35406071056019,1,29.042880401611328,1,0,1,1,1,1,0.66,0.39,-20.0912,-49.4629,0.46,0.52,74.0,83.0,3.65,0.38,0.731,17.75
53,2011-01-03,34.80623,35.411385,34.7802,35.274734,5838587.5,205954620.0,54.21,0.0,35.274734,34.24971989222935,1,32.45259874517267,1,29.07952699661255,1,0,1,1,1,1,4.75,7.45,11.7429,-6.8549,0.49,0.55,83.0,85.0,4.33,0.25,0.4035,17.61
54,2011-01-04,35.30727,35.320286,34.47437,34.79972,7669062.5,266881250.0,53.48,0.0,34.79972,34.3126213437035,1,32.53873790394176,1,29.114627571105956,1,0,1,1,1,1,0.45,0.38,-12.7499,-31.0904,0.48,0.52,87.0,86.0,4.33,0.25,0.441,17.38
55,2011-01-05,34.611015,35.561047,34.57848,35.37885,6777261.0,239771700.0,54.37,0.0,35.37885,34.41177640642439,1,32.62941062233665,1,29.150614938735963,1,0,1,1,1,1,1.84,1.91,0.2672,-13.5374,0.48,0.51,86.0,90.0,4.33,0.25,0.4948,17.02
56,2011-01-06,35.495975,35.502483,34.949383,35.37234,5101080.0,180437150.0,54.36,0.0,35.37234,34.502565293085006,1,32.72984088550914,1,29.185645055770873,1,0,1,1,1,1,0.66,1.19,-13.5731,-9.7979,0.48,0.49,80.0,90.0,4.33,0.25,0.4839,17.4
57,2011-01-07,35.522003,35.580566,35.014454,35.333298,4402607.0,155558640.0,54.3,0.0,35.333298,34.59335417974563,1,32.826622009277344,1,29.220926370620727,1,0,1,1,1,1,0.72,0.43,-23.1954,-30.6995,0.48,0.5,81.0,88.0,4.33,0.25,0.5033,17.14
58,2011-01-10,35.35933,35.35933,34.747665,35.073017,5264441.0,184639840.0,53.9,0.0,35.073017,34.67267826625279,1,32.915613972056995,1,29.254077234268188,1,0,1,1,1,1,0.96,1.19,-24.2666,-24.2691,0.48,0.49,78.0,88.0,4.33,0.25,0.5478,17.54
59,2011-01-11,35.255215,35.37234,34.94288,35.13809,4039923.8,141955200.0,54.0,0.0,35.13809,34.73527000063942,1,32.99885240034624,1,29.286692514419556,1,0,1,1,1,1,1.54,1.58,-13.4928,-11.6147,0.51,0.51,77.0,90.0,4.33,0.25,0.5382,16.89
60,2011-01-12,35.44392,35.658653,35.242203,35.606598,5631722.5,200526480.0,54.72,0.0,35.606598,34.819551922026136,1,33.087434803355826,1,29.32139524459839,1,0,1,1,1,1,4.09,3.23,15.496,14.3166,0.52,0.53,83.0,92.0,4.33,0.25,0.4573,16.24
61,2011-01-13,35.52851,35.68468,35.404877,35.522003,4572730.5,162432540.0,54.59,0.0,35.522003,34.883383069719585,1,33.177418344671075,1,29.35465462684631,1,0,1,1,1,1,0.82,1.0,5.0373,10.0722,0.54,0.54,82.0,91.0,4.33,0.25,0.5113,16.39
62,2011-01-14,35.450428,35.808315,35.37885,35.801807,5488160.0,196486050.0,55.02,0.0,35.801807,34.99121420724051,1,33.274723052978516,1,29.390078315734865,1,0,1,1,1,1,2.42,2.76,21.6743,29.7971,0.58,0.57,79.0,92.0,4.33,0.25,0.3702,15.46
63,2011-01-18,35.808315,35.95147,35.5155,35.63262,5049073.5,179911730.0,54.76,0.0,35.63262,35.03304508754185,1,33.36883413141424,1,29.423316831588746,1,0,1,1,1,1,1.56,3.23,25.9424,49.4528,0.57,0.54,84.0,91.0,4.33,0.25,0.4556,15.87
64,2011-01-19,35.678173,35.743244,35.183636,35.35933,5789457.5,204711330.0,54.34,0.0,35.35933,35.074876149495445,1,33.457858657836915,1,29.45515700340271,1,0,1,1,1,1,0.15,0.11,-18.7009,-0.7585,0.55,0.53,79.0,90.0,4.33,0.25,0.483,17.31
65,2011-01-20,35.29426,36.335384,35.11206,35.5155,11431405.0,405992030.0,54.58,0.0,35.5155,35.12662288120815,1,33.5533673026345,1,29.488447637557982,1,0,1,1,1,0,0.86,0.55,-23.4336,-17.7759,0.52,0.51,84.0,91.0,4.33,0.25,0.688,17.99
66,2011-01-21,35.853863,35.918934,35.417892,35.456936,7031139.5,249302660.0,54.49,0.0,35.456936,35.15636952718099,1,33.642638050426136,1,29.520680179595946,1,0,1,1,1,0,1.05,0.47,-22.2077,-35.806,0.5,0.52,81.0,91.0,4.33,0.25,0.5562,18.47
67,2011-01-24,35.5155,36.19874,35.44392,36.029552,4996731.5,180030020.0,55.37,0.0,36.029552,35.207496279761905,1,33.73996866399592,1,29.554882974624633,1,0,1,1,1,0,2.56,4.47,-0.434,-1.2371,0.55,0.55,85.0,92.0,4.33,0.25,0.5299,17.65
68,2011-01-25,35.93195,36.08161,35.587074,36.036064,3719502.2,134036216.0,55.38,0.0,36.036064,35.267919086274645,1,33.81895918412642,1,29.588416824340822,1,0,1,1,1,1,0.9,0.79,-6.2113,-9.3089,0.54,0.55,87.0,90.0,4.33,0.25,0.6519,17.59
69,2011-01-26,36.159695,36.498062,35.886402,36.289837,8052646.5,292229220.0,55.77,0.0,36.289837,35.341665722074964,1,33.8993893363259,1,29.62427180290222,1,0,1,1,1,1,1.7,1.91,4.3718,5.3416,0.54,0.55,82.0,91.0,4.33,0.25,0.5817,16.64
70,2011-01-27,36.41347,36.45902,36.02305,36.38744,5864061.5,213378190.0,55.92,0.0,36.38744,35.41634187244234,1,33.98359277898615,1,29.658478384017943,1,0,1,1,1,1,1.7,1.42,13.4531,10.9454,0.53,0.53,80.0,90.0,4.33,0.25,0.5639,16.15
71,2011-01-28,36.237778,37.0837,35.522003,35.99702,14242617.0,512691780.0,55.32,0.0,35.99702,35.47893360682896,1,34.06175582192161,1,29.690286464691162,1,0,0,1,1,0,0.06,0.02,-36.0538,-40.8861,0.48,0.49,66.0,86.0,4.33,0.25,0.6704,20.04
72,2011-01-31,35.957977,36.446003,35.626118,36.446003,8566550.0,312216540.0,56.01,0.0,36.446003,35.57344073341007,1,34.150315995649855,1,29.726412086486818,1,0,1,1,1,0,2.93,2.07,-9.4467,-19.734,0.47,0.5,67.0,88.0,4.33,0.25,0.6112,19.53
73,2011-02-01,36.647724,37.090202,36.498062,37.051163,5772505.5,213878030.0,56.94,0.0,37.051163,35.690567743210565,1,34.25599271600897,1,29.765786714553833,1,1,1,1,1,0,8.02,17.8,27.6853,25.7393,0.49,0.52,71.0,89.0,4.47,0.72,0.4996,17.63
74,2011-02-02,36.803894,37.63029,36.803894,37.356995,6785509.0,253486220.0,57.41,0.0,37.356995,35.78972298758371,1,34.37651804143732,1,29.804681644439697,1,0,1,1,1,0,0.49,0.63,3.2279,8.5191,0.52,0.54,70.0,88.0,4.47,0.72,0.4615,17.3
75,2011-02-03,37.200825,37.5457,37.109726,37.200825,6230470.0,231778610.0,57.17,0.0,37.200825,35.90406127203079,1,34.49338094537909,1,29.84180724143982,1,1,1,1,1,0,1.77,1.19,13.321,9.2988,0.54,0.56,68.0,88.0,4.47,0.72,0.5891,16.69
76,2011-02-04,37.220345,37.285416,36.777866,37.16829,4252365.5,158053150.0,57.12,0.0,37.16829,35.98927270798456,1,34.599658862027255,1,29.87637866973877,1,0,1,1,1,0,1.82,2.36,22.5887,25.8765,0.58,0.58,72.0,89.0,4.47,0.72,0.6428,15.93
77,2011-02-07,37.265896,37.3635,37.070683,37.174797,4493883.5,167059200.0,57.13,0.0,37.174797,36.07510394141788,1,34.697974534468216,1,29.910089807510374,1,0,1,1,1,0,2.54,1.76,37.5867,33.538,0.56,0.58,74.0,89.0,4.47,0.72,0.4743,16.28
78,2011-02-08,37.259388,37.402542,37.174797,37.34398,4855242.0,181314060.0,57.39,0.0,37.34398,36.17085066295805,1,34.78848169500178,1,29.942893085479735,1,1,1,1,1,0,2.0,2.24,45.1315,45.2401,0.58,0.6,74.0,89.0,4.47,0.72,0.5405,15.81
79,2011-02-09,37.174797,37.441586,37.051163,37.311443,4581490.0,170942020.0,57.34,0.0,37.311443,36.27744238717215,1,34.8779240694913,1,29.97977460861206,1,1,1,1,1,0,0.7,0.61,25.8663,23.9137,0.56,0.57,75.0,88.0,4.47,0.72,0.5405,15.87
80,2011-02-10,37.226852,37.50015,37.135754,37.396038,5309469.5,198553100.0,57.47,0.0,37.396038,36.38496380760556,1,34.970442546497694,1,30.016728353500366,1,1,1,1,1,0,1.66,3.09,30.432,43.0485,0.57,0.57,70.0,89.0,4.47,0.72,0.5553,16.09
81,2011-02-11,37.29843,37.786457,37.14226,37.727894,3553375.0,134061360.0,57.98,0.0,37.727894,36.485977899460565,1,35.06958638971502,1,30.05065404891968,1,1,1,1,1,0,2.85,2.44,45.8829,54.6293,0.64,0.64,79.0,90.0,4.47,0.72,0.5435,15.69
82,2011-02-14,37.558712,37.76043,37.220345,37.480625,4425198.0,165859200.0,57.6,0.0,37.480625,36.57924561273484,1,35.15465129505504,1,30.086691484451293,1,1,1,1,1,0,0.98,1.47,34.1912,52.8645,0.63,0.62,75.0,89.0,4.47,0.72,0.5253,15.95
