,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
0,2010-10-18,78.14873,79.33012,78.115456,79.21919,18644820.0,1477027500.0,142.83,0.0,79.21919,75.81422860281808,1,72.78231936368076,1,70.92620391845703,1,1,1,1,1,1,2.15,0.55,30.9599,5.7143,0.59,0.6,90.0,74.0,3.3,0.57,0.5643,19.09
1,2010-10-19,76.15203,77.28349,75.819244,76.556915,25531072.0,1954580200.0,138.03,0.0,76.556915,75.97903587704613,1,72.86213434392755,1,70.94697250366211,1,0,1,1,1,0,0.07,0.09,-20.1291,-41.1341,0.5,0.51,86.0,72.0,3.3,0.57,0.6982,20.63
2,2010-10-20,76.69558,77.57745,76.61238,77.13374,12539368.0,967208300.0,139.07,0.0,77.13374,76.16629282633464,1,72.95635056929154,1,70.97499835968017,1,0,1,1,1,0,6.44,5.27,15.9123,-5.3623,0.56,0.56,90.0,74.0,3.3,0.57,0.6912,19.79
3,2010-10-21,77.544174,77.92133,76.76213,77.55527,11233226.0,871195840.0,139.83,0.0,77.55527,76.35803949265252,1,73.04919960715554,1,71.00745510101318,1,0,1,1,1,0,1.17,1.21,13.907,-4.0562,0.56,0.57,91.0,75.0,3.3,0.57,0.7232,19.27
4,2010-10-22,77.73275,78.06554,77.35006,77.46652,7401763.5,573388900.0,139.67,0.0,77.46652,76.56933048793248,1,73.13481570157138,1,71.04069805145264,1,0,1,1,1,1,1.48,3.43,18.0109,19.7632,0.56,0.56,91.0,72.0,3.3,0.57,0.6912,18.78
5,2010-10-25,77.88251,78.42605,77.544174,77.560814,8780857.0,681050430.0,139.84,0.0,77.560814,76.72066788446335,1,73.23263397216797,1,71.07085926055908,1,0,1,1,1,0,1.66,2.39,24.202,33.1369,0.58,0.57,90.0,72.0,3.3,0.57,0.6327,19.85
6,2010-10-26,77.25576,78.758835,76.834236,78.021164,13212538.0,1030857600.0,140.67,0.0,78.021164,76.87966482979911,1,73.32006530761718,1,71.10706676483154,1,0,1,1,1,0,0.81,1.24,11.7427,29.3143,0.58,0.55,86.0,72.0,3.3,0.57,0.6007,20.22
7,2010-10-27,77.38333,78.52035,77.09492,78.44269,11660025.0,914643800.0,141.43,0.0,78.44269,77.05239541190011,1,73.41677426424893,1,71.1425666809082,1,0,1,1,1,0,0.58,1.02,-7.2562,20.9909,0.55,0.51,83.0,70.0,3.3,0.57,0.6512,20.71
8,2010-10-28,78.67009,78.7311,77.88251,78.14873,9884978.0,772498500.0,140.9,0.0,78.14873,77.19554501488095,1,73.52840798117897,1,71.17736209869385,1,0,1,1,1,0,1.01,1.19,-9.7041,17.4984,0.57,0.53,80.0,72.0,3.3,0.57,0.6156,20.88
9,2010-10-29,78.14873,79.86812,78.06554,79.64626,15224471.0,1212572200.0,143.6,0.0,79.64626,77.44539714994885,1,73.68269861394708,1,71.21396007537842,1,1,1,1,1,0,1.53,1.36,-1.642,17.7782,0.55,0.53,79.0,71.0,3.3,0.57,0.5565,21.2
10,2010-11-01,79.66845,80.01232,78.936325,79.49097,10233736.0,813489500.0,143.32,0.0,79.49097,77.64823695591518,1,73.8385020862926,1,71.25123016357422,1,0,1,1,1,0,0.89,0.84,-7.9919,6.0646,0.56,0.51,78.0,70.0,3.19,0.23,0.631,21.83
11,2010-11-02,79.78493,80.26192,79.707275,79.77937,8341444.0,665475200.0,143.84,0.0,79.77937,77.87511080787296,1,74.00055777809837,1,71.283491897583,1,1,1,1,1,1,4.99,4.88,22.7476,33.2531,0.63,0.59,83.0,74.0,3.19,0.23,0.5596,21.57
12,2010-11-03,80.001236,80.12325,79.10826,79.9624,9343808.0,747153400.0,144.17,0.0,79.9624,78.04704902285621,1,74.15908383456143,1,71.32730102539062,1,0,1,1,1,1,1.44,1.31,24.6512,30.021,0.61,0.56,83.0,75.0,3.19,0.23,0.5536,19.56
