,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
0,2010-10-18,24.736082,25.475166,24.642862,25.435217,82777560.0,2105465100.0,38.2,0.0,25.435217,26.14965275355748,0,25.883854363181374,0,26.950620527267457,0,0,1,1,1,1,2.15,0.55,30.9599,5.7143,0.59,0.6,90.0,74.0,3.3,0.57,0.5643,19.09
1,2010-10-19,25.235464,25.734848,24.969126,25.095636,106023590.0,2660729300.0,37.69,0.0,25.095636,26.040361495245072,0,25.836684174971147,0,26.933979120254516,0,0,1,1,1,0,0.07,0.09,-20.1291,-41.1341,0.5,0.51,86.0,72.0,3.3,0.57,0.6982,20.63
2,2010-10-20,25.302048,25.5018,24.942492,25.368631,65326476.0,1657243300.0,38.1,0.0,25.368631,25.963069552466983,0,25.801248238303444,0,26.915949840545654,0,0,1,1,1,0,6.44,5.27,15.9123,-5.3623,0.56,0.56,90.0,74.0,3.3,0.57,0.6912,19.79
3,2010-10-21,25.428556,25.568386,24.110188,25.102295,57503616.0,1443472600.0,37.7,0.0,25.102295,25.893677847726003,0,25.75843082774769,0,26.895792884826662,0,0,1,1,1,0,1.17,1.21,13.907,-4.0562,0.56,0.57,91.0,75.0,3.3,0.57,0.7232,19.27
4,2010-10-22,24.969126,25.158892,24.849274,25.102295,37369308.0,938055400.0,37.7,0.0,25.102295,25.850885572887602,0,25.715855234319513,0,26.872750406265258,0,0,1,1,1,1,1.48,3.43,18.0109,19.7632,0.56,0.56,91.0,72.0,3.3,0.57,0.6912,18.78
5,2010-10-25,25.282074,25.348658,24.636204,24.682814,56921536.0,1404983700.0,37.07,0.0,24.682814,25.767534982590448,0,25.675687963312324,0,26.847975358963012,0,0,1,1,1,0,1.66,2.39,24.202,33.1369,0.58,0.57,90.0,72.0,3.3,0.57,0.6327,19.85
6,2010-10-26,24.622887,24.809322,24.489717,24.769373,58865844.0,1458070000.0,37.2,0.0,24.769373,25.709522428966704,0,25.644590689919212,0,26.82413062095642,0,0,1,1,1,0,0.81,1.24,11.7427,29.3143,0.58,0.55,86.0,72.0,3.3,0.57,0.6007,20.22
7,2010-10-27,24.676157,25.055687,24.636204,24.99576,46223332.0,1155387400.0,37.54,0.0,24.99576,25.666406813121977,0,25.625468479503287,0,26.804867153167724,0,0,1,1,1,0,0.58,1.02,-7.2562,20.9909,0.55,0.51,83.0,70.0,3.3,0.57,0.6512,20.71
8,2010-10-28,25.102295,25.275414,24.855934,24.975784,45978680.0,1148353700.0,37.51,0.0,24.975784,25.63943962823777,0,25.622909927368163,0,26.78298313140869,0,0,1,1,1,0,1.01,1.19,-9.7041,17.4984,0.57,0.53,80.0,72.0,3.3,0.57,0.6156,20.88
9,2010-10-29,24.935835,25.12893,24.849274,25.055687,29741680.0,745198200.0,37.63,0.0,25.055687,25.62736038934617,0,25.621320516412908,0,26.760039291381837,0,0,1,1,1,0,1.53,1.36,-1.642,17.7782,0.55,0.53,79.0,71.0,3.3,0.57,0.5565,21.2
