,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
0,2010-10-18,3.527539,3.533489,3.4552884,3.523289,21958580.0,77366424.0,41.45,0.0,3.523289,3.5002577077774775,1,3.358680755441839,1,3.265832793712616,1,0,1,1,1,1,2.15,0.55,30.9599,5.7143,0.59,0.6,90.0,74.0,3.3,0.57,0.5643,19.09
1,2010-10-19,3.4782383,3.5734396,3.4340382,3.4654884,36764100.0,127405560.0,40.77,0.0,3.4654884,3.504345859800066,0,3.3556207223372025,1,3.266211048364639,1,0,1,1,1,0,0.07,0.09,-20.1291,-41.1341,0.5,0.51,86.0,72.0,3.3,0.57,0.6982,20.63
2,2010-10-20,3.4858885,3.515724,3.4578383,3.5062888,26094040.0,91493240.0,41.25,0.0,3.5062888,3.509972106842768,0,3.3544461683793503,1,3.2669080555438996,1,0,1,1,1,0,6.44,5.27,15.9123,-5.3623,0.56,0.56,90.0,74.0,3.3,0.57,0.6912,19.79
3,2010-10-21,3.5547392,3.6337903,3.4756885,3.5462394,66992776.0,237572420.0,41.72,0.0,3.5462394,3.5204555647713796,1,3.3539670770818537,1,3.267881317138672,1,0,1,1,1,0,1.17,1.21,13.907,-4.0562,0.56,0.57,91.0,75.0,3.3,0.57,0.7232,19.27
4,2010-10-22,3.5521894,3.7315414,3.5513391,3.7298412,32452582.0,121042980.0,43.88,0.0,3.7298412,3.538629577273414,1,3.356594380465421,1,3.269802337884903,1,0,1,1,1,1,1.48,3.43,18.0109,19.7632,0.56,0.56,91.0,72.0,3.3,0.57,0.6912,18.78
5,2010-10-25,3.7340913,3.8488424,3.7340913,3.8258922,44384840.0,169811620.0,45.01,0.0,3.8258922,3.5526344889686223,1,3.3614471608942207,1,3.2717828595638276,1,0,1,1,1,0,1.66,2.39,24.202,33.1369,0.58,0.57,90.0,72.0,3.3,0.57,0.6327,19.85
6,2010-10-26,3.7867918,3.8437426,3.7204912,3.788492,24909136.0,94368060.0,44.57,0.0,3.788492,3.565910827545893,1,3.365001747824929,1,3.2731173741817474,1,0,1,1,1,0,0.81,1.24,11.7427,29.3143,0.58,0.55,86.0,72.0,3.3,0.57,0.6007,20.22
7,2010-10-27,3.7706418,3.9550936,3.7621415,3.9508436,35729464.0,141161520.0,46.48,0.0,3.9508436,3.5819395723797025,1,3.3752636779438365,1,3.2764069092273713,1,0,1,1,1,0,0.58,1.02,-7.2562,20.9909,0.55,0.51,83.0,70.0,3.3,0.57,0.6512,20.71
8,2010-10-28,3.9219432,3.9244933,3.787642,3.8675427,33300808.0,128792300.0,45.5,0.0,3.8675427,3.5937992277599515,1,3.3864837993275034,1,3.279228940010071,1,0,1,1,1,0,1.01,1.19,-9.7041,17.4984,0.57,0.53,80.0,72.0,3.3,0.57,0.6156,20.88
9,2010-10-29,3.8675427,3.9040933,3.8479927,3.892193,23343272.0,90856520.0,45.79,0.0,3.892193,3.6097470351627896,1,3.399172119660811,1,3.282395225763321,1,0,1,1,1,0,1.53,1.36,-1.642,17.7782,0.55,0.53,79.0,71.0,3.3,0.57,0.5565,21.2
10,2010-11-01,3.9074934,3.9100432,3.808042,3.8318424,22479752.0,86138860.0,45.08,0.0,3.8318424,3.621444792974563,1,3.4106395201249557,1,3.2859057652950288,1,0,1,1,1,0,0.89,0.84,-7.9919,6.0646,0.56,0.51,78.0,70.0,3.19,0.23,0.631,21.83
11,2010-11-02,3.8530927,3.9355435,3.8403425,3.908343,18632088.0,72820590.0,45.98,0.0,3.908343,3.6394164108094715,1,3.423080565712669,1,3.28970530629158,1,0,1,1,1,1,4.99,4.88,22.7476,33.2531,0.63,0.59,83.0,74.0,3.19,0.23,0.5596,21.57
12,2010-11-03,3.8904932,3.9950442,3.8811429,3.970394,28228924.0,112079944.0,46.71,0.0,3.970394,3.6537451517014277,1,3.4356761585582385,1,3.2938321018218994,1,0,1,1,1,1,1.44,1.31,24.6512,30.021,0.61,0.56,83.0,75.0,3.19,0.23,0.5536,19.56
13,2010-11-04,3.9967442,4.0927954,3.9100432,4.091945,36361950.0,148791100.0,48.14,0.0,4.091945,3.678962094443185,1,3.449492671272971,1,3.298783406019211,1,0,1,1,1,1,11.66,4.59,59.2217,52.5461,0.63,0.6,91.0,81.0,3.19,0.23,0.4691,18.52
14,2010-11-05,4.081745,4.096195,4.0290446,4.048595,18939790.0,76679540.0,47.63,0.0,4.048595,3.704017150969732,1,3.463231914693659,1,3.3044529688358306,1,0,1,1,1,1,1.6,0.98,57.9382,38.8993,0.61,0.6,87.0,82.0,3.19,0.23,0.4272,18.26
15,2010-11-08,4.018844,4.1463456,3.9882438,4.1114955,18851980.0,77509830.0,48.37,0.0,4.1114955,3.738138959521339,1,3.479072999954224,1,3.310182032585144,1,1,1,1,1,1,0.7,0.96,36.0982,26.4876,0.58,0.58,85.0,81.0,3.19,0.23,0.5391,18.29
16,2010-11-09,4.070695,4.070695,3.9750688,3.993344,40984700.0,163666020.0,46.98,0.0,3.993344,3.765015443166097,1,3.493863162127408,1,3.315273588895798,1,1,1,1,1,1,0.21,0.32,-6.2101,-8.7019,0.55,0.55,80.0,79.0,3.19,0.23,0.5659,19.08
