,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
0,2010-10-18,17.578873,18.05131,17.501308,17.910282,22314006.0,399650140.0,25.4,0.0,17.910282,17.800148827689036,1,18.28271976817738,0,19.277250452041628,0,0,1,1,1,1,2.15,0.55,30.9599,5.7143,0.59,0.6,90.0,74.0,3.3,0.57,0.5643,19.09
1,2010-10-19,17.84682,18.375668,17.769258,17.903233,28082670.0,502770530.0,25.39,0.0,17.903233,17.751461392357236,1,18.253360748291016,0,19.258371086120604,0,0,1,1,1,0,0.07,0.09,-20.1291,-41.1341,0.5,0.51,86.0,72.0,3.3,0.57,0.6982,20.63
2,2010-10-20,17.628231,18.157078,17.106436,17.896181,58167064.0,1040968300.0,25.38,0.0,17.896181,17.728628703526088,1,18.226309446855026,0,19.23549376487732,0,0,1,1,1,0,6.44,5.27,15.9123,-5.3623,0.56,0.56,90.0,74.0,3.3,0.57,0.6912,19.79
3,2010-10-21,17.741053,17.769258,17.275667,17.34618,32300176.0,560284700.0,24.6,0.0,17.34618,17.71687652951195,0,18.184386305375533,0,19.208428649902345,0,0,1,1,1,0,1.17,1.21,13.907,-4.0562,0.56,0.57,91.0,75.0,3.3,0.57,0.7232,19.27
4,2010-10-22,17.353231,17.550667,17.148743,17.28977,15969234.0,276104400.0,24.52,0.0,17.28977,17.709489459083194,0,18.14182215603915,0,19.17943328857422,0,0,1,1,1,1,1.48,3.43,18.0109,19.7632,0.56,0.56,91.0,72.0,3.3,0.57,0.6912,18.78
5,2010-10-25,17.409641,17.480156,17.169897,17.191051,16451205.0,282813500.0,24.38,0.0,17.191051,17.683634712582542,0,18.09989901455966,0,19.152293891906737,0,0,1,1,1,0,1.66,2.39,24.202,33.1369,0.58,0.57,90.0,72.0,3.3,0.57,0.6327,19.85
6,2010-10-26,17.050026,17.339128,16.993616,17.057077,17207162.0,293503900.0,24.19,0.0,17.057077,17.66080193292527,0,18.05810408158736,0,19.1252210521698,0,0,1,1,1,0,0.81,1.24,11.7427,29.3143,0.58,0.55,86.0,72.0,3.3,0.57,0.6007,20.22
7,2010-10-27,16.944021,17.269054,16.922825,17.24079,16354327.0,281961540.0,24.4,0.0,17.24079,17.659141086396716,0,18.021187834306197,0,19.102257976531984,0,0,1,1,1,0,0.58,1.02,-7.2562,20.9909,0.55,0.51,83.0,70.0,3.3,0.57,0.6512,20.71
8,2010-10-28,17.318516,17.650612,17.17013,17.565823,19033522.0,334339460.0,24.86,0.0,17.565823,17.673629579089937,0,18.00171976956454,0,19.080464181900023,0,0,1,1,1,0,1.01,1.19,-9.7041,17.4984,0.57,0.53,80.0,72.0,3.3,0.57,0.6156,20.88
9,2010-10-29,17.60115,17.749535,17.502228,17.572887,25598622.0,449841660.0,24.87,0.0,17.572887,17.681738989693777,0,17.986354515769264,0,19.05891611099243,0,0,1,1,1,0,1.53,1.36,-1.642,17.7782,0.55,0.53,79.0,71.0,3.3,0.57,0.5565,21.2
