,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
0,2010-10-18,2.2344265,2.237855,2.1717122,2.185712,199884850.0,436890720.0,153.0,0.0,2.185712,2.226584513982137,0,1.9965740008787676,1,1.4554154720902444,1,0,1,1,1,1,2.15,0.55,30.9599,5.7143,0.59,0.6,90.0,74.0,3.3,0.57,0.5643,19.09
1,2010-10-19,2.1472836,2.1775692,2.104998,2.1332836,256441540.0,547062500.0,149.33,0.0,2.1332836,2.230965534845988,0,2.008898663520813,1,1.4622618940472603,1,0,1,1,1,0,0.07,0.09,-20.1291,-41.1341,0.5,0.51,86.0,72.0,3.3,0.57,0.6982,20.63
2,2010-10-20,2.1428552,2.2252836,2.1142836,2.187855,632821600.0,1384522000.0,153.15,0.0,2.187855,2.2350131557101296,0,2.0215583909641612,1,1.4695218870043754,1,0,1,1,1,0,6.44,5.27,15.9123,-5.3623,0.56,0.56,90.0,74.0,3.3,0.57,0.6912,19.79
3,2010-10-21,2.4219975,2.4991405,2.379712,2.4669976,1117691100.0,2757341200.0,172.69,0.0,2.4669976,2.245734237489246,1,2.0383272062648428,1,1.478048307299614,1,0,1,1,1,0,1.17,1.21,13.907,-4.0562,0.56,0.57,91.0,75.0,3.3,0.57,0.7232,19.27
4,2010-10-22,2.3871405,2.4497118,2.3705692,2.4014263,493003500.0,1183911600.0,168.1,0.0,2.4014263,2.2509247121356784,1,2.0532804402438076,1,1.4863125851750374,1,0,1,1,1,1,1.48,3.43,18.0109,19.7632,0.56,0.56,91.0,72.0,3.3,0.57,0.6912,18.78
5,2010-10-25,2.417569,2.4264264,2.3579977,2.3834262,258643250.0,616457100.0,166.84,0.0,2.3834262,2.254074357804798,1,2.06588302525607,1,1.4944225770235062,1,0,1,1,1,0,1.66,2.39,24.202,33.1369,0.58,0.57,90.0,72.0,3.3,0.57,0.6327,19.85
6,2010-10-26,2.3871405,2.5651402,2.3864262,2.537426,736969000.0,1870004500.0,177.62,0.0,2.537426,2.262666180020287,1,2.081654435938055,1,1.5033075678348542,1,0,1,1,1,0,0.81,1.24,11.7427,29.3143,0.58,0.55,86.0,72.0,3.3,0.57,0.6007,20.22
7,2010-10-27,2.5614262,2.6391404,2.5079975,2.5499976,648312640.0,1653195600.0,178.5,0.0,2.5499976,2.273985896791731,1,2.0955479296770965,1,1.512316845059395,1,0,1,1,1,0,0.58,1.02,-7.2562,20.9909,0.55,0.51,83.0,70.0,3.3,0.57,0.6512,20.71
8,2010-10-28,2.5571404,2.5602832,2.4721406,2.5099976,264182290.0,663096900.0,175.7,0.0,2.5099976,2.2774348713102794,1,2.108334931460294,1,1.521012551188469,1,0,1,1,1,0,1.01,1.19,-9.7041,17.4984,0.57,0.53,80.0,72.0,3.3,0.57,0.6156,20.88
9,2010-10-29,2.4991405,2.5114262,2.418855,2.4795692,416108400.0,1031769540.0,173.57,0.0,2.4795692,2.2851967698051814,1,2.1188595988533714,1,1.5297682577371596,1,0,1,1,1,0,1.53,1.36,-1.642,17.7782,0.55,0.53,79.0,71.0,3.3,0.57,0.5565,21.2
