,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
0,2010-10-18,23.326275,23.732231,23.204487,23.732231,44106144.0,1046737150.0,29.23,0.0,23.732231,22.378775097074964,1,20.41400770707564,1,19.754959335327147,1,0,1,1,1,1,2.15,0.55,30.9599,5.7143,0.59,0.6,90.0,74.0,3.3,0.57,0.5643,19.09
1,2010-10-19,23.496777,23.74035,23.09894,23.65104,55022732.0,1301344900.0,29.13,0.0,23.65104,22.44409397670201,1,20.4861142245206,1,19.77333360671997,1,0,1,1,1,0,0.07,0.09,-20.1291,-41.1341,0.5,0.51,86.0,72.0,3.3,0.57,0.6982,20.63
2,2010-10-20,23.55361,23.691635,23.220726,23.253202,48135424.0,1119302800.0,28.64,0.0,23.253202,22.5163631439209,1,20.55216619318182,1,19.789839277267458,1,0,1,1,1,0,6.44,5.27,15.9123,-5.3623,0.56,0.56,90.0,74.0,3.3,0.57,0.6912,19.79
3,2010-10-21,23.383108,23.659159,23.196367,23.399347,37185244.0,870110400.0,28.82,0.0,23.399347,22.58092671348935,1,20.61674953807484,1,19.80852264404297,1,0,1,1,1,0,1.17,1.21,13.907,-4.0562,0.56,0.57,91.0,75.0,3.3,0.57,0.7232,19.27
4,2010-10-22,23.415585,23.569849,23.326275,23.539402,20322120.0,478370530.0,28.9925,0.0,23.539402,22.65524691627139,1,20.686826289783824,1,19.828227825164795,1,0,1,1,1,1,1.48,3.43,18.0109,19.7632,0.56,0.56,91.0,72.0,3.3,0.57,0.6912,18.78
5,2010-10-25,23.667278,23.780947,23.391228,23.415585,37750944.0,883960450.0,28.84,0.0,23.415585,22.729845773606073,1,20.75332568775524,1,19.846108112335205,1,0,1,1,1,0,1.66,2.39,24.202,33.1369,0.58,0.57,90.0,72.0,3.3,0.57,0.6327,19.85
6,2010-10-26,23.310036,23.415585,23.172012,23.245083,34542364.0,802940100.0,28.63,0.0,23.245083,22.79671133132208,1,20.818493236194957,1,19.863095693588257,1,0,1,1,1,0,0.81,1.24,11.7427,29.3143,0.58,0.55,86.0,72.0,3.3,0.57,0.6007,20.22
7,2010-10-27,23.18013,23.399347,23.025867,23.301918,41741136.0,972648500.0,28.7,0.0,23.301918,22.85702133178711,1,20.884252097389915,1,19.880889978408813,1,0,1,1,1,0,0.58,1.02,-7.2562,20.9909,0.55,0.51,83.0,70.0,3.3,0.57,0.6512,20.71
8,2010-10-28,23.399347,23.93521,23.139534,23.83778,43269020.0,1031437400.0,29.36,0.0,23.83778,22.943639755249023,1,20.969036969271574,1,19.900398921966552,1,0,1,1,1,0,1.01,1.19,-9.7041,17.4984,0.57,0.53,80.0,72.0,3.3,0.57,0.6156,20.88
9,2010-10-29,23.83778,24.121948,23.789064,23.854017,43199640.0,1030485060.0,29.38,0.0,23.854017,23.04336139133998,1,21.064726222645152,1,19.917612838745118,1,1,1,1,1,0,1.53,1.36,-1.642,17.7782,0.55,0.53,79.0,71.0,3.3,0.57,0.5565,21.2
10,2010-11-01,23.967686,23.992043,23.492716,23.65104,25988024.0,614643840.0,29.13,0.0,23.65104,23.118366695585706,1,21.160850767655806,1,19.93421462059021,1,0,1,1,1,0,0.89,0.84,-7.9919,6.0646,0.56,0.51,78.0,70.0,3.19,0.23,0.631,21.83
11,2010-11-02,23.943329,24.008282,23.756588,23.975805,29808594.0,714685060.0,29.53,0.0,23.975805,23.220049176897323,1,21.261996043812143,1,19.952077751159667,1,1,1,1,1,1,4.99,4.88,22.7476,33.2531,0.63,0.59,83.0,74.0,3.19,0.23,0.5596,21.57
12,2010-11-03,23.992043,24.008282,23.537373,23.707874,36954548.0,876113700.0,29.2,0.0,23.707874,23.293508075532458,1,21.353480980613014,1,19.969688653945923,1,0,1,1,1,1,1.44,1.31,24.6512,30.021,0.61,0.56,83.0,75.0,3.19,0.23,0.5536,19.56
13,2010-11-04,24.040758,24.21126,23.626682,23.92709,43982230.0,1052366900.0,29.47,0.0,23.92709,23.366580236525763,1,21.448288588090378,1,19.98932194709778,1,0,1,1,1,1,11.66,4.59,59.2217,52.5461,0.63,0.6,91.0,81.0,3.19,0.23,0.4691,18.52
14,2010-11-05,23.789064,23.951448,23.529253,23.74847,34871650.0,828148200.0,29.25,0.0,23.74847,23.42689377920968,1,21.541174697875977,1,20.010800828933714,1,0,1,1,1,1,1.6,0.98,57.9382,38.8993,0.61,0.6,87.0,82.0,3.19,0.23,0.4272,18.26
15,2010-11-08,23.610445,23.6974,23.415585,23.577969,33475316.0,789279900.0,29.04,0.0,23.577969,23.46710286821638,1,21.63066607388583,1,20.031910495758055,1,0,1,1,1,1,0.7,0.96,36.0982,26.4876,0.58,0.58,85.0,81.0,3.19,0.23,0.5391,18.29
16,2010-11-09,23.594206,23.74847,23.228846,23.334394,42647160.0,995145660.0,28.74,0.0,23.334394,23.50151252746582,0,21.718381153453482,1,20.05240641593933,1,0,1,1,1,1,0.21,0.32,-6.2101,-8.7019,0.55,0.55,80.0,79.0,3.19,0.23,0.5659,19.08
