,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
0,2010-10-18,30.368382,30.381945,29.927572,30.171715,18067780.0,545135900.0,44.49,0.0,30.171715,30.068695794968377,1,27.9834416476163,1,26.7459081363678,1,0,1,1,1,1,2.15,0.55,30.9599,5.7143,0.59,0.6,90.0,74.0,3.3,0.57,0.5643,19.09
1,2010-10-19,30.008953,30.225965,29.500326,29.988607,23496228.0,704619140.0,44.22,0.0,29.988607,30.107771283104306,0,28.05315239646218,1,26.739019889831543,1,0,1,1,1,0,0.07,0.09,-20.1291,-41.1341,0.5,0.51,86.0,72.0,3.3,0.57,0.6982,20.63
2,2010-10-20,30.015734,30.449762,30.015734,30.097115,16992386.0,511421800.0,44.38,0.0,30.097115,30.135786056518555,0,28.128516630692914,1,26.728898735046386,1,0,1,1,1,0,6.44,5.27,15.9123,-5.3623,0.56,0.56,90.0,74.0,3.3,0.57,0.6912,19.79
3,2010-10-21,30.137804,30.185274,28.78825,29.825846,36763144.0,1096491900.0,43.98,0.0,29.825846,30.157745724632626,0,28.19931675304066,1,26.7189915561676,1,0,1,1,1,0,1.17,1.21,13.907,-4.0562,0.56,0.57,91.0,75.0,3.3,0.57,0.7232,19.27
4,2010-10-22,29.737684,30.022516,29.574924,29.961481,18392482.0,551066000.0,44.18,0.0,29.961481,30.174861363002233,0,28.271724146062677,1,26.705151824951173,1,0,1,1,1,1,1.48,3.43,18.0109,19.7632,0.56,0.56,91.0,72.0,3.3,0.57,0.6912,18.78
5,2010-10-25,30.076769,30.178495,29.975044,30.063208,15063976.0,452871420.0,44.33,0.0,30.063208,30.167756852649507,0,28.34414079839533,1,26.69018359184265,1,0,1,1,1,0,1.66,2.39,24.202,33.1369,0.58,0.57,90.0,72.0,3.3,0.57,0.6327,19.85
6,2010-10-26,29.825846,29.83263,29.303658,29.79872,23306158.0,694493700.0,43.94,0.0,29.79872,30.146765845162527,0,28.39825297268954,1,26.67449430465698,1,0,1,1,1,0,0.81,1.24,11.7427,29.3143,0.58,0.55,86.0,72.0,3.3,0.57,0.6007,20.22
7,2010-10-27,29.486763,30.185274,29.459635,30.16493,16882680.0,509264860.0,44.48,0.0,30.16493,30.16008694966634,1,28.458655478737573,1,26.663308954238893,1,0,1,1,1,0,0.58,1.02,-7.2562,20.9909,0.55,0.51,83.0,70.0,3.3,0.57,0.6512,20.71
8,2010-10-28,30.415852,30.456543,30.117458,30.124239,17669504.0,532280420.0,44.42,0.0,30.124239,30.163639159429643,0,28.523470999977807,1,26.65121852874756,1,0,1,1,1,0,1.01,1.19,-9.7041,17.4984,0.57,0.53,80.0,72.0,3.3,0.57,0.6156,20.88
9,2010-10-29,30.212402,30.944826,30.212402,30.626085,24553930.0,751990800.0,45.16,0.0,30.626085,30.164527257283527,1,28.61115195534446,1,26.64273989677429,1,0,1,1,1,0,1.53,1.36,-1.642,17.7782,0.55,0.53,79.0,71.0,3.3,0.57,0.5565,21.2
10,2010-11-01,30.870226,31.195747,30.612522,30.741375,16519988.0,507847140.0,45.33,0.0,30.741375,30.199081602550688,1,28.704487054998225,1,26.63430314064026,1,0,1,1,1,0,0.89,0.84,-7.9919,6.0646,0.56,0.51,78.0,70.0,3.19,0.23,0.631,21.83
11,2010-11-02,31.026205,31.155056,30.673557,30.775284,18568726.0,571457800.0,45.38,0.0,30.775284,30.247199376424152,1,28.789973241632634,1,26.623396463394165,1,0,1,1,1,1,4.99,4.88,22.7476,33.2531,0.63,0.59,83.0,74.0,3.19,0.23,0.5596,21.57
12,2010-11-03,30.659994,31.032986,30.259874,30.985514,40143716.0,1243873700.0,45.69,0.0,30.985514,30.293379374912806,1,28.873147409612482,1,26.616781806945802,1,0,1,1,1,1,1.44,1.31,24.6512,30.021,0.61,0.56,83.0,75.0,3.19,0.23,0.5536,19.56
13,2010-11-04,32.965767,33.535427,32.596165,32.78266,85680296.0,2808828200.0,48.34,0.0,32.78266,30.4125432514009,1,28.990223867242985,1,26.62002155303955,1,1,1,1,1,1,11.66,4.59,59.2217,52.5461,0.63,0.6,91.0,81.0,3.19,0.23,0.4691,18.52
14,2010-11-05,32.46392,32.796227,32.145184,32.77588,30419434.0,997023740.0,48.33,0.0,32.77588,30.5346135639009,1,29.118586939031427,1,26.627604246139526,1,1,1,1,1,1,1.6,0.98,57.9382,38.8993,0.61,0.6,87.0,82.0,3.19,0.23,0.4272,18.26
15,2010-11-08,32.565647,32.77588,32.267254,32.41645,27381252.0,887603000.0,47.8,0.0,32.41645,30.63278661455427,1,29.23059997558594,1,26.632955446243287,1,0,1,1,1,1,0.7,0.96,36.0982,26.4876,0.58,0.58,85.0,81.0,3.19,0.23,0.5391,18.29
