,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
0,2010-10-18,13.553714,13.782146,13.350662,13.756765,3367021.0,46319320.0,10.84,0.0,13.756765,13.402633530752999,1,12.302867941422896,1,10.358311479091645,1,0,1,1,1,1,2.15,0.55,30.9599,5.7143,0.59,0.6,90.0,74.0,3.3,0.57,0.5643,19.09
1,2010-10-19,13.591786,13.706003,13.2618265,13.376043,3632533.5,48588930.0,10.54,0.0,13.376043,13.441914376758394,0,12.335633139176803,1,10.374619085788726,1,0,1,1,1,0,0.07,0.09,-20.1291,-41.1341,0.5,0.51,86.0,72.0,3.3,0.57,0.6982,20.63
2,2010-10-20,13.426806,13.667931,13.31259,13.566404,2675887.5,36302172.0,10.69,0.0,13.566404,13.492073059082031,1,12.379243139787153,1,10.391751592159272,1,0,1,1,1,0,6.44,5.27,15.9123,-5.3623,0.56,0.56,90.0,74.0,3.3,0.57,0.6912,19.79
3,2010-10-21,13.604477,13.693312,13.236445,13.274517,4327965.5,57451656.0,10.46,0.0,13.274517,13.510807037353516,0,12.417776853388006,1,10.41085116147995,1,0,1,1,1,0,1.17,1.21,13.907,-4.0562,0.56,0.57,91.0,75.0,3.3,0.57,0.7232,19.27
4,2010-10-22,13.299898,13.515641,13.299898,13.464878,2709061.2,36477180.0,10.61,0.0,13.464878,13.551900818234397,0,12.444542780789462,1,10.430458357334137,1,0,1,1,1,1,1.48,3.43,18.0109,19.7632,0.56,0.56,91.0,72.0,3.3,0.57,0.6912,18.78
5,2010-10-25,13.591786,13.604477,13.274517,13.363352,2646653.5,35368164.0,10.53,0.0,13.363352,13.577282269795736,0,12.477307961203834,1,10.452222979068756,1,0,1,1,1,0,1.66,2.39,24.202,33.1369,0.58,0.57,90.0,72.0,3.3,0.57,0.6327,19.85
6,2010-10-26,13.337972,13.464878,13.198373,13.414115,1806828.8,24237010.0,10.57,0.0,13.414115,13.58755570366269,0,12.51376500563188,1,10.473670332431793,1,0,1,1,1,0,0.81,1.24,11.7427,29.3143,0.58,0.55,86.0,72.0,3.3,0.57,0.6007,20.22
7,2010-10-27,13.337972,13.337972,13.020702,13.058775,3612416.5,47173732.0,10.29,0.0,13.058775,13.583929743085589,0,12.555990565906871,1,10.498671100139617,1,0,1,1,1,0,0.58,1.02,-7.2562,20.9909,0.55,0.51,83.0,70.0,3.3,0.57,0.6512,20.71
8,2010-10-28,13.109538,13.299898,13.058775,13.109538,2610091.5,34217092.0,10.33,0.0,13.109538,13.574260620843797,0,12.598216143521396,1,10.524052588939666,1,0,1,1,1,0,1.01,1.19,-9.7041,17.4984,0.57,0.53,80.0,72.0,3.3,0.57,0.6156,20.88
9,2010-10-29,13.109538,13.249135,13.046083,13.198373,1276127.0,16842800.0,10.4,0.0,13.198373,13.570634705679756,0,12.635134662281382,1,10.550512788295746,1,0,1,1,1,0,1.53,1.36,-1.642,17.7782,0.55,0.53,79.0,71.0,3.3,0.57,0.5565,21.2
10,2010-11-01,13.299898,13.502952,13.14761,13.337972,2412151.8,32173212.0,10.51,0.0,13.337972,13.545253208705358,0,12.675514307889072,1,10.57709989786148,1,0,1,1,1,0,0.89,0.84,-7.9919,6.0646,0.56,0.51,78.0,70.0,3.19,0.23,0.631,21.83
11,2010-11-02,13.4521885,13.718694,13.376043,13.680621,3830213.0,52399696.0,10.78,0.0,13.680621,13.543440228416806,1,12.71866283416748,1,10.60489262342453,1,0,1,1,1,1,4.99,4.88,22.7476,33.2531,0.63,0.59,83.0,74.0,3.19,0.23,0.5596,21.57
