,Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,adjusted_close,21_day_sma,above_21_sma,55_day_sma,above_55_sma,200_day_sma,above_200_sma,21day_rsi,above_21_sma_spy,above_55_sma_spy,above_200_sma_spy,21day_rsi_spy,#SPXADR_close,#NDXADR_close,#SPXMCOSC_close,#NDXMCOSC_close,#NDXZWBT_close,#SPXZWBT_close,#OEX%MA50_close,#OEX%MA200_close,#M2FED3_close,#M2FED2_close,#CBOEPCE_close,$VIX_close
0,2010-10-18,12.947722,13.10577,12.947722,13.071728,37969856.0,496331680.0,53.76,0.0,13.071728,13.081454458690825,0,12.719911280545322,1,12.703913369178771,1,0,1,1,1,1,2.15,0.55,30.9599,5.7143,0.59,0.6,90.0,74.0,3.3,0.57,0.5643,19.09
1,2010-10-19,12.996352,13.071728,12.918545,12.964743,42052280.0,545197000.0,53.32,0.0,12.964743,13.078907149178642,0,12.729673957824707,1,12.703933448791505,1,0,1,1,1,0,0.07,0.09,-20.1291,-41.1341,0.5,0.51,86.0,72.0,3.3,0.57,0.6982,20.63
2,2010-10-20,12.957448,13.091181,12.94782,13.001215,40080732.0,521098200.0,53.47,0.0,13.001215,13.0777492977324,0,12.740627202120693,1,12.704781179428101,1,0,1,1,1,0,6.44,5.27,15.9123,-5.3623,0.56,0.56,90.0,74.0,3.3,0.57,0.6912,19.79
3,2010-10-21,13.054708,13.212755,13.030394,13.137379,39490896.0,518806880.0,54.03,0.0,13.137379,13.080180803934732,1,12.75269362709739,1,12.70645312309265,1,0,1,1,1,0,1.17,1.21,13.907,-4.0562,0.56,0.57,91.0,75.0,3.3,0.57,0.7232,19.27
4,2010-10-22,13.120358,13.154399,13.096044,13.144673,23835110.0,313304740.0,54.06,0.0,13.144673,13.08492796761649,1,12.764804770729759,1,12.70812569141388,1,0,1,1,1,1,1.48,3.43,18.0109,19.7632,0.56,0.56,91.0,72.0,3.3,0.57,0.6912,18.78
5,2010-10-25,13.173852,13.2273445,13.10577,13.117928,32750386.0,429617180.0,53.95,0.0,13.117928,13.083422751653762,1,12.775682432001288,1,12.709987173080444,1,0,1,1,1,0,1.66,2.39,24.202,33.1369,0.58,0.57,90.0,72.0,3.3,0.57,0.6327,19.85
6,2010-10-26,13.091181,13.307584,13.08875,13.266249,42348130.0,561800770.0,54.56,0.0,13.266249,13.095927601768857,1,12.78807012384588,1,12.711538681983948,1,0,1,1,1,0,0.81,1.24,11.7427,29.3143,0.58,0.55,86.0,72.0,3.3,0.57,0.6007,20.22
7,2010-10-27,13.188441,13.283269,13.020667,13.0984745,53563290.0,701597400.0,53.87,0.0,13.0984745,13.096506527491979,1,12.796704136241566,1,12.711629929542541,1,0,1,1,1,0,0.58,1.02,-7.2562,20.9909,0.55,0.51,83.0,70.0,3.3,0.57,0.6512,20.71
8,2010-10-28,13.176283,13.186008,13.030394,13.149537,33658588.0,442594800.0,54.08,0.0,13.149537,13.104958942958287,1,12.810232110456987,1,12.711641898155213,1,0,1,1,1,0,1.01,1.19,-9.7041,17.4984,0.57,0.53,80.0,72.0,3.3,0.57,0.6156,20.88
9,2010-10-29,13.139811,13.273542,13.035256,13.171419,33037790.0,435154600.0,54.17,0.0,13.171419,13.112484977358864,1,12.826766274192117,1,12.712719259262085,1,0,1,1,1,0,1.53,1.36,-1.642,17.7782,0.55,0.53,79.0,71.0,3.3,0.57,0.5565,21.2
10,2010-11-01,13.1422415,13.251659,13.134948,13.2054615,33762416.0,445848300.0,54.31,0.0,13.2054615,13.12348461151123,1,12.84405201998624,1,12.714600167274476,1,0,1,1,1,0,0.89,0.84,-7.9919,6.0646,0.56,0.51,78.0,70.0,3.19,0.23,0.631,21.83
11,2010-11-02,13.263817,13.370803,13.2492285,13.322173,36394916.0,484859330.0,54.79,0.0,13.322173,13.137610480898903,1,12.86341557936235,1,12.716646394729615,1,0,1,1,1,1,4.99,4.88,22.7476,33.2531,0.63,0.59,83.0,74.0,3.19,0.23,0.5596,21.57
12,2010-11-03,13.31731,13.361077,13.183578,13.351351,37801108.0,504695870.0,54.91,0.0,13.351351,13.148146992637997,1,12.880612893538041,1,12.719041652679444,1,0,1,1,1,1,1.44,1.31,24.6512,30.021,0.61,0.56,83.0,75.0,3.19,0.23,0.5536,19.56
13,2010-11-04,13.373234,13.494809,13.361077,13.460769,54480428.0,733348350.0,55.36,0.0,13.460769,13.157409849621,1,12.900506973266602,1,12.723107285499573,1,0,1,1,1,1,11.66,4.59,59.2217,52.5461,0.63,0.6,91.0,81.0,3.19,0.23,0.4691,18.52
14,2010-11-05,13.482652,13.548303,13.34892,13.4218645,42214516.0,566597500.0,55.2,0.0,13.4218645,13.167135829017276,1,12.923230413957075,1,12.726954493522644,1,0,1,1,1,1,1.6,0.98,57.9382,38.8993,0.61,0.6,87.0,82.0,3.19,0.23,0.4272,18.26
15,2010-11-08,13.351351,13.392687,13.25409,13.351351,40887976.0,545909760.0,54.91,0.0,13.351351,13.172925131661552,1,12.94396445534446,1,12.730520830154418,1,0,1,1,1,1,0.7,0.96,36.0982,26.4876,0.58,0.58,85.0,81.0,3.19,0.23,0.5391,18.29
16,2010-11-09,13.392687,13.424295,13.3319,13.385391,41332064.0,553245800.0,55.05,0.0,13.385391,13.178019659859794,1,12.96125018379905,1,12.733385033607483,1,0,1,1,1,1,0.21,0.32,-6.2101,-8.7019,0.55,0.55,80.0,79.0,3.19,0.23,0.5659,19.08
17,2010-11-10,13.3148775,13.3148775,13.151968,13.25409,46230148.0,612738560.0,54.51,0.0,13.25409,13.184851010640463,1,12.975441273775967,1,12.735843677520752,1,0,1,1,1,1,2.15,2.48,8.2775,8.0631,0.57,0.58,82.0,80.0,3.19,0.23,0.4876,18.47
18,2010-11-11,13.256522,13.256522,13.120358,13.212755,51681384.0,682853500.0,54.34,0.0,13.212755,13.190871874491373,1,12.987775594537908,1,12.739039678573608,1,0,1,1,1,0,0.82,0.82,-2.7389,-3.8647,0.56,0.58,77.0,73.0,3.19,0.23,0.5752,18.64
19,2010-11-12,13.154399,13.212755,13.096044,13.161695,43924916.0,578126340.0,54.13,0.0,13.161695,13.201061021713983,0,13.00174565748735,1,12.741000494956971,1,0,1,1,1,0,0.08,0.06,-49.3673,-53.7223,0.51,0.52,70.0,68.0,3.19,0.23,0.6652,20.61
20,2010-11-15,13.171419,13.215186,13.0984745,13.117928,47140068.0,618379970.0,53.95,0.0,13.117928,13.208008221217565,0,13.014787327159535,1,12.742682728767395,1,0,1,1,1,0,0.9,0.82,-49.3005,-56.297,0.51,0.52,69.0,67.0,3.19,0.23,0.5644,20.2
21,2010-11-16,13.26868,13.458336,13.188441,13.193303,96954440.0,1279149400.0,54.26,0.0,13.193303,13.213797523861839,0,13.031188878146084,1,12.744729890823365,1,0,0,1,1,0,0.05,0.04,-91.5947,-99.1677,0.43,0.44,58.0,66.0,3.19,0.23,0.6768,22.58
22,2010-11-17,13.215186,13.23707,13.023099,13.074161,59668350.0,780113600.0,53.77,0.0,13.074161,13.219007900782994,0,13.047236772017046,1,12.745249257087707,1,0,0,1,1,0,1.29,1.97,-75.7774,-73.221,0.44,0.44,54.0,62.0,3.19,0.23,0.586,21.76
23,2010-11-18,13.164125,13.289348,13.10577,13.125221,47655468.0,625488600.0,53.98,0.0,13.125221,13.224912961324057,0,13.059526876969771,1,12.747577395439148,1,0,1,1,1,0,9.21,6.31,-27.969,-30.6704,0.45,0.44,68.0,66.0,3.19,0.23,0.5423,18.75
24,2010-11-19,13.154399,13.239502,13.117928,13.224913,42392190.0,560633000.0,54.39,0.0,13.224913,13.229081244695754,0,13.071153848821467,1,12.749830403327941,1,0,1,1,1,0,1.72,2.03,-13.9259,-13.4309,0.46,0.44,71.0,68.0,3.19,0.23,0.5761,18.04
25,2010-11-22,13.178715,13.275974,13.110632,13.222482,39077980.0,516707870.0,54.38,0.0,13.222482,13.232786405654181,0,13.081498770280318,1,12.752692646980286,1,0,1,1,1,0,1.07,2.25,-13.397,3.5856,0.48,0.45,68.0,66.0,3.19,0.23,0.5713,18.37
26,2010-11-23,13.178715,13.193303,13.023099,13.049845,56976300.0,743531900.0,53.67,0.0,13.049845,13.229544367109026,0,13.089500600641424,0,12.754309310913087,1,0,0,1,1,0,0.07,0.08,-58.2763,-43.6672,0.47,0.44,53.0,60.0,3.19,0.23,0.7257,20.63
27,2010-11-24,13.066866,13.173852,13.066866,13.132516,42415132.0,557017400.0,54.01,0.0,13.132516,13.22317613874163,0,13.099138155850497,1,12.756351280212403,1,0,1,1,1,0,16.07,94.0,-8.5037,7.6505,0.5,0.47,63.0,66.0,3.19,0.23,0.5175,19.56
28,2010-11-26,13.054708,13.113064,13.02553,13.066866,17088238.0,223289700.0,53.74,0.0,13.066866,13.221670968191964,0,13.107228417830033,0,12.758256196975708,1,0,0,1,1,0,0.14,0.21,-47.4693,-30.2541,0.47,0.43,55.0,64.0,3.19,0.23,0.6598,22.22
29,2010-11-29,13.044983,13.110632,12.991489,13.093612,44369996.0,580963500.0,53.85,0.0,13.093612,13.21900785536993,0,13.115539706837048,0,12.760509939193726,1,0,0,1,1,0,0.58,0.27,-56.4736,-58.439,0.48,0.46,54.0,61.0,3.19,0.23,0.7077,21.53
30,2010-11-30,13.071728,13.234639,13.0328245,13.151968,72217350.0,949800300.0,54.09,0.0,13.151968,13.218081610543388,0,13.123851013183593,1,12.762266778945923,1,0,0,1,1,0,0.41,0.2,-71.367,-87.038,0.45,0.45,49.0,57.0,3.19,0.23,0.5842,23.54
31,2010-12-01,13.232207,13.336761,13.224913,13.300289,73548380.0,978214700.0,54.7,0.0,13.300289,13.222597213018508,1,13.132869651100853,1,12.764167733192444,1,0,1,1,1,0,29.12,18.0,-16.2389,-32.8016,0.54,0.54,60.0,68.0,3.65,0.38,0.4536,21.36
32,2010-12-02,13.302721,13.34892,13.222482,13.312447,64891290.0,863861800.0,54.75,0.0,13.312447,13.222134045192174,1,13.14122515591708,1,12.766834511756898,1,0,1,1,1,0,7.55,4.94,22.6052,2.1555,0.56,0.57,68.0,73.0,3.65,0.38,0.4577,19.39
33,2010-12-03,13.283269,13.3148775,13.2054615,13.280837,41534924.0,551618560.0,54.62,0.0,13.280837,13.218776248750233,1,13.1477238741788,1,12.769319343566895,1,0,1,1,1,0,1.66,2.17,29.7628,17.2963,0.54,0.54,69.0,74.0,3.65,0.38,0.5242,18.01
34,2010-12-06,13.344056,13.3586445,13.244365,13.2492285,35505990.0,470426980.0,54.49,0.0,13.2492285,13.208702904837471,1,13.154266825589266,1,12.77123983860016,1,0,1,1,1,0,0.61,0.52,11.2094,-4.2233,0.51,0.52,68.0,73.0,3.65,0.38,0.4944,18.02
